 frequency           real(dg)            imag(dg)           
 1.000000000000e+00  1.397679796692e+01 -2.226131336877e-06 
 1.079775162328e+00  1.397679796692e+01 -2.403721325640e-06 
 1.165914401180e+00  1.397679796692e+01 -2.595478584583e-06 
 1.258925411794e+00  1.397679796692e+01 -2.802533309986e-06 
 1.359356390879e+00  1.397679796692e+01 -3.026105859719e-06 
 1.467799267622e+00  1.397679796692e+01 -3.267513945899e-06 
 1.584893192461e+00  1.397679796692e+01 -3.528180401341e-06 
 1.711328304162e+00  1.397679796692e+01 -3.809641565580e-06 
 1.847849797422e+00  1.397679796692e+01 -4.113556339884e-06 
 1.995262314969e+00  1.397679796692e+01 -4.441715964643e-06 
 2.154434690032e+00  1.397679796692e+01 -4.796054576735e-06 
 2.326305067154e+00  1.397679796692e+01 -5.178660609127e-06 
 2.511886431510e+00  1.397679796692e+01 -5.591789099860e-06 
 2.712272579332e+00  1.397679796692e+01 -6.037874983003e-06 
 2.928644564625e+00  1.397679796692e+01 -6.519547439887e-06 
 3.162277660168e+00  1.397679796692e+01 -7.039645395207e-06 
 3.414548873834e+00  1.397679796692e+01 -7.601234249339e-06 
 3.686945064520e+00  1.397679796692e+01 -8.207623945470e-06 
 3.981071705535e+00  1.397679796692e+01 -8.862388478044e-06 
 4.298662347082e+00  1.397679796692e+01 -9.569386957491e-06 
 4.641588833613e+00  1.397679796692e+01 -1.033278635540e-05 
 5.011872336273e+00  1.397679796691e+01 -1.115708606420e-05 
 5.411695265465e+00  1.397679796691e+01 -1.204714441607e-05 
 5.843414133735e+00  1.397679796691e+01 -1.300820731745e-05 
 6.309573444802e+00  1.397679796691e+01 -1.404593916779e-05 
 6.812920690580e+00  1.397679796691e+01 -1.516645624494e-05 
 7.356422544596e+00  1.397679796690e+01 -1.637636275382e-05 
 7.943282347243e+00  1.397679796690e+01 -1.768278975084e-05 
 8.576958985909e+00  1.397679796690e+01 -1.909343717361e-05 
 9.261187281288e+00  1.397679796689e+01 -2.061661922352e-05 
 1.000000000000e+01  1.397679796689e+01 -2.226131336872e-05 
 1.079775162328e+01  1.397679796688e+01 -2.403721325633e-05 
 1.165914401180e+01  1.397679796688e+01 -2.595478584574e-05 
 1.258925411794e+01  1.397679796687e+01 -2.802533309975e-05 
 1.359356390879e+01  1.397679796686e+01 -3.026105859705e-05 
 1.467799267622e+01  1.397679796685e+01 -3.267513945881e-05 
 1.584893192461e+01  1.397679796684e+01 -3.528180401319e-05 
 1.711328304162e+01  1.397679796682e+01 -3.809641565551e-05 
 1.847849797422e+01  1.397679796680e+01 -4.113556339849e-05 
 1.995262314969e+01  1.397679796678e+01 -4.441715964597e-05 
 2.154434690032e+01  1.397679796676e+01 -4.796054576679e-05 
 2.326305067154e+01  1.397679796668e+01 -5.178660609017e-05 
 2.511886431510e+01  1.397679796665e+01 -5.591789099729e-05 
 2.712272579332e+01  1.397679796661e+01 -6.037874982846e-05 
 2.928644564625e+01  1.397679796657e+01 -6.519547439696e-05 
 3.162277660168e+01  1.397679796652e+01 -7.039645394976e-05 
 3.414548873834e+01  1.397679796646e+01 -7.601234249057e-05 
 3.686945064520e+01  1.397679796639e+01 -8.207623945127e-05 
 3.981071705535e+01  1.397679796631e+01 -8.862388477624e-05 
 4.298662347082e+01  1.397679796622e+01 -9.569386956973e-05 
 4.641588833613e+01  1.397679796606e+01 -1.033278635468e-04 
 5.011872336273e+01  1.397679796594e+01 -1.115708606333e-04 
 5.411695265465e+01  1.397679796579e+01 -1.204714441500e-04 
 5.843414133735e+01  1.397679796557e+01 -1.300820731604e-04 
 6.309573444802e+01  1.397679796537e+01 -1.404593916606e-04 
 6.812920690580e+01  1.397679796508e+01 -1.516645624271e-04 
 7.356422544596e+01  1.397679796481e+01 -1.637636275109e-04 
 7.943282347243e+01  1.397679796445e+01 -1.768278974736e-04 
 8.576958985909e+01  1.397679796408e+01 -1.909343716935e-04 
 9.261187281288e+01  1.397679796360e+01 -2.061661921814e-04 
 1.000000000000e+02  1.397679796305e+01 -2.226131336194e-04 
 1.079775162328e+02  1.397679796236e+01 -2.403721324764e-04 
 1.165914401180e+02  1.397679796163e+01 -2.595478583490e-04 
 1.258925411794e+02  1.397679796073e+01 -2.802533308603e-04 
 1.359356390879e+02  1.397679795970e+01 -3.026105857978e-04 
 1.467799267622e+02  1.397679795852e+01 -3.267513943715e-04 
 1.584893192461e+02  1.397679795711e+01 -3.528180398582e-04 
 1.711328304162e+02  1.397679795549e+01 -3.809641562111e-04 
 1.847849797422e+02  1.397679795358e+01 -4.113556335506e-04 
 1.995262314969e+02  1.397679795138e+01 -4.441715959141e-04 
 2.154434690032e+02  1.397679794880e+01 -4.796054569809e-04 
 2.326305067154e+02  1.397679794583e+01 -5.178660600438e-04 
 2.511886431510e+02  1.397679794231e+01 -5.591789088906e-04 
 2.712272579332e+02  1.397679793822e+01 -6.037874969204e-04 
 2.928644564625e+02  1.397679793346e+01 -6.519547422521e-04 
 3.162277660168e+02  1.397679792789e+01 -7.039645373324e-04 
 3.414548873834e+02  1.397679792144e+01 -7.601234221815e-04 
 3.686945064520e+02  1.397679791392e+01 -8.207623910847e-04 
 3.981071705535e+02  1.397679790511e+01 -8.862388434440e-04 
 4.298662347082e+02  1.397679789483e+01 -9.569386902567e-04 
 4.641588833613e+02  1.397679788287e+01 -1.033278628625e-03 
 5.011872336273e+02  1.397679786896e+01 -1.115708597720e-03 
 5.411695265465e+02  1.397679785270e+01 -1.204714430655e-03 
 5.843414133735e+02  1.397679783371e+01 -1.300820717949e-03 
 6.309573444802e+02  1.397679781162e+01 -1.404593899414e-03 
 6.812920690580e+02  1.397679778587e+01 -1.516645602636e-03 
 7.356422544596e+02  1.397679775580e+01 -1.637636247856e-03 
 7.943282347243e+02  1.397679772078e+01 -1.768278940431e-03 
 8.576958985909e+02  1.397679767994e+01 -1.909343673739e-03 
 9.261187281288e+02  1.397679763234e+01 -2.061661867436e-03 
 1.000000000000e+03  1.397679757683e+01 -2.226131267740e-03 
 1.079775162328e+03  1.397679751210e+01 -2.403721238596e-03 
 1.165914401180e+03  1.397679743665e+01 -2.595478475009e-03 
 1.258925411794e+03  1.397679734869e+01 -2.802533172045e-03 
 1.359356390879e+03  1.397679724612e+01 -3.026105686065e-03 
 1.467799267622e+03  1.397679712651e+01 -3.267513727272e-03 
 1.584893192461e+03  1.397679698705e+01 -3.528180126096e-03 
 1.711328304162e+03  1.397679682447e+01 -3.809641219064e-03 
 1.847849797422e+03  1.397679663495e+01 -4.113555903663e-03 
 1.995262314969e+03  1.397679641399e+01 -4.441715415493e-03 
 2.154434690032e+03  1.397679615631e+01 -4.796053885382e-03 
 2.326305067154e+03  1.397679585588e+01 -5.178659738741e-03 
 2.511886431510e+03  1.397679550566e+01 -5.591788004142e-03 
 2.712272579332e+03  1.397679509729e+01 -6.037873603568e-03 
 2.928644564625e+03  1.397679462115e+01 -6.519545703249e-03 
 3.162277660168e+03  1.397679406606e+01 -7.039643208937e-03 
 3.414548873834e+03  1.397679341888e+01 -7.601231497021e-03 
 3.686945064520e+03  1.397679266429e+01 -8.207620480494e-03 
 3.981071705535e+03  1.397679178446e+01 -8.862384115846e-03 
 4.298662347082e+03  1.397679075873e+01 -9.569381465840e-03 
 4.641588833613e+03  1.397678956278e+01 -1.033277944181e-02 
 5.011872336273e+03  1.397678816842e+01 -1.115707736052e-02 
 5.411695265465e+03  1.397678654274e+01 -1.204713345885e-02 
 5.843414133735e+03  1.397678464726e+01 -1.300819352304e-02 
 6.309573444802e+03  1.397678243738e+01 -1.404592180174e-02 
 6.812920690580e+03  1.397677986079e+01 -1.516643438234e-02 
 7.356422544596e+03  1.397677685673e+01 -1.637633523046e-02 
 7.943282347243e+03  1.397677335426e+01 -1.768275510101e-02 
 8.576958985909e+03  1.397676927069e+01 -1.909339355211e-02 
 9.261187281288e+03  1.397676450957e+01 -2.061656430729e-02 
 1.000000000000e+04  1.397675895854e+01 -2.226124423334e-02 
 1.079775162328e+04  1.397675248652e+01 -2.403712622013e-02 
 1.165914401180e+04  1.397674494067e+01 -2.595467627362e-02 
 1.258925411794e+04  1.397673614292e+01 -2.802519515680e-02 
 1.359356390879e+04  1.397672588545e+01 -3.026088493717e-02 
 1.467799267622e+04  1.397671392622e+01 -3.267492083434e-02 
 1.584893192461e+04  1.397669998274e+01 -3.528152878149e-02 
 1.711328304162e+04  1.397668372591e+01 -3.809606915985e-02 
 1.847849797422e+04  1.397666477187e+01 -4.113512718685e-02 
 1.995262314969e+04  1.397664267317e+01 -4.441661048901e-02 
 2.154434690032e+04  1.397661690811e+01 -4.795985442084e-02 
 2.326305067154e+04  1.397658686834e+01 -5.178573573956e-02 
 2.511886431510e+04  1.397655184474e+01 -5.591679529380e-02 
 2.712272579332e+04  1.397651101044e+01 -6.037737042369e-02 
 2.928644564625e+04  1.397646340153e+01 -6.519373783607e-02 
 3.162277660168e+04  1.397640789405e+01 -7.039426775870e-02 
 3.414548873834e+04  1.397634317772e+01 -7.600959025350e-02 
 3.686945064520e+04  1.397626772489e+01 -8.207277461131e-02 
 3.981071705535e+04  1.397617975449e+01 -8.861952283208e-02 
 4.298662347082e+04  1.397607719008e+01 -9.568837825243e-02 
 4.641588833613e+04  1.397595761092e+01 -1.033209504552e-01 
 5.011872336273e+04  1.397581819477e+01 -1.115621576643e-01 
 5.411695265465e+04  1.397565565133e+01 -1.204604879029e-01 
 5.843414133735e+04  1.397546614499e+01 -1.300682802726e-01 
 6.309573444802e+04  1.397524520429e+01 -1.404420277546e-01 
 6.812920690580e+04  1.397498761624e+01 -1.516427030203e-01 
 7.356422544596e+04  1.397468730415e+01 -1.637361088160e-01 
 7.943282347243e+04  1.397433718427e+01 -1.767932544689e-01 
 8.576958985909e+04  1.397392899937e+01 -1.908907601692e-01 
 9.261187281288e+04  1.397345312475e+01 -2.061112906371e-01 
 1.000000000000e+05  1.397289834172e+01 -2.225440197659e-01 
 1.079775162328e+05  1.397225157496e+01 -2.402851278382e-01 
 1.165914401180e+05  1.397149758536e+01 -2.594383326668e-01 
 1.258925411794e+05  1.397061861392e+01 -2.801154559880e-01 
 1.359356390879e+05  1.396959396572e+01 -3.024370259829e-01 
 1.467799267622e+05  1.396839952748e+01 -3.265329165913e-01 
 1.584893192461e+05  1.396700720546e+01 -3.525430235742e-01 
 1.711328304162e+05  1.396538427191e+01 -3.806179766209e-01 
 1.847849797422e+05  1.396349260692e+01 -4.109198858870e-01 
 1.995262314969e+05  1.396128781663e+01 -4.436231198628e-01 
 2.154434690032e+05  1.395871821044e+01 -4.789151099721e-01 
 2.326305067154e+05  1.395572361528e+01 -5.169971750816e-01 
 2.511886431510e+05  1.395223400163e+01 -5.580853562474e-01 
 2.712272579332e+05  1.394816789327e+01 -6.024112485405e-01 
 2.928644564625e+05  1.394343053071e+01 -6.502228124111e-01 
 3.162277660168e+05  1.393791174921e+01 -7.017851409720e-01 
 3.414548873834e+05  1.393148353668e+01 -7.573811531428e-01 
 3.686945064520e+05  1.392399722542e+01 -8.173121731832e-01 
 3.981071705535e+05  1.391528027149e+01 -8.818983463994e-01 
 4.298662347082e+05  1.390513257307e+01 -9.514788274306e-01 
 4.641588833613e+05  1.389332227465e+01 -1.026411660689e+00 
 5.011872336273e+05  1.387958100856e+01 -1.107073253118e+00 
 5.411695265465e+05  1.386359852123e+01 -1.193857314468e+00 
 5.843414133735e+05  1.384501664570e+01 -1.287173112710e+00 
 6.309573444802e+05  1.382342258833e+01 -1.387442857882e+00 
 6.812920690580e+05  1.379834152198e+01 -1.495097989695e+00 
 7.356422544596e+05  1.376922850723e+01 -1.610574100615e+00 
 7.943282347243e+05  1.373545980774e+01 -1.734304178635e+00 
 8.576958985909e+05  1.369632373294e+01 -1.866709805455e+00 
 9.261187281288e+05  1.365101122265e+01 -2.008189896522e+00 
 1.000000000000e+06  1.359860650906e+01 -2.159106529428e+00 
 1.079775162328e+06  1.353807833871e+01 -2.319767380689e+00 
 1.165914401180e+06  1.346827242515e+01 -2.490404291748e+00 
 1.258925411794e+06  1.338790603398e+01 -2.671147530273e+00 
 1.359356390879e+06  1.329556586839e+01 -2.861995421630e+00 
 1.467799267622e+06  1.318971072917e+01 -3.062779229996e+00 
 1.584893192461e+06  1.306868072414e+01 -3.273123489866e+00 
 1.711328304162e+06  1.293071509737e+01 -3.492402473670e+00 
 1.847849797422e+06  1.277398094808e+01 -3.719694143395e+00 
 1.995262314969e+06  1.259661515020e+01 -3.953733794185e+00 
 2.154434690032e+06  1.239678156377e+01 -4.192870643570e+00 
 2.326305067154e+06  1.217274500960e+01 -4.435031781296e+00 
 2.511886431510e+06  1.192296235361e+01 -4.677699056813e+00 
 2.712272579332e+06  1.164618930246e+01 -4.917905421849e+00 
 2.928644564625e+06  1.134159915303e+01 -5.152257689955e+00 
 3.162277660168e+06  1.100890686340e+01 -5.376992260921e+00 
 3.414548873834e+06  1.064848873926e+01 -5.588068744763e+00 
 3.686945064520e+06  1.026148527721e+01 -5.781303370642e+00 
 3.981071705535e+06  9.849872976992e+00 -5.952539579295e+00 
 4.298662347082e+06  9.416490991261e+00 -6.097847637406e+00 
 4.641588833613e+06  8.965010951292e+00 -6.213739284714e+00 
 5.011872336273e+06  8.499843404087e+00 -6.297378484095e+00 
 5.411695265465e+06  8.025981620348e+00 -6.346766584362e+00 
 5.843414133735e+06  7.548791995801e+00 -6.360880696541e+00 
 6.309573444802e+06  7.073768248144e+00 -6.339748256709e+00 
 6.812920690580e+06  6.606272364719e+00 -6.284448157821e+00 
 7.356422544596e+06  6.151287424278e+00 -6.197038164812e+00 
 7.943282347243e+06  5.713205469967e+00 -6.080417703749e+00 
 8.576958985909e+06  5.295668031544e+00 -5.938142666428e+00 
 9.261187281288e+06  4.901469007314e+00 -5.774213226750e+00 
 1.000000000000e+07  4.532521161321e+00 -5.592856345628e+00 
 1.079775162328e+07  4.189880104130e+00 -5.398322034652e+00 
 1.165914401180e+07  3.873814431052e+00 -5.194707605042e+00 
 1.258925411794e+07  3.583908123814e+00 -4.985818343250e+00 
 1.359356390879e+07  3.319181186717e+00 -4.775067500646e+00 
 1.467799267622e+07  3.078216173676e+00 -4.565413991310e+00 
 1.584893192461e+07  2.859280998929e+00 -4.359333143265e+00 
 1.711328304162e+07  2.660441490823e+00 -4.158814268759e+00 
 1.847849797422e+07  2.479660002837e+00 -3.965378468323e+00 
 1.995262314969e+07  2.314878706449e+00 -3.780110615603e+00 
 2.154434690032e+07  2.164087820037e+00 -3.603700511929e+00 
 2.326305067154e+07  2.025379978985e+00 -3.436489436605e+00 
 2.511886431510e+07  1.896992320618e+00 -3.278519501360e+00 
 2.712272579332e+07  1.777337785972e+00 -3.129584180218e+00 
 2.928644564625e+07  1.665026795430e+00 -2.989279029064e+00 
 3.162277660168e+07  1.558880005633e+00 -2.857051902519e+00 
 3.414548873834e+07  1.457932462877e+00 -2.732251943842e+00 
 3.686945064520e+07  1.361429267484e+00 -2.614176353771e+00 
 3.981071705535e+07  1.268812942845e+00 -2.502113569682e+00 
 4.298662347082e+07  1.179703079999e+00 -2.395381172791e+00 
 4.641588833613e+07  1.093869438760e+00 -2.293356747927e+00 
 5.011872336273e+07  1.011200386864e+00 -2.195500160562e+00 
 5.411695265465e+07  9.316691600790e-01 -2.101366315030e+00 
 5.843414133735e+07  8.553007450038e-01 -2.010608337997e+00 
 6.309573444802e+07  7.821421008667e-01 -1.922972125390e+00 
 6.812920690580e+07  7.122379282975e-01 -1.838284089082e+00 
 7.356422544596e+07  6.456133522962e-01 -1.756434551250e+00 
 7.943282347243e+07  5.822638849231e-01 -1.677359441946e+00 
 8.576958985909e+07  5.221520707933e-01 -1.601022742055e+00 
 9.261187281288e+07  4.652094694759e-01 -1.527401557905e+00 
 1.000000000000e+08  4.113422023925e-01 -1.456474956976e+00 
 1.079775162328e+08  3.604382165670e-01 -1.388216899984e+00 
 1.165914401180e+08  3.123746486235e-01 -1.322592918929e+00 
 1.258925411794e+08  2.670241134578e-01 -1.259559714944e+00 
 1.359356390879e+08  2.242592725603e-01 -1.199066627852e+00 
 1.467799267622e+08  1.839555401242e-01 -1.141057948245e+00 
 1.584893192461e+08  1.459921713152e-01 -1.085475243535e+00 
 1.711328304162e+08  1.102521985464e-01 -1.032259166337e+00 
 1.847849797422e+08  7.662173730125e-02 -9.813505185858e-01 
 1.995262314969e+08  4.498911030537e-02 -9.326905885767e-01 
 2.154434690032e+08  1.524409663053e-02 -8.862209246967e-01 
 2.326305067154e+08 -1.272253981119e-02 -8.418827581534e-01 
 2.511886431510e+08 -3.901920664457e-02 -7.996162635799e-01 
 2.712272579332e+08 -6.375335518799e-02 -7.593597884890e-01 
 2.928644564625e+08 -8.703111759562e-02 -7.210491240855e-01 
