 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  2.03871188e+03 -1.95018614e-01  1.00000000e+00 -4.93988061e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.03871187e+03 -2.52332438e-01  1.00000000e+00 -4.03286364e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.03871185e+03 -3.23083883e-01  1.00000000e+00 -3.25803580e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.03871182e+03 -4.11040718e-01  1.00000000e+00 -2.61532445e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.03871177e+03 -5.20886963e-01  1.00000000e+00 -2.09114661e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.03871169e+03 -6.58472322e-01  1.00000000e+00 -1.66793431e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.03871156e+03 -8.31123703e-01  1.00000000e+00 -1.32833542e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.03871136e+03 -1.04803539e+00  1.00000000e+00 -1.05686398e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.03871105e+03 -1.32075866e+00  1.00000000e+00 -8.40365661e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.03871054e+03 -1.66381689e+00  1.00000000e+00 -6.67963956e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.03870975e+03 -2.09547896e+00  1.00000000e+00 -5.30805030e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
