 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  2.20164269e+03 -2.30194214e-01  1.00000000e+00 -5.83088904e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.20164268e+03 -2.97170923e-01  1.00000000e+00 -4.74948747e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.20164265e+03 -3.79973065e-01  1.00000000e+00 -3.83171624e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.20164261e+03 -4.83010153e-01  1.00000000e+00 -3.07324326e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.20164255e+03 -6.11769281e-01  1.00000000e+00 -2.45600124e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.20164245e+03 -7.73107334e-01  1.00000000e+00 -1.95830840e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.20164228e+03 -9.75616127e-01  1.00000000e+00 -1.55926835e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.20164203e+03 -1.23007995e+00  1.00000000e+00 -1.24044120e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.20164163e+03 -1.55004985e+00  1.00000000e+00 -9.86256807e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.20164099e+03 -1.95256521e+00  1.00000000e+00 -7.83884869e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.20163997e+03 -2.45906110e+00  1.00000000e+00 -6.22902160e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
