 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  2.46698695e+03 -3.25800067e-01  1.00000000e+00 -8.25261363e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.46698692e+03 -4.17980744e-01  1.00000000e+00 -6.68031072e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.46698687e+03 -5.32420414e-01  1.00000000e+00 -5.36902169e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.46698680e+03 -6.75213401e-01  1.00000000e+00 -4.29617166e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.46698669e+03 -8.53963941e-01  1.00000000e+00 -3.42831156e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.46698652e+03 -1.07819113e+00  1.00000000e+00 -2.73109488e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.46698624e+03 -1.35983583e+00  1.00000000e+00 -2.17334145e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.46698580e+03 -1.71389657e+00  1.00000000e+00 -1.72833053e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.46698510e+03 -2.15922818e+00  1.00000000e+00 -1.37385803e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.46698399e+03 -2.71954582e+00  1.00000000e+00 -1.09179596e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.46698224e+03 -3.42468774e+00  1.00000000e+00 -8.67498853e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
