 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  2.39308293e+03 -2.79613411e-01  1.00000000e+00 -7.08269199e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.39308290e+03 -3.59931013e-01  1.00000000e+00 -5.75254042e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.39308287e+03 -4.59416250e-01  1.00000000e+00 -4.63283513e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.39308282e+03 -5.83367070e-01  1.00000000e+00 -3.71178262e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.39308273e+03 -7.38384297e-01  1.00000000e+00 -2.96430771e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.39308260e+03 -9.32723148e-01  1.00000000e+00 -2.36262022e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.39308238e+03 -1.17673284e+00  1.00000000e+00 -1.88070015e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.39308204e+03 -1.48340773e+00  1.00000000e+00 -1.49590167e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.39308150e+03 -1.86907923e+00  1.00000000e+00 -1.18924554e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.39308064e+03 -2.35428551e+00  1.00000000e+00 -9.45159337e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.39307929e+03 -2.96486506e+00  1.00000000e+00 -7.51024536e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
