 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  2.34768984e+03 -2.66500380e-01  1.00000000e+00 -6.75053500e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.34768982e+03 -3.43316848e-01  1.00000000e+00 -5.48700723e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.34768978e+03 -4.38416187e-01  1.00000000e+00 -4.42106685e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.34768973e+03 -5.56862780e-01  1.00000000e+00 -3.54314420e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.34768965e+03 -7.04964331e-01  1.00000000e+00 -2.83014050e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.34768953e+03 -8.90607775e-01  1.00000000e+00 -2.25594068e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.34768933e+03 -1.12367927e+00  1.00000000e+00 -1.79590808e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.34768901e+03 -1.41659067e+00  1.00000000e+00 -1.42852212e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.34768851e+03 -1.78494046e+00  1.00000000e+00 -1.13571061e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.34768771e+03 -2.24834438e+00  1.00000000e+00 -9.02628281e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.34768645e+03 -2.83147992e+00  1.00000000e+00 -7.17237523e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
