 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  2.46720915e+03 -3.17926343e-01  1.00000000e+00 -8.05316989e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.46720912e+03 -4.08126377e-01  1.00000000e+00 -6.52281494e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.46720908e+03 -5.20060624e-01  1.00000000e+00 -5.24438347e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.46720902e+03 -6.59689985e-01  1.00000000e+00 -4.19740112e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.46720891e+03 -8.34450222e-01  1.00000000e+00 -3.34997219e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.46720874e+03 -1.05364793e+00  1.00000000e+00 -2.66892628e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.46720848e+03 -1.32895615e+00  1.00000000e+00 -2.12398857e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.46720805e+03 -1.67503596e+00  1.00000000e+00 -1.68914290e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.46720739e+03 -2.11031719e+00  1.00000000e+00 -1.34273763e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.46720633e+03 -2.65797983e+00  1.00000000e+00 -1.06707992e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.46720465e+03 -3.34718821e+00  1.00000000e+00 -8.47868156e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
