 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  2.46227312e+03 -3.09067035e-01  1.00000000e+00 -7.82876101e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.46227309e+03 -3.97034754e-01  1.00000000e+00 -6.34554490e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.46227305e+03 -5.06146017e-01  1.00000000e+00 -5.10406618e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.46227299e+03 -6.42211390e-01  1.00000000e+00 -4.08619039e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.46227289e+03 -8.12476842e-01  1.00000000e+00 -3.26175830e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.46227273e+03 -1.02600961e+00  1.00000000e+00 -2.59891763e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.46227248e+03 -1.29418105e+00  1.00000000e+00 -2.06840987e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.46227208e+03 -1.63127219e+00  1.00000000e+00 -1.64501082e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.46227144e+03 -2.05523420e+00  1.00000000e+00 -1.30769014e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.46227044e+03 -2.58864429e+00  1.00000000e+00 -1.03924469e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.46226884e+03 -3.25990786e+00  1.00000000e+00 -8.25759896e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
