 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  1.88929802e+03 -1.66107720e-01  1.00000000e+00 -4.20755903e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  1.88929801e+03 -2.15405857e-01  1.00000000e+00 -3.44269051e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  1.88929799e+03 -2.76175140e-01  1.00000000e+00 -2.78499984e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  1.88929797e+03 -3.51651753e-01  1.00000000e+00 -2.23745117e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  1.88929793e+03 -4.45855098e-01  1.00000000e+00 -1.78992491e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  1.88929787e+03 -5.63801842e-01  1.00000000e+00 -1.42813097e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  1.88929777e+03 -7.11773068e-01  1.00000000e+00 -1.13758496e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  1.88929761e+03 -8.97648759e-01  1.00000000e+00 -9.05211168e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  1.88929736e+03 -1.13132743e+00  1.00000000e+00 -7.19836152e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  1.88929696e+03 -1.42525323e+00  1.00000000e+00 -5.72190093e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  1.88929633e+03 -1.79507860e+00  1.00000000e+00 -4.54712052e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
