 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  2.46746324e+03 -3.21569142e-01  1.00000000e+00 -8.14544306e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.46746321e+03 -4.12685107e-01  1.00000000e+00 -6.59567407e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.46746317e+03 -5.25778052e-01  1.00000000e+00 -5.30203898e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.46746310e+03 -6.66870586e-01  1.00000000e+00 -4.24308899e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.46746299e+03 -8.43476387e-01  1.00000000e+00 -3.38620845e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.46746282e+03 -1.06500034e+00  1.00000000e+00 -2.69768224e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.46746255e+03 -1.34323935e+00  1.00000000e+00 -2.14681643e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.46746212e+03 -1.69301058e+00  1.00000000e+00 -1.70726878e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.46746144e+03 -2.13294044e+00  1.00000000e+00 -1.35713203e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.46746036e+03 -2.68645644e+00  1.00000000e+00 -1.07851203e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.46745865e+03 -3.38303464e+00  1.00000000e+00 -8.56948091e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
