x,real,imag
1.0,-0.5000000000000001,6.12403256084882e-17
1.019373485938873,-0.5000000000000001,6.124018969679999e-17
1.039122303835169,-0.5000000000000001,6.124005548107916e-17
1.059253725177289,-0.5000000000000001,6.123992297871556e-17
1.07977516232771,-0.5,6.123979220399269e-17
1.10069417125221,-0.5,6.12396631683021e-17
1.122018454301964,-0.5,6.12395358803448e-17
1.143755863049539,-0.5,6.123941034632097e-17
1.165914401179832,-0.5,6.123928657010796e-17
1.188502227437019,-0.5,6.123916455342791e-17
1.211527658628589,-0.5,6.123904429600507e-17
1.234999172687586,-0.5,6.123892579571373e-17
1.258925411794168,-0.5000000000000001,6.123880904871721e-17
1.283315185557652,-0.5,6.123869404959818e-17
1.308177474260195,-0.5,6.123858079148147e-17
1.333521432163325,-0.5,6.12384692661488e-17
1.359356390878527,-0.5000000000000001,6.123835946414695e-17
1.385691862803129,-0.5,6.12382513748889e-17
1.412537544622755,-0.5,6.123814498674903e-17
1.439903320881634,-0.5,6.123804028715207e-17
1.467799267622071,-0.5,6.123793726265665e-17
1.496235656094435,-0.5,6.123783589903362e-17
1.52522295653902,-0.5,6.123773618133936e-17
1.554771842041175,-0.5,6.123763809398446e-17
1.584893192461115,-0.5,6.123754162079799e-17
1.615598098439875,-0.5,6.12374467450877e-17
1.64689786548287,-0.5000000000000001,6.123735344969619e-17
1.678804018122562,-0.5,6.123726171705359e-17
1.711328304161782,-0.5,6.123717152922672e-17
1.744482698999256,-0.5,6.1237082867965e-17
1.778279410038925,-0.5,6.123699571474319e-17
1.812730881184701,-0.5,6.123691005080157e-17
1.847849797422293,-0.5,6.1236825857183e-17
1.883649089489803,-0.5,6.123674311476784e-17
1.920141938638804,-0.5,6.123666180430619e-17
1.957341781487663,-0.5,6.123658190644794e-17
1.995262314968882,-0.5,6.123650340177086e-17
2.033917501372295,-0.5,6.12364262708065e-17
2.073321573485958,-0.5,6.123635049406431e-17
2.113489039836649,-0.5000000000000001,6.123627605205404e-17
2.154434690031886,-0.5,6.123620292530632e-17
2.196173600205439,-0.5,6.123613109439199e-17
2.238721138568343,-0.5,6.123606053993961e-17
2.282092971067454,-0.5,6.123599124265196e-17
2.326305067153629,-0.5,6.123592318332091e-17
2.371373705661659,-0.5000000000000001,6.123585634284139e-17
2.417315480804108,-0.5,6.123579070222396e-17
2.464147308281285,-0.5,6.123572624260663e-17
2.511886431509584,-0.5,6.12356629452653e-17
2.56055042797048,-0.5000000000000001,6.123560079162365e-17
2.610157215682541,-0.5,6.12355397632618e-17
2.660725059798814,-0.5,6.123547984192449e-17
2.712272579332033,-0.5,6.12354210095283e-17
2.764818754010113,-0.5,6.123536324816805e-17
2.818382931264459,-0.5,6.123530654012288e-17
2.87298483335367,-0.5,6.123525086786122e-17
2.928644564625242,-0.5,6.123519621404569e-17
2.985382618917966,-0.5,6.123514256153698e-17
3.043219887107728,-0.5,6.123508989339762e-17
3.102177664799508,-0.5,6.123503819289492e-17
3.162277660168387,-0.5,6.123498744350369e-17
3.22354200195247,-0.5,6.123493762890855e-17
3.285993247600662,-0.5,6.123488873300562e-17
3.349654391578285,-0.5,6.12348407399042e-17
3.41454887383361,-0.5,6.123479363392771e-17
3.480700588428419,-0.5,6.123474739961473e-17
3.548133892335763,-0.5000000000000001,6.123470202171942e-17
3.616873614408168,-0.5,6.12346574852118e-17
3.686945064519584,-0.5,6.12346137752779e-17
3.758374042884451,-0.5,6.123457087731937e-17
3.831186849557297,-0.5000000000000001,6.123452877695329e-17
3.90541029411639,-0.5,6.123448746001128e-17
3.981071705534982,-0.5,6.123444691253897e-17
4.058198942243808,-0.5,6.123440712079485e-17
4.136820402388517,-0.5,6.123436807124923e-17
4.216965034285833,-0.5000000000000001,6.123432975058295e-17
4.298662347082288,-0.5,6.123429214568599e-17
4.381942421619448,-0.5000000000000001,6.123425524365596e-17
4.466835921509642,-0.5000000000000001,6.12342190317965e-17
4.553374104426261,-0.5,6.123418349761549e-17
4.641588833612791,-0.5,6.12341486288233e-17
4.731512589614817,-0.5,6.123411441333095e-17
4.823178482239319,-0.5,6.123408083924792e-17
4.916620262745656,-0.5,6.123404789488038e-17
5.011872336272736,-0.5000000000000001,6.123401556872903e-17
5.108969774506941,-0.5,6.123398384948675e-17
5.207948328595478,-0.5,6.123395272603673e-17
5.308844442309899,-0.5,6.123392218745004e-17
5.411695265464652,-0.5000000000000001,6.12338922229834e-17
5.516538667595595,-0.5,6.123386282207684e-17
5.623413251903506,-0.5,6.123383397435156e-17
5.73235836946773,-0.5,6.123380566960735e-17
5.843414133735193,-0.5,6.123377789782043e-17
5.956621435290122,-0.5,6.123375064914093e-17
6.072021956909904,-0.5,6.123372391389059e-17
6.189658188912625,-0.5,6.123369768256038e-17
6.309573444801952,-0.5,6.123367194580805e-17
6.431811877215107,-0.5,6.123364669445578e-17
6.556418494179809,-0.5,6.123362191948777e-17
6.683439175686167,-0.5,6.123359761204791e-17
6.812920690579634,-0.5,6.123357376343729e-17
6.944910713781234,-0.5,6.123355036511193e-17
7.079457843841402,-0.5000000000000001,6.123352740868042e-17
7.216611620833906,-0.5,6.123350488590144e-17
7.356422544596438,-0.5,6.12334827886816e-17
7.498942093324583,-0.5,6.123346110907306e-17
7.644222742526028,-0.5,6.123343983927114e-17
7.792317984341968,-0.5,6.123341897161215e-17
7.943282347242842,-0.5,6.123339849857105e-17
8.097171416105647,-0.5,6.12333784127593e-17
8.254041852680212,-0.5000000000000001,6.123335870692249e-17
8.41395141645198,-0.5,6.123333937393828e-17
8.57695898590897,-0.5,6.123332040681411e-17
8.743124580220766,-0.5,6.123330179868514e-17
8.912509381337486,-0.5,6.123328354281202e-17
9.0851757565169,-0.5,6.123326563257886e-17
9.261187281287969,-0.5,6.123324806149108e-17
9.440608762859268,-0.5,6.123323082317342e-17
9.623506263980921,-0.5,6.123321391136783e-17
9.80994712726881,-0.5,6.12331973199315e-17
10.00000000000004,-0.5,6.123318104283491e-17
10.19373485938877,-0.5000000000000001,6.123316507415982e-17
10.39122303835173,-0.5000000000000001,6.123314940809731e-17
10.59253725177293,-0.5,6.1233134038946e-17
10.79775162327714,-0.5,6.123311896111004e-17
11.00694171252214,-0.5,6.123310416909736e-17
11.22018454301968,-0.5,6.123308965751776e-17
