device,ids,gm,gds,vgs,vds,vdsat
M8,-9.999998820817449e-06,0.0001020060154098754,3.364582216767255e-07,-1.16724668807448,-1.16724668807448,-0.1697032387080531
M9,-9.991455090098753e-06,0.0001019238855917208,3.417718766349632e-07,-1.16724668807448,-1.142051055908431,-0.1696953444088251
M10,9.991455574786466e-06,0.0001727560309578963,1.03621407889318e-06,0.6579489440915688,0.6579489440915688,0.09235519778443227
M1,6.644114221960202e-08,1.719799356234862e-06,1.500133347057703e-08,0.3955685764555999,1.098277324216692,0.04092520528868101
M2,6.921295578577003e-08,1.788872345701358e-06,1.710101122141769e-08,0.3997906302169523,0.8082025470026689,0.04094382243282504
M3A,-3.322048303905379e-08,7.666155432949754e-07,4.949357531103537e-09,-0.7015133060002605,-0.7015133060002605,-0.04404813423103426
M3B,-3.322048303905379e-08,7.666155432949754e-07,4.949357531103537e-09,-0.7015133060002605,-0.7015133060002605,-0.04404813423103426
M4A,-3.460588402820054e-08,7.966791481101167e-07,4.643676066010396e-09,-0.7015133060002605,-0.9915880832142834,-0.04405503312894295
M4B,-3.460588402820054e-08,7.966791481101167e-07,4.643676066010396e-09,-0.7015133060002605,-0.9915880832142834,-0.04405503312894295
M5,1.356540970300752e-07,1.539729305236826e-06,0.0006471963247243116,0.6579489440915688,0.0002093697830477526,0.09854164658916358
M6,9.067579193663765e-05,0.0008428467226987967,2.166350601476391e-05,0.8084119167857167,0.3957779462386476,0.1682878215651719
M7A,-4.731677904128032e-05,0.0004937710655841505,1.39660910146146e-06,-1.16724668807448,-1.404222053761352,-0.165169763032615
M7B,-4.731677904128032e-05,0.0004937710655841505,1.39660910146146e-06,-1.16724668807448,-1.404222053761352,-0.165169763032615
