frequency_hz,real,imag,abs,unwrapped_phase_deg,min_singular_value
1.000000000000000000e+00,7.993478285412189551e+06,-3.294063947453773289e+04,7.993546158313291147e+06,-2.361110977312126380e-01,9.907849608515604256e-01
1.019373485938873003e+00,7.993473215262434445e+06,-3.357879420195989223e+04,7.993543743455591612e+06,-2.406853467032908089e-01,9.907849608524337270e-01
1.039122303835168903e+00,7.993467946755909361e+06,-3.422931100883034378e+04,7.993541234118096530e+06,-2.453482120941102296e-01,9.907849608516098305e-01
1.059253725177289107e+00,7.993462472106384113e+06,-3.489242932040756568e+04,7.993538626578155905e+06,-2.501014105511354391e-01,9.907849608522875107e-01
1.079775162327710092e+00,7.993456783313692547e+06,-3.556839319656230509e+04,7.993535917058124207e+06,-2.549466919692572331e-01,9.907849608514135431e-01
1.100694171252210030e+00,7.993450871973044239e+06,-3.625745142066357221e+04,7.993533101540903561e+06,-2.598858401352590608e-01,9.907849608510596040e-01
1.122018454301964008e+00,7.993444729343893006e+06,-3.695985759106055775e+04,7.993530175845263526e+06,-2.649206733830426486e-01,9.907849608510077566e-01
1.143755863049539023e+00,7.993438346450764686e+06,-3.767587021467304294e+04,7.993527135733384639e+06,-2.700530452626860312e-01,9.907849608506373862e-01
1.165914401179831916e+00,7.993431713735818863e+06,-3.840575279964800575e+04,7.993523976570387371e+06,-2.752848452179063043e-01,9.907849608508860761e-01
1.188502227437018943e+00,7.993424821660859510e+06,-3.914977395701472415e+04,7.993520693933608010e+06,-2.806179992961165826e-01,9.907849608501277938e-01
1.211527658628589021e+00,7.993417659976720810e+06,-3.990820749272313697e+04,7.993517282889490947e+06,-2.860544708348893295e-01,9.907849608505501227e-01
1.234999172687585967e+00,7.993410218076079153e+06,-4.068133251145708346e+04,7.993513738354240544e+06,-2.915962611963234807e-01,9.907849608493065618e-01
1.258925411794167948e+00,7.993402485078736208e+06,-4.146943351935895043e+04,7.993510055187228136e+06,-2.972454105021923310e-01,9.907849608499265104e-01
1.283315185557651894e+00,7.993394449541843496e+06,-4.227280052666338452e+04,7.993506227909671143e+06,-3.030039983823527017e-01,9.907849608495257199e-01
1.308177474260195039e+00,7.993386099623384885e+06,-4.309172915440823999e+04,7.993502250876886770e+06,-3.088741447361867398e-01,9.907849608488944471e-01
1.333521432163325082e+00,7.993377423054797575e+06,-4.392652074377587269e+04,7.993498118260039948e+06,-3.148580105197895662e-01,9.907849608488925597e-01
1.359356390878527110e+00,7.993368407116686925e+06,-4.477748246572376229e+04,7.993493824031336233e+06,-3.209577985353059271e-01,9.907849608488057402e-01
1.385691862803128949e+00,7.993359038446811028e+06,-4.564492743190965848e+04,7.993489361781848595e+06,-3.271757542366063309e-01,9.907849608480090442e-01
1.412537544622755048e+00,7.993349303270481527e+06,-4.652917481139062875e+04,7.993484724962155335e+06,-3.335141665597253779e-01,9.907849608479117887e-01
1.439903320881634086e+00,7.993339187294480391e+06,-4.743054994691255706e+04,7.993479906786897220e+06,-3.399753687636913324e-01,9.907849608473240366e-01
