 time                   v(out)                
 0.000000000000000e+00  1.718068324769174e+00 
 1.000000000000000e-11  1.718068324769174e+00 
 2.000000000000000e-11  1.718068324769175e+00 
 4.000000000000000e-11  1.718068324769176e+00 
 8.000000000000001e-11  1.718068324769177e+00 
 1.600000000000000e-10  1.718068324769178e+00 
 3.200000000000000e-10  1.718068324769179e+00 
 6.400000000000001e-10  1.718068324769181e+00 
 1.280000000000000e-09  1.718068324769183e+00 
 2.280000000000000e-09  1.718068324769187e+00 
 3.280000000000000e-09  1.718068324769187e+00 
 4.280000000000000e-09  1.718068324769188e+00 
 5.280000000000000e-09  1.718068324769189e+00 
 6.280000000000000e-09  1.718068324769190e+00 
 7.280000000000000e-09  1.718068324769191e+00 
 8.280000000000000e-09  1.718068324769192e+00 
 9.280000000000001e-09  1.718068324769192e+00 
 1.028000000000000e-08  1.718068324769193e+00 
 1.128000000000000e-08  1.718068324769194e+00 
 1.228000000000000e-08  1.718068324769194e+00 
 1.328000000000000e-08  1.718068324769194e+00 
 1.428000000000000e-08  1.718068324769194e+00 
 1.528000000000001e-08  1.718068324769195e+00 
 1.628000000000000e-08  1.718068324769196e+00 
 1.728000000000000e-08  1.718068324769196e+00 
 1.828000000000000e-08  1.718068324769196e+00 
 1.928000000000000e-08  1.718068324769196e+00 
 2.028000000000000e-08  1.718068324769197e+00 
 2.128000000000000e-08  1.718068324769197e+00 
 2.228000000000000e-08  1.718068324769197e+00 
 2.328000000000000e-08  1.718068324769198e+00 
 2.428000000000000e-08  1.718068324769199e+00 
 2.528000000000000e-08  1.718068324769199e+00 
 2.627999999999999e-08  1.718068324769200e+00 
 2.727999999999999e-08  1.718068324769200e+00 
 2.827999999999999e-08  1.718068324769200e+00 
 2.927999999999999e-08  1.718068324769201e+00 
 3.027999999999999e-08  1.718068324769201e+00 
 3.127999999999999e-08  1.718068324769201e+00 
 3.228000000000000e-08  1.718068324769202e+00 
 3.328000000000000e-08  1.718068324769202e+00 
 3.428000000000000e-08  1.718068324769203e+00 
 3.528000000000000e-08  1.718068324769203e+00 
 3.628000000000000e-08  1.718068324769203e+00 
 3.728000000000001e-08  1.718068324769203e+00 
 3.828000000000001e-08  1.718068324769203e+00 
 3.928000000000001e-08  1.718068324769203e+00 
 4.028000000000001e-08  1.718068324769203e+00 
 4.128000000000002e-08  1.718068324769203e+00 
 4.228000000000002e-08  1.718068324769203e+00 
 4.328000000000002e-08  1.718068324769203e+00 
 4.428000000000002e-08  1.718068324769203e+00 
 4.528000000000003e-08  1.718068324769203e+00 
 4.628000000000003e-08  1.718068324769203e+00 
 4.728000000000003e-08  1.718068324769203e+00 
 4.828000000000003e-08  1.718068324769203e+00 
 4.928000000000003e-08  1.718068324769203e+00 
 5.028000000000004e-08  1.718068324769203e+00 
 5.128000000000004e-08  1.718068324769203e+00 
 5.228000000000004e-08  1.718068324769203e+00 
 5.328000000000004e-08  1.718068324769203e+00 
 5.428000000000005e-08  1.718068324769203e+00 
 5.528000000000005e-08  1.718068324769203e+00 
 5.628000000000005e-08  1.718068324769203e+00 
 5.728000000000005e-08  1.718068324769203e+00 
 5.828000000000006e-08  1.718068324769203e+00 
 5.928000000000006e-08  1.718068324769203e+00 
 6.028000000000006e-08  1.718068324769203e+00 
 6.128000000000006e-08  1.718068324769203e+00 
 6.228000000000005e-08  1.718068324769203e+00 
 6.328000000000005e-08  1.718068324769203e+00 
 6.428000000000004e-08  1.718068324769203e+00 
 6.528000000000004e-08  1.718068324769203e+00 
 6.628000000000003e-08  1.718068324769203e+00 
 6.728000000000003e-08  1.718068324769203e+00 
 6.828000000000003e-08  1.718068324769203e+00 
 6.928000000000002e-08  1.718068324769203e+00 
 7.028000000000002e-08  1.718068324769203e+00 
 7.128000000000001e-08  1.718068324769203e+00 
 7.228000000000001e-08  1.718068324769203e+00 
 7.328000000000001e-08  1.718068324769203e+00 
 7.428000000000000e-08  1.718068324769203e+00 
 7.528000000000000e-08  1.718068324769203e+00 
 7.627999999999999e-08  1.718068324769203e+00 
 7.727999999999999e-08  1.718068324769203e+00 
 7.827999999999998e-08  1.718068324769203e+00 
 7.927999999999998e-08  1.718068324769203e+00 
 8.027999999999998e-08  1.718068324769203e+00 
 8.127999999999997e-08  1.718068324769203e+00 
 8.227999999999997e-08  1.718068324769203e+00 
 8.327999999999996e-08  1.718068324769203e+00 
 8.427999999999996e-08  1.718068324769203e+00 
 8.527999999999995e-08  1.718068324769203e+00 
 8.627999999999995e-08  1.718068324769203e+00 
 8.727999999999995e-08  1.718068324769203e+00 
 8.827999999999994e-08  1.718068324769203e+00 
 8.927999999999994e-08  1.718068324769203e+00 
 9.027999999999993e-08  1.718068324769203e+00 
 9.127999999999993e-08  1.718068324769203e+00 
 9.227999999999992e-08  1.718068324769203e+00 
 9.327999999999992e-08  1.718068324769203e+00 
 9.427999999999992e-08  1.718068324769203e+00 
 9.527999999999991e-08  1.718068324769203e+00 
 9.627999999999991e-08  1.718068324769203e+00 
 9.727999999999990e-08  1.718068324769203e+00 
 9.827999999999990e-08  1.718068324769203e+00 
 9.927999999999989e-08  1.718068324769203e+00 
 1.002799999999999e-07  1.718068324769203e+00 
 1.012799999999999e-07  1.718068324769203e+00 
 1.022799999999999e-07  1.718068324769203e+00 
 1.032799999999999e-07  1.718068324769203e+00 
 1.042799999999999e-07  1.718068324769203e+00 
 1.052799999999999e-07  1.718068324769203e+00 
 1.062799999999999e-07  1.718068324769203e+00 
 1.072799999999999e-07  1.718068324769203e+00 
 1.082799999999999e-07  1.718068324769203e+00 
 1.092799999999999e-07  1.718068324769203e+00 
 1.102799999999998e-07  1.718068324769203e+00 
 1.112799999999998e-07  1.718068324769203e+00 
 1.122799999999998e-07  1.718068324769203e+00 
 1.132799999999998e-07  1.718068324769203e+00 
 1.142799999999998e-07  1.718068324769203e+00 
 1.152799999999998e-07  1.718068324769203e+00 
 1.162799999999998e-07  1.718068324769203e+00 
 1.172799999999998e-07  1.718068324769203e+00 
 1.182799999999998e-07  1.718068324769203e+00 
 1.192799999999998e-07  1.718068324769203e+00 
 1.202799999999998e-07  1.718068324769203e+00 
 1.212799999999998e-07  1.718068324769203e+00 
 1.222799999999998e-07  1.718068324769203e+00 
 1.232799999999998e-07  1.718068324769203e+00 
 1.242799999999998e-07  1.718068324769203e+00 
 1.252799999999998e-07  1.718068324769203e+00 
 1.262799999999998e-07  1.718068324769203e+00 
 1.272799999999998e-07  1.718068324769203e+00 
 1.282799999999998e-07  1.718068324769203e+00 
 1.292799999999998e-07  1.718068324769203e+00 
 1.302799999999998e-07  1.718068324769203e+00 
 1.312799999999998e-07  1.718068324769203e+00 
 1.322799999999998e-07  1.718068324769203e+00 
 1.332799999999997e-07  1.718068324769203e+00 
 1.342799999999997e-07  1.718068324769203e+00 
 1.352799999999997e-07  1.718068324769203e+00 
 1.362799999999997e-07  1.718068324769203e+00 
 1.372799999999997e-07  1.718068324769203e+00 
 1.382799999999997e-07  1.718068324769203e+00 
 1.392799999999997e-07  1.718068324769203e+00 
 1.402799999999997e-07  1.718068324769203e+00 
 1.412799999999997e-07  1.718068324769203e+00 
 1.422799999999997e-07  1.718068324769203e+00 
 1.432799999999997e-07  1.718068324769203e+00 
 1.442799999999997e-07  1.718068324769203e+00 
 1.452799999999997e-07  1.718068324769203e+00 
 1.462799999999997e-07  1.718068324769203e+00 
 1.472799999999997e-07  1.718068324769203e+00 
 1.482799999999997e-07  1.718068324769203e+00 
 1.492799999999997e-07  1.718068324769203e+00 
 1.502799999999997e-07  1.718068324769203e+00 
 1.512799999999997e-07  1.718068324769203e+00 
 1.522799999999997e-07  1.718068324769203e+00 
 1.532799999999997e-07  1.718068324769203e+00 
 1.542799999999997e-07  1.718068324769203e+00 
 1.552799999999997e-07  1.718068324769203e+00 
 1.562799999999996e-07  1.718068324769203e+00 
 1.572799999999996e-07  1.718068324769203e+00 
 1.582799999999996e-07  1.718068324769203e+00 
 1.592799999999996e-07  1.718068324769203e+00 
 1.602799999999996e-07  1.718068324769203e+00 
 1.612799999999996e-07  1.718068324769203e+00 
 1.622799999999996e-07  1.718068324769203e+00 
 1.632799999999996e-07  1.718068324769203e+00 
 1.642799999999996e-07  1.718068324769203e+00 
 1.652799999999996e-07  1.718068324769203e+00 
 1.662799999999996e-07  1.718068324769203e+00 
