 frequency       onoise_spectrum inoise_spectrum
 1.23026877e+01  8.08418695e-06  2.54623067e-07 
 1.25892541e+01  7.99472275e-06  2.51805264e-07 
 1.28824955e+01  7.90625828e-06  2.49018949e-07 
 1.31825674e+01  7.81878232e-06  2.46263768e-07 
 1.34896288e+01  7.73228375e-06  2.43539371e-07 
 1.38038426e+01  7.64675158e-06  2.40845413e-07 
 1.41253754e+01  7.56217495e-06  2.38181550e-07 
 1.44543977e+01  7.47854312e-06  2.35547446e-07 
 1.47910839e+01  7.39584547e-06  2.32942765e-07 
 1.51356125e+01  7.31407151e-06  2.30367176e-07 
 1.54881662e+01  7.23321085e-06  2.27820354e-07 
 1.58489319e+01  7.15325324e-06  2.25301974e-07 
 1.62181010e+01  7.07418853e-06  2.22811718e-07 
 1.65958691e+01  6.99600668e-06  2.20349268e-07 
 1.69824365e+01  6.91869777e-06  2.17914313e-07 
 1.73780083e+01  6.84225202e-06  2.15506545e-07 
 1.77827941e+01  6.76665971e-06  2.13125656e-07 
 1.81970086e+01  6.69191126e-06  2.10771347e-07 
 1.86208714e+01  6.61799720e-06  2.08443317e-07 
 1.90546072e+01  6.54490816e-06  2.06141273e-07 
 1.94984460e+01  6.47263487e-06  2.03864922e-07 
 1.99526231e+01  6.40116817e-06  2.01613976e-07 
 2.04173794e+01  6.33049901e-06  1.99388150e-07 
 2.08929613e+01  6.26061844e-06  1.97187161e-07 
 2.13796209e+01  6.19151761e-06  1.95010731e-07 
 2.18776162e+01  6.12318775e-06  1.92858584e-07 
 2.23872114e+01  6.05562022e-06  1.90730448e-07 
 2.29086765e+01  5.98880647e-06  1.88626053e-07 
 2.34422882e+01  5.92273803e-06  1.86545132e-07 
 2.39883292e+01  5.85740655e-06  1.84487423e-07 
 2.45470892e+01  5.79280375e-06  1.82452666e-07 
 2.51188643e+01  5.72892145e-06  1.80440601e-07 
 2.57039578e+01  5.66575159e-06  1.78450976e-07 
 2.63026799e+01  5.60328616e-06  1.76483537e-07 
 2.69153480e+01  5.54151727e-06  1.74538037e-07 
 2.75422870e+01  5.48043710e-06  1.72614230e-07 
 2.81838293e+01  5.42003793e-06  1.70711871e-07 
 2.88403150e+01  5.36031212e-06  1.68830721e-07 
 2.95120923e+01  5.30125213e-06  1.66970542e-07 
 3.01995172e+01  5.24285048e-06  1.65131099e-07 
 3.09029543e+01  5.18509981e-06  1.63312158e-07 
 3.16227766e+01  5.12799281e-06  1.61513491e-07 
 3.23593657e+01  5.07152227e-06  1.59734871e-07 
 3.31131121e+01  5.01568105e-06  1.57976071e-07 
 3.38844156e+01  4.96046211e-06  1.56236872e-07 
 3.46736850e+01  4.90585847e-06  1.54517051e-07 
 3.54813389e+01  4.85186323e-06  1.52816394e-07 
 3.63078055e+01  4.79846959e-06  1.51134685e-07 
 3.71535229e+01  4.74567079e-06  1.49471711e-07 
 3.80189396e+01  4.69346019e-06  1.47827263e-07 
 3.89045145e+01  4.64183119e-06  1.46201134e-07 
 3.98107171e+01  4.59077728e-06  1.44593117e-07 
 4.07380278e+01  4.54029201e-06  1.43003012e-07 
 4.16869383e+01  4.49036903e-06  1.41430616e-07 
 4.26579519e+01  4.44100203e-06  1.39875731e-07 
 4.36515832e+01  4.39218480e-06  1.38338162e-07 
 4.46683592e+01  4.34391118e-06  1.36817715e-07 
 4.57088190e+01  4.29617508e-06  1.35314199e-07 
 4.67735141e+01  4.24897049e-06  1.33827422e-07 
 4.78630092e+01  4.20229147e-06  1.32357199e-07 
 4.89778819e+01  4.15613212e-06  1.30903345e-07 
 5.01187234e+01  4.11048665e-06  1.29465675e-07 
 5.12861384e+01  4.06534929e-06  1.28044009e-07 
 5.24807460e+01  4.02071437e-06  1.26638168e-07 
 5.37031796e+01  3.97657627e-06  1.25247976e-07 
 5.49540874e+01  3.93292943e-06  1.23873256e-07 
 5.62341325e+01  3.88976836e-06  1.22513836e-07 
 5.75439937e+01  3.84708762e-06  1.21169545e-07 
 5.88843655e+01  3.80488186e-06  1.19840214e-07 
 6.02559586e+01  3.76314575e-06  1.18525675e-07 
 6.16595002e+01  3.72187405e-06  1.17225764e-07 
 6.30957344e+01  3.68106158e-06  1.15940316e-07 
 6.45654229e+01  3.64070319e-06  1.14669171e-07 
 6.60693448e+01  3.60079381e-06  1.13412168e-07 
 6.76082975e+01  3.56132844e-06  1.12169149e-07 
 6.91830971e+01  3.52230211e-06  1.10939959e-07 
 7.07945784e+01  3.48370991e-06  1.09724442e-07 
 7.24435960e+01  3.44554700e-06  1.08522447e-07 
 7.41310241e+01  3.40780858e-06  1.07333821e-07 
 7.58577575e+01  3.37048992e-06  1.06158417e-07 
 7.76247117e+01  3.33358634e-06  1.04996085e-07 
 7.94328235e+01  3.29709319e-06  1.03846681e-07 
 8.12830516e+01  3.26100589e-06  1.02710060e-07 
 8.31763771e+01  3.22531992e-06  1.01586079e-07 
 8.51138038e+01  3.19003081e-06  1.00474598e-07 
 8.70963590e+01  3.15513411e-06  9.93754767e-08 
 8.91250938e+01  3.12062547e-06  9.82885773e-08 
 9.12010839e+01  3.08650054e-06  9.72137637e-08 
 9.33254301e+01  3.05275505e-06  9.61509011e-08 
 9.54992586e+01  3.01938477e-06  9.50998563e-08 
 9.77237221e+01  2.98638551e-06  9.40604974e-08 
 1.00000000e+02  2.95375314e-06  9.30326942e-08 
 1.02329299e+02  2.92148358e-06  9.20163180e-08 
 1.04712855e+02  2.88957277e-06  9.10112414e-08 
 1.07151931e+02  2.85801673e-06  9.00173385e-08 
 1.09647820e+02  2.82681149e-06  8.90344849e-08 
 1.12201845e+02  2.79595316e-06  8.80625574e-08 
 1.14815362e+02  2.76543786e-06  8.71014344e-08 
 1.17489755e+02  2.73526178e-06  8.61509956e-08 
 1.20226443e+02  2.70542115e-06  8.52111220e-08 
 1.23026877e+02  2.67591222e-06  8.42816960e-08 
 1.25892541e+02  2.64673131e-06  8.33626014e-08 
 1.28824955e+02  2.61787476e-06  8.24537232e-08 
 1.31825674e+02  2.58933898e-06  8.15549476e-08 
 1.34896288e+02  2.56112038e-06  8.06661624e-08 
 1.38038426e+02  2.53321544e-06  7.97872565e-08 
 1.41253754e+02  2.50562068e-06  7.89181198e-08 
 1.44543977e+02  2.47833264e-06  7.80586439e-08 
 1.47910839e+02  2.45134791e-06  7.72087213e-08 
 1.51356125e+02  2.42466313e-06  7.63682459e-08 
 1.54881662e+02  2.39827496e-06  7.55371126e-08 
 1.58489319e+02  2.37218010e-06  7.47152177e-08 
 1.62181010e+02  2.34637530e-06  7.39024586e-08 
 1.65958691e+02  2.32085734e-06  7.30987337e-08 
 1.69824365e+02  2.29562302e-06  7.23039428e-08 
 1.73780083e+02  2.27066920e-06  7.15179867e-08 
 1.77827941e+02  2.24599277e-06  7.07407672e-08 
 1.81970086e+02  2.22159065e-06  6.99721875e-08 
 1.86208714e+02  2.19745980e-06  6.92121516e-08 
 1.90546072e+02  2.17359720e-06  6.84605649e-08 
 1.94984460e+02  2.14999988e-06  6.77173335e-08 
 1.99526231e+02  2.12666489e-06  6.69823648e-08 
 2.04173794e+02  2.10358934e-06  6.62555673e-08 
 2.08929613e+02  2.08077034e-06  6.55368502e-08 
 2.13796209e+02  2.05820505e-06  6.48261242e-08 
 2.18776162e+02  2.03589066e-06  6.41233006e-08 
 2.23872114e+02  2.01382440e-06  6.34282919e-08 
 2.29086765e+02  1.99200350e-06  6.27410116e-08 
 2.34422882e+02  1.97042526e-06  6.20613741e-08 
 2.39883292e+02  1.94908699e-06  6.13892948e-08 
 2.45470892e+02  1.92798603e-06  6.07246900e-08 
