 frequency              gain                  
 1.000000000000000e+00  4.039501999627441e+00 
 1.019373485938873e+00  4.039501999627436e+00 
 1.039122303835169e+00  4.039501999627430e+00 
 1.059253725177289e+00  4.039501999627425e+00 
 1.079775162327710e+00  4.039501999627420e+00 
 1.100694171252210e+00  4.039501999627412e+00 
 1.122018454301964e+00  4.039501999627406e+00 
 1.143755863049539e+00  4.039501999627399e+00 
 1.165914401179832e+00  4.039501999627390e+00 
 1.188502227437019e+00  4.039501999627385e+00 
 1.211527658628589e+00  4.039501999627375e+00 
 1.234999172687586e+00  4.039501999627370e+00 
 1.258925411794168e+00  4.039501999627361e+00 
 1.283315185557652e+00  4.039501999627353e+00 
 1.308177474260195e+00  4.039501999627343e+00 
 1.333521432163325e+00  4.039501999627335e+00 
 1.359356390878527e+00  4.039501999627324e+00 
 1.385691862803129e+00  4.039501999627316e+00 
 1.412537544622755e+00  4.039501999627305e+00 
 1.439903320881634e+00  4.039501999627295e+00 
 1.467799267622071e+00  4.039501999627284e+00 
 1.496235656094435e+00  4.039501999627270e+00 
 1.525222956539020e+00  4.039501999627259e+00 
 1.554771842041175e+00  4.039501999627247e+00 
 1.584893192461115e+00  4.039501999627236e+00 
 1.615598098439875e+00  4.039501999627220e+00 
 1.646897865482870e+00  4.039501999627206e+00 
 1.678804018122562e+00  4.039501999627192e+00 
 1.711328304161782e+00  4.039501999627176e+00 
 1.744482698999256e+00  4.039501999627161e+00 
 1.778279410038925e+00  4.039501999627143e+00 
 1.812730881184701e+00  4.039501999627129e+00 
 1.847849797422293e+00  4.039501999627111e+00 
 1.883649089489803e+00  4.039501999627094e+00 
 1.920141938638804e+00  4.039501999627073e+00 
 1.957341781487663e+00  4.039501999627054e+00 
 1.995262314968882e+00  4.039501999627034e+00 
 2.033917501372295e+00  4.039501999627014e+00 
 2.073321573485958e+00  4.039501999626990e+00 
 2.113489039836649e+00  4.039501999626967e+00 
 2.154434690031886e+00  4.039501999626942e+00 
 2.196173600205439e+00  4.039501999626918e+00 
 2.238721138568343e+00  4.039501999626893e+00 
 2.282092971067454e+00  4.039501999626864e+00 
 2.326305067153629e+00  4.039501999626838e+00 
 2.371373705661659e+00  4.039501999626808e+00 
 2.417315480804108e+00  4.039501999626778e+00 
 2.464147308281285e+00  4.039501999626748e+00 
 2.511886431509584e+00  4.039501999626715e+00 
 2.560550427970480e+00  4.039501999626681e+00 
 2.610157215682541e+00  4.039501999626645e+00 
 2.660725059798814e+00  4.039501999626609e+00 
 2.712272579332033e+00  4.039501999626573e+00 
 2.764818754010113e+00  4.039501999626531e+00 
 2.818382931264459e+00  4.039501999626489e+00 
 2.872984833353670e+00  4.039501999626447e+00 
 2.928644564625242e+00  4.039501999626404e+00 
 2.985382618917966e+00  4.039501999626359e+00 
 3.043219887107728e+00  4.039501999626312e+00 
 3.102177664799508e+00  4.039501999626262e+00 
 3.162277660168387e+00  4.039501999626210e+00 
 3.223542001952470e+00  4.039501999626156e+00 
 3.285993247600662e+00  4.039501999626101e+00 
 3.349654391578285e+00  4.039501999626043e+00 
 3.414548873833610e+00  4.039501999625982e+00 
 3.480700588428419e+00  4.039501999625920e+00 
 3.548133892335763e+00  4.039501999625856e+00 
 3.616873614408168e+00  4.039501999625787e+00 
 3.686945064519584e+00  4.039501999625719e+00 
 3.758374042884451e+00  4.039501999625646e+00 
 3.831186849557297e+00  4.039501999625569e+00 
 3.905410294116390e+00  4.039501999625491e+00 
 3.981071705534982e+00  4.039501999625410e+00 
 4.058198942243808e+00  4.039501999625325e+00 
 4.136820402388517e+00  4.039501999625236e+00 
 4.216965034285833e+00  4.039501999625145e+00 
 4.298662347082288e+00  4.039501999625051e+00 
 4.381942421619448e+00  4.039501999624949e+00 
 4.466835921509642e+00  4.039501999624847e+00 
 4.553374104426261e+00  4.039501999624741e+00 
 4.641588833612791e+00  4.039501999624631e+00 
 4.731512589614817e+00  4.039501999624516e+00 
 4.823178482239319e+00  4.039501999624395e+00 
 4.916620262745656e+00  4.039501999624271e+00 
 5.011872336272736e+00  4.039501999624110e+00 
 5.108969774506941e+00  4.039501999623977e+00 
 5.207948328595478e+00  4.039501999623836e+00 
 5.308844442309899e+00  4.039501999623692e+00 
 5.411695265464652e+00  4.039501999623542e+00 
 5.516538667595595e+00  4.039501999623383e+00 
 5.623413251903506e+00  4.039501999623219e+00 
 5.732358369467730e+00  4.039501999623052e+00 
 5.843414133735193e+00  4.039501999622874e+00 
 5.956621435290122e+00  4.039501999622694e+00 
 6.072021956909904e+00  4.039501999622504e+00 
 6.189658188912625e+00  4.039501999622306e+00 
 6.309573444801952e+00  4.039501999622101e+00 
 6.431811877215107e+00  4.039501999621888e+00 
 6.556418494179809e+00  4.039501999621666e+00 
 6.683439175686167e+00  4.039501999621438e+00 
 6.812920690579634e+00  4.039501999621199e+00 
 6.944910713781234e+00  4.039501999620886e+00 
 7.079457843841402e+00  4.039501999620629e+00 
 7.216611620833906e+00  4.039501999620360e+00 
 7.356422544596438e+00  4.039501999620082e+00 
 7.498942093324583e+00  4.039501999619792e+00 
 7.644222742526028e+00  4.039501999619491e+00 
 7.792317984341968e+00  4.039501999619178e+00 
 7.943282347242842e+00  4.039501999618853e+00 
 8.097171416105647e+00  4.039501999618516e+00 
 8.254041852680212e+00  4.039501999618164e+00 
 8.413951416451980e+00  4.039501999617801e+00 
 8.576958985908970e+00  4.039501999617422e+00 
 8.743124580220766e+00  4.039501999617030e+00 
 8.912509381337486e+00  4.039501999616619e+00 
 9.085175756516900e+00  4.039501999616113e+00 
 9.261187281287969e+00  4.039501999615672e+00 
 9.440608762859268e+00  4.039501999615212e+00 
 9.623506263980921e+00  4.039501999614734e+00 
 9.809947127268810e+00  4.039501999614238e+00 
 1.000000000000004e+01  4.039501999613726e+00 
 1.019373485938877e+01  4.039501999613190e+00 
 1.039122303835173e+01  4.039501999612634e+00 
 1.059253725177293e+01  4.039501999612056e+00 
 1.079775162327714e+01  4.039501999611425e+00 
 1.100694171252214e+01  4.039501999610799e+00 
 1.122018454301968e+01  4.039501999610151e+00 
 1.143755863049543e+01  4.039501999609479e+00 
 1.165914401179836e+01  4.039501999608778e+00 
 1.188502227437023e+01  4.039501999608050e+00 
 1.211527658628593e+01  4.039501999607232e+00 
 1.234999172687590e+01  4.039501999606447e+00 
 1.258925411794172e+01  4.039501999605631e+00 
 1.283315185557657e+01  4.039501999604781e+00 
 1.308177474260200e+01  4.039501999603902e+00 
 1.333521432163330e+01  4.039501999602743e+00 
 1.359356390878532e+01  4.039501999601793e+00 
 1.385691862803134e+01  4.039501999600804e+00 
 1.412537544622761e+01  4.039501999599776e+00 
 1.439903320881639e+01  4.039501999598708e+00 
 1.467799267622076e+01  4.039501999597598e+00 
 1.496235656094440e+01  4.039501999596444e+00 
 1.525222956539026e+01  4.039501999595247e+00 
 1.554771842041181e+01  4.039501999593940e+00 
 1.584893192461121e+01  4.039501999592646e+00 
 1.615598098439882e+01  4.039501999591272e+00 
 1.646897865482876e+01  4.039501999589793e+00 
 1.678804018122569e+01  4.039501999588341e+00 
 1.711328304161789e+01  4.039501999586833e+00 
 1.744482698999263e+01  4.039501999585267e+00 
 1.778279410038932e+01  4.039501999583638e+00 
 1.812730881184708e+01  4.039501999581947e+00 
 1.847849797422300e+01  4.039501999580124e+00 
 1.883649089489810e+01  4.039501999578267e+00 
 1.920141938638811e+01  4.039501999576127e+00 
 1.957341781487670e+01  4.039501999574152e+00 
 1.995262314968890e+01  4.039501999572104e+00 
 2.033917501372302e+01  4.039501999569972e+00 
 2.073321573485966e+01  4.039501999567698e+00 
 2.113489039836658e+01  4.039501999565394e+00 
 2.154434690031895e+01  4.039501999562924e+00 
 2.196173600205448e+01  4.039501999560441e+00 
 2.238721138568352e+01  4.039501999557829e+00 
 2.282092971067463e+01  4.039501999555085e+00 
 2.326305067153639e+01  4.039501999552297e+00 
 2.371373705661668e+01  4.039501999549159e+00 
