original_time_s,xadc.tp,xadc.tn,sample,top_sample,acq,conv,evaluate,trial11,rp,rn,vcm,cdac_differential_v
1.351675514593e-05,1.231354781305,0.8001255516343,0.0,3.507461506634e-07,0.005005417986799,2.362547181481e-07,0.0,1.8,1.099999999951,0.6999999999182,0.9000000272395,0.4312292296707001
1.351693406651e-05,1.231233682156,0.8003345121461,0.0,2.529185606363e-07,0.004946337872492,2.358491703317e-07,0.0,1.8,1.099999999951,0.6999999999187,0.9000000267564,0.43089917000989997
1.351713672987e-05,1.231077436052,0.8005565364292,0.0,1.832067621799e-07,0.004880334585655,2.352186013236e-07,0.0,1.8,1.099999999951,0.6999999999197,0.9000000262196,0.43052089962280005
1.35173876243e-05,1.230868989877,0.8008145613263,0.0,1.285244055672e-07,0.004799901162892,2.343292228569e-07,0.0,1.8,1.099999999951,0.6999999999212,0.9000000255698,0.4300544285507
1.351767087821e-05,1.23062335698,0.8010878826056,0.0,8.812529329938e-08,0.004710727880346,2.332780886593e-07,0.0,1.8,1.099999999951,0.6999999999231,0.9000000248555,0.4295354743744
1.351799312644e-05,1.230337411792,0.8013798918101,0.0,5.563007285736e-08,0.004611321162046,2.320797645977e-07,0.0,1.8,1.099999999952,0.6999999999254,0.9000000240671,0.4289575199819
1.351835624537e-05,1.230011138288,0.8016888942195,0.0,2.758586398374e-08,0.004501841105782,2.307553905946e-07,0.0,1.8,1.099999999953,0.699999999928,0.9000000232085,0.42832224406849995
1.351876939508e-05,1.22963702473,0.8020188531903,0.0,1.486552190539e-09,0.004380454249664,2.292934968958e-07,0.0,1.8,1.099999999954,0.6999999999309,0.9000000222687,0.42761817153969994
1.351923624448e-05,1.229211436815,0.8023683903816,0.0,-2.400720546163e-08,0.004247242441645,2.277010175702e-07,0.0,1.8,1.099999999955,0.6999999999341,0.9000000212524,0.4268430464334
1.351976440384e-05,1.228725749196,0.8027386584589,0.0,-5.036425680207e-08,0.004101430404566,2.25972747684e-07,0.0,1.8,1.099999999956,0.6999999999376,0.9000000201582,0.42598709073709995
1.352035969456e-05,1.22817067279,0.8031288261892,0.0,-7.943832459009e-08,0.003943090688795,2.241131079709e-07,0.0,1.8,1.099999999957,0.6999999999414,0.900000018992,0.4250418466007999
1.352093747804e-05,1.22762067923,0.8034837083331,0.0,-1.089960068886e-07,0.003795273221812,2.223919899366e-07,0.0,1.8,1.099999999959,0.699999999945,0.9000000179246,0.42413697089689995
1.352145847492e-05,1.227111703736,0.8037859379852,0.0,-1.38018370913e-07,0.003666761384069,2.209067423079e-07,0.0,1.8,1.09999999996,0.699999999948,0.9000000170137,0.42332576575079994
1.352195132942e-05,1.226615450842,0.8040578588123,0.0,-1.682001587824e-07,0.003549215875644,2.195570843845e-07,0.0,1.8,1.099999999961,0.6999999999507,0.9000000161948,0.4225575920297
1.352240152618e-05,1.226146706382,0.8042952753815,0.0,-1.985635281433e-07,0.003445153754256,2.183684104792e-07,0.0,1.8,1.099999999962,0.6999999999531,0.9000000154813,0.42185143100049993
1.352279119823e-05,1.225726943365,0.8044928045465,0.0,-2.272771759027e-07,0.003357559566489,2.173719239894e-07,0.0,1.8,1.099999999963,0.6999999999551,0.9000000148892,0.4212341388185
1.352312005277e-05,1.225361157841,0.8046539939651,0.0,-2.533638845688e-07,0.00328538032462,2.165536154518e-07,0.0,1.8,1.099999999963,0.6999999999567,0.9000000144073,0.4207071638759
1.352339757202e-05,1.225043383593,0.8047862162134,0.0,-2.767183409993e-07,0.00322568341993,2.158787336841e-07,0.0,1.8,1.099999999964,0.699999999958,0.9000000140129,0.42025716737959995
1.352363337087e-05,1.224766308484,0.8048958837751,0.0,-2.975258427502e-07,0.003175818703153,2.153162990193e-07,0.0,1.8,1.099999999964,0.6999999999591,0.9000000136862,0.4198704247088999
1.352383456909e-05,1.224524425423,0.8049875443524,0.0,-3.159768841693e-07,0.003133884444346,2.148442459109e-07,0.0,1.8,1.099999999965,0.69999999996,0.9000000134135,0.41953688107060005
1.352400636556e-05,1.224313706121,0.8050644304053,0.0,-3.322348244795e-07,0.003098519448585,2.144469125031e-07,0.0,1.8,1.099999999965,0.6999999999608,0.900000013185,0.41924927571570014
1.352415296727e-05,1.224130720467,0.8051290436668,0.0,-3.464703272883e-07,0.003068658881688,2.141121959393e-07,0.0,1.8,1.099999999965,0.6999999999614,0.9000000129931,0.41900167680019995
1.352427811399e-05,1.223972131097,0.8051834786466,0.0,-3.58882067571e-07,0.003043397990679,2.138299765778e-07,0.0,1.8,1.099999999966,0.699999999962,0.9000000128315,0.4187886524504
1.352438529312e-05,1.223834520093,0.8052295717536,0.0,-3.696987022554e-07,0.003021930764883,2.135913859952e-07,0.0,1.8,1.099999999966,0.6999999999624,0.9000000126947,0.4186049483394001
1.352447781697e-05,1.22371436831,0.8052689728201,0.0,-3.791726003938e-07,0.003003522004058,2.133884850344e-07,0.0,1.8,1.099999999966,0.6999999999628,0.9000000125778,0.4184453954899
1.352455885527e-05,1.223608080231,0.805303187068,0.0,-3.875724302132e-07,0.002987491711864,2.132134866277e-07,0.0,1.8,1.099999999966,0.6999999999632,0.9000000124763,0.4183048931630001
1.352463147021e-05,1.223511993406,0.8053336108419,0.0,-3.951787305641e-07,0.002973201375373,2.130584691701e-07,0.0,1.8,1.099999999966,0.6999999999635,0.900000012386,0.4181783825640999
1.352469870828e-05,1.223422298588,0.8053615848165,0.0,-4.022878152617e-07,0.002960031133099,2.129142037474e-07,0.0,1.8,1.099999999966,0.6999999999638,0.900000012303,0.4180607137714999
1.352476385596e-05,1.223334721518,0.8053885086167,0.0,-4.092354817632e-07,0.002947327023815,2.127690825267e-07,0.0,1.8,1.099999999967,0.699999999964,0.9000000122231,0.41794621290129996
1.352483116201e-05,1.223243541874,0.8054161380589,0.0,-4.164738976305e-07,0.002934260477961,2.126091701053e-07,0.0,1.8,1.099999999967,0.6999999999643,0.9000000121411,0.4178274038151
1.352490274541e-05,1.223145777209,0.8054453157536,0.0,-4.24238919208e-07,0.002920428573348,2.124318163569e-07,0.0,1.8,1.099999999967,0.6999999999646,0.9000000120545,0.41770046145539996
1.352498032808e-05,1.223038888665,0.8054766973153,0.0,-4.327309765946e-07,0.002905512925277,2.12245380821e-07,0.0,1.8,1.099999999967,0.6999999999649,0.9000000119613,0.4175621913497001
1.352509168005e-05,1.222883760245,0.8055212997103,0.0,-4.450523147744e-07,0.002884241530727,2.120141949801e-07,0.0,1.8,1.099999999967,0.6999999999654,0.9000000118289,0.41736246053470005
1.35251599746e-05,1.222787606243,0.8055483996963,0.0,-4.526965761757e-07,0.002871274638065,2.118785896063e-07,0.0,1.8,1.099999999967,0.6999999999656,0.9000000117484,0.4172392065467001
1.352522405389e-05,1.222696681048,0.805573650312,0.0,-4.599166266861e-07,0.002859162560146,2.117700927511e-07,0.0,1.8,1.099999999967,0.6999999999659,0.9000000116733,0.417123030736
1.352529017124e-05,1.222602140697,0.8055995246735,0.0,-4.674186175351e-07,0.002846720106398,2.116399239078e-07,0.0,1.8,1.099999999967,0.6999999999661,0.9000000115964,0.4170026160235
1.352536614157e-05,1.222492596244,0.8056290299716,0.0,-4.761023292089e-07,0.002832491638483,2.114663874533e-07,0.0,1.8,1.099999999968,0.6999999999664,0.9000000115086,0.41686356627240007
1.352543946538e-05,1.222385931599,0.8056572792756,0.0,-4.845460266482e-07,0.002818827431978,2.112560597164e-07,0.0,1.8,1.099999999968,0.6999999999667,0.9000000114246,0.41672865232339995
1.352552130009e-05,1.222265790753,0.805688542822,0.0,-4.940343528465e-07,0.002803656057989,2.109042137709e-07,0.0,1.8,1.099999999968,0.699999999967,0.9000000113314,0.4165772479309999
1.352560403917e-05,1.222143136917,0.8057198678691,0.0,-5.037056908156e-07,0.00278840086609,2.101307652912e-07,0.0,1.8,1.099999999968,0.6999999999674,0.9000000112381,0.41642326904789995
1.352566179903e-05,1.2220568015,0.8057415664288,0.0,-5.105043654226e-07,0.002777800883552,2.08453871587e-07,0.0,1.8,1.099999999968,0.6999999999676,0.9000000111733,0.41631523507119994
1.352570413547e-05,1.221993146333,0.8057573824153,0.0,-5.155122719487e-07,0.002770057099478,2.061134746531e-07,0.0,1.8,1.099999999968,0.6999999999677,0.9000000111261,0.4162357639177
1.352573652902e-05,1.221944226451,0.8057694333776,0.0,-5.193432620552e-07,0.002764146573624,2.050530639007e-07,0.0,1.8,1.099999999968,0.6999999999679,0.9000000110902,0.4161747930734001
1.352577315662e-05,1.221888687504,0.8057830066256,0.0,-5.237148374774e-07,0.0027574786293,2.014968454781e-07,0.0,1.8,1.099999999968,0.699999999968,0.9000000110496,0.41610568087840005
1.352580738018e-05,1.221836577386,0.8057956382891,0.0,-5.277947655817e-07,0.002751262741896,1.97994222215e-07,0.0,1.8,1.099999999968,0.6999999999681,0.9000000110119,0.4160409390969001
1.352584066513e-05,1.221785695223,0.8058078765001,0.0,-5.317618469896e-07,0.002745230589718,1.954399889591e-07,0.0,1.8,1.099999999968,0.6999999999683,0.9000000109753,0.41597781872289996
1.352587157282e-05,1.221738268965,0.8058191990984,0.0,-5.354690296628e-07,0.002739640890883,1.924325420427e-07,0.0,1.8,1.099999999968,0.6999999999684,0.9000000109414,0.4159190698666
1.352590075565e-05,1.221693331519,0.8058298530854,0.0,-5.38978638041e-07,0.002734373349905,1.889394088466e-07,0.0,1.8,1.099999999968,0.6999999999685,0.9000000109095,0.41586347843359994
1.352592834774e-05,1.221650702173,0.8058398935039,0.0,-5.423057532889e-07,0.002729402018523,1.848135145985e-07,0.0,1.8,1.099999999969,0.6999999999686,0.9000000108794,0.41581080866910014
1.352595400694e-05,1.221610935484,0.805849201924,0.0,-5.454159996227e-07,0.002724786837495,1.793037922742e-07,0.0,1.8,1.099999999969,0.6999999999687,0.9000000108516,0.4157617335599999
1.352597715119e-05,1.221574964077,0.805857574303,0.0,-5.482458908191e-07,0.002720630538183,1.713039509543e-07,0.0,1.8,1.099999999969,0.6999999999688,0.9000000108265,0.41571738977399997
1.35259974639e-05,1.221543313372,0.8058649038556,0.0,-5.507630959185e-07,0.002716987861288,1.59654376778e-07,0.0,1.8,1.099999999969,0.6999999999688,0.9000000108045,0.4156784095164
1.352601509042e-05,1.221515787377,0.8058712501019,0.0,-5.529905177762e-07,0.002713830815446,1.433061582133e-07,0.0,1.8,1.099999999969,0.6999999999689,0.9000000107855,0.4156445372751
1.352603050271e-05,1.221491672802,0.8058767884465,0.0,-5.549894177603e-07,0.002711073379798,1.213078308526e-07,0.0,1.8,1.099999999969,0.699999999969,0.9000000107689,0.4156148843555
1.352604427302e-05,1.221470090667,0.8058817283166,0.0,-5.568306808081e-07,0.002708612140644,9.275758991726e-08,0.0,1.8,1.099999999969,0.699999999969,0.900000010754,0.4155883623504
1.352605694331e-05,1.221450202016,0.8058862665378,0.0,-5.585755343974e-07,0.002706349578843,5.691248862226e-08,0.0,1.8,1.099999999969,0.6999999999691,0.9000000107404,0.41556393547820003
1.352606901001e-05,1.221431233554,0.8058905823057,0.0,-5.602677433384e-07,0.002704196673452,1.353312e-08,0.0,1.8,1.099999999969,0.6999999999691,0.9000000107275,0.4155406512483001
1.352608099356e-05,1.221412369451,0.8058948622991,0.0,-5.619352624754e-07,0.002702060430695,-3.707651861552e-08,0.0,1.8,1.099999999969,0.6999999999692,0.9000000107146,0.41551750715189995
1.352609435093e-05,1.221391311796,0.80589962589,0.0,-5.636800066335e-07,0.002699681430476,-9.416026307004e-08,0.0,1.8,1.099999999969,0.6999999999692,0.9000000107003,0.41549168590600005
1.352610700532e-05,1.221371332247,0.805904131915,0.0,-5.652571149485e-07,0.002697429681671,-1.398089631764e-07,0.0,1.8,1.099999999969,0.6999999999692,0.9000000106868,0.4154672003319999
1.352612271641e-05,1.22134648579,0.8059097170792,0.0,-5.669859271505e-07,0.002694636703812,-1.71853537301e-07,0.0,1.8,1.099999999969,0.6999999999693,0.90000001067,0.41543676871080004
1.352614253385e-05,1.221315080637,0.8059167472071,0.0,-5.694781301424e-07,0.002691117807945,-1.841177184249e-07,0.0,1.8,1.099999999969,0.6999999999694,0.9000000106489,0.41539833342989985
1.352615688113e-05,1.221292298989,0.8059218263773,0.0,-5.730018005362e-07,0.002688572981711,-1.987420724333e-07,0.0,1.8,1.099999999969,0.6999999999694,0.9000000106336,0.4153704726117
1.352617004623e-05,1.221271361186,0.8059264794351,0.0,-5.76279362231e-07,0.002686239869591,-2.069452268005e-07,0.0,1.8,1.099999999969,0.6999999999695,0.9000000106196,0.4153448817509
1.352618316196e-05,1.221250470266,0.8059311079199,0.0,-5.791345185772e-07,0.002683917435635,-1.715387553894e-07,0.0,1.8,1.099999999969,0.6999999999695,0.9000000106057,0.4153193623461001
1.352619756426e-05,1.221227493843,0.8059361824105,0.0,-5.8210811864e-07,0.002681369421628,2.399699220806e-08,0.0,1.8,1.099999999969,0.6999999999696,0.9000000105905,0.41529131143249987
1.352621142619e-05,1.221205343998,0.8059410590218,0.0,-5.852838823071e-07,0.002678919258896,6.159665930683e-07,0.0,1.8,1.099999999969,0.6999999999697,0.9000000105758,0.41526428497619994
