original_time_s,xadc.tp,xadc.tn,sample,top_sample,acq,conv,evaluate,trial11,rp,rn,vcm,cdac_differential_v
1.351666888596e-05,1.231404851607,0.7999842077828,0.0,4.437022382016e-07,0.005035030566095,2.372464148241e-07,0.0,1.8,1.099999999952,0.6999999999185,0.9000000274911,0.4314206438242
1.351675027364e-05,1.23135944953,0.8000846982299,0.0,3.77687919149e-07,0.005007871074559,2.371490007825e-07,0.0,1.8,1.099999999951,0.6999999999185,0.9000000272682,0.43127475130009996
1.351683862584e-05,1.231303579646,0.8001900392673,0.0,3.205562868553e-07,0.004978579638239,2.369774940645e-07,0.0,1.8,1.099999999951,0.6999999999187,0.9000000270283,0.43111354037869987
1.351693491691e-05,1.23123675765,0.8003009706502,0.0,2.712439755278e-07,0.004946874952113,2.367345368256e-07,0.0,1.8,1.099999999951,0.699999999919,0.9000000267693,0.43093578699980006
1.351704062548e-05,1.231158083664,0.8004186818569,0.0,2.285879315314e-07,0.004912323072392,2.364212960286e-07,0.0,1.8,1.099999999951,0.6999999999194,0.9000000264878,0.4307394018070999
1.351715736193e-05,1.231066471965,0.8005443307137,0.0,1.915807750895e-07,0.00487446586649,2.360377651465e-07,0.0,1.8,1.099999999951,0.69999999992,0.9000000261804,0.43052214125129995
1.351728249752e-05,1.230964293323,0.8006745511592,0.0,1.603112855322e-07,0.004834224875774,2.355986292805e-07,0.0,1.8,1.099999999951,0.6999999999208,0.9000000258548,0.4302897421638
1.35174159258e-05,1.230852124162,0.800808876986,0.0,1.337173691249e-07,0.004791696403827,2.351115517317e-07,0.0,1.8,1.099999999951,0.6999999999216,0.9000000255121,0.43004324717600007
1.35175582411e-05,1.230729910706,0.8009475492233,0.0,1.10725624061e-07,0.004746758764887,2.345806123384e-07,0.0,1.8,1.099999999951,0.6999999999225,0.9000000251515,0.4297823614826999
1.351771020739e-05,1.230597361845,0.8010909104637,0.0,9.046101745582e-08,0.004699248401903,2.34008311198e-07,0.0,1.8,1.099999999951,0.6999999999236,0.9000000247722,0.42950645138129995
