 time                v(xadc.tn)          v(xadc.tp)          v(xadc.prep)        v(xadc.pren)        v(q)                v(qb)               v(ev)               i(vdd)             
 0.000000000000e+00  8.100000000000e-01  8.100000000000e-01  9.628205293999e-01  9.628205294000e-01  0.000000000000e+00  1.620000000000e+00  0.000000000000e+00 -2.821328109654e-05 
 2.000000000000e-11  8.099999999999e-01  8.099999999999e-01  9.628205293999e-01  9.628205294000e-01  6.843308996905e-09  1.619999996999e+00  0.000000000000e+00 -2.821328124837e-05 
 4.000000000000e-11  8.100000000000e-01  8.099999999999e-01  9.628205293999e-01  9.628205294000e-01  9.064206388246e-09  1.619999994969e+00  0.000000000000e+00 -2.821328290082e-05 
 8.000000000000e-11  8.100000000000e-01  8.100000000000e-01  9.628205293999e-01  9.628205294000e-01  1.045305863599e-08  1.619999992623e+00  0.000000000000e+00 -2.821328445465e-05 
 1.600000000000e-10  8.100000000000e-01  8.100000000000e-01  9.628205294000e-01  9.628205294001e-01  1.059564176487e-08  1.619999991475e+00  0.000000000000e+00 -2.821328507006e-05 
 3.200000000000e-10  8.100000000000e-01  8.099999999999e-01  9.628205294000e-01  9.628205294001e-01  1.041565436446e-08  1.619999991646e+00  0.000000000000e+00 -2.821328510135e-05 
 6.400000000000e-10  8.099999999999e-01  8.099999999998e-01  9.628205294001e-01  9.628205294001e-01  1.035847589234e-08  1.619999991926e+00  0.000000000000e+00 -2.821328497897e-05 
 1.280000000000e-09  8.099999999999e-01  8.099999999998e-01  9.628205294003e-01  9.628205294003e-01  1.035978509757e-08  1.619999991956e+00  0.000000000000e+00 -2.821328515460e-05 
 2.560000000000e-09  8.100000000000e-01  8.099999999998e-01  9.628205294014e-01  9.628205294012e-01  1.036191529791e-08  1.619999991944e+00  0.000000000000e+00 -2.821328496763e-05 
 4.560000000000e-09  8.099999999999e-01  8.099999999998e-01  9.628205294023e-01  9.628205294017e-01  1.036202460518e-08  1.619999991943e+00  0.000000000000e+00 -2.821328493248e-05 
 6.560000000000e-09  8.100000000000e-01  8.100000000001e-01  9.628205294028e-01  9.628205294023e-01  1.036200882408e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447374e-05 
 8.560000000000e-09  8.100000000000e-01  8.099999999999e-01  9.628205294035e-01  9.628205294030e-01  1.036200718238e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 1.056000000000e-08  8.099999999999e-01  8.099999999999e-01  9.628205294039e-01  9.628205294034e-01  1.036200734787e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447374e-05 
 1.256000000000e-08  8.100000000000e-01  8.100000000000e-01  9.628205294042e-01  9.628205294037e-01  1.036200744863e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 1.456000000000e-08  8.100000000001e-01  8.099999999999e-01  9.628205294045e-01  9.628205294039e-01  1.036200742046e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 1.656000000000e-08  8.100000000000e-01  8.099999999999e-01  9.628205294047e-01  9.628205294040e-01  1.036200742746e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447374e-05 
 1.856000000000e-08  8.100000000000e-01  8.099999999999e-01  9.628205294048e-01  9.628205294040e-01  1.036200742146e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447374e-05 
 2.056000000000e-08  8.100000000000e-01  8.099999999999e-01  9.628205294050e-01  9.628205294041e-01  1.036200745372e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 2.256000000000e-08  8.099999999999e-01  8.100000000000e-01  9.628205294050e-01  9.628205294042e-01  1.036200743232e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447374e-05 
 2.456000000000e-08  8.100000000001e-01  8.100000000001e-01  9.628205294051e-01  9.628205294043e-01  1.036200742803e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 2.656000000000e-08  8.099999999999e-01  8.100000000000e-01  9.628205294049e-01  9.628205294044e-01  1.036200751385e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 2.856000000000e-08  8.100000000000e-01  8.100000000001e-01  9.628205294049e-01  9.628205294044e-01  1.036200742391e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 3.056000000000e-08  8.099999999999e-01  8.100000000000e-01  9.628205294048e-01  9.628205294044e-01  1.036200744839e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 3.256000000000e-08  8.100000000000e-01  8.100000000001e-01  9.628205294048e-01  9.628205294044e-01  1.036200744818e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 3.456000000000e-08  8.099999999999e-01  8.100000000000e-01  9.628205294047e-01  9.628205294044e-01  1.036200745483e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 3.656000000000e-08  8.100000000000e-01  8.100000000001e-01  9.628205294047e-01  9.628205294044e-01  1.036200749603e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 3.856000000000e-08  8.100000000000e-01  8.100000000000e-01  9.628205294046e-01  9.628205294043e-01  1.036200743473e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 4.056000000000e-08  8.099999999999e-01  8.099999999999e-01  9.628205294047e-01  9.628205294043e-01  1.036200750563e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 4.256000000000e-08  8.100000000000e-01  8.100000000000e-01  9.628205294048e-01  9.628205294042e-01  1.036200745935e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 4.456000000000e-08  8.100000000001e-01  8.100000000000e-01  9.628205294048e-01  9.628205294042e-01  1.036200742724e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 4.656000000000e-08  8.099999999999e-01  8.100000000000e-01  9.628205294048e-01  9.628205294042e-01  1.036200745960e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 4.856000000000e-08  8.100000000000e-01  8.100000000001e-01  9.628205294048e-01  9.628205294042e-01  1.036200749545e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 5.056000000000e-08  8.100000000001e-01  8.099999999999e-01  9.628205294049e-01  9.628205294041e-01  1.036200743771e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 5.256000000000e-08  8.100000000001e-01  8.099999999999e-01  9.628205294050e-01  9.628205294040e-01  1.036200751226e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 5.456000000000e-08  8.100000000000e-01  8.099999999998e-01  9.628205294050e-01  9.628205294039e-01  1.036200744406e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447374e-05 
 5.656000000000e-08  8.100000000000e-01  8.099999999999e-01  9.628205294051e-01  9.628205294039e-01  1.036200744900e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
 5.856000000000e-08  8.100000000000e-01  8.100000000001e-01  9.628205294050e-01  9.628205294039e-01  1.036200743423e-08  1.619999991943e+00  0.000000000000e+00 -2.821328447377e-05 
