 time                v(src)              v(sample)           v(hold)             v(acq)              v(conv)             i(vdd)             
 2.000000000000e-11  9.900000000000e-01  1.060061225429e+00  9.912503538683e-01  1.980000000000e+00  0.000000000000e+00 -4.383248907149e-03 
 2.000626023604e-11  9.900000000000e-01  1.059912352883e+00  9.912507064502e-01  1.980000000000e+00  0.000000000000e+00 -4.138829971986e-03 
 2.001878070813e-11  9.900000000000e-01  1.059630981932e+00  9.912513432137e-01  1.980000000000e+00  0.000000000000e+00 -3.733230572406e-03 
 2.004382165230e-11  9.900000000000e-01  1.059123200081e+00  9.912523995670e-01  1.980000000000e+00  0.000000000000e+00 -3.160369947721e-03 
 2.009390354065e-11  9.900000000000e-01  1.058204626901e+00  9.912539890976e-01  1.980000000000e+00  0.000000000000e+00 -2.451033318727e-03 
 2.016425405333e-11  9.900000000000e-01  1.056915036367e+00  9.912555250032e-01  1.980000000000e+00  0.000000000000e+00 -1.852615948018e-03 
 2.025233500486e-11  9.900000000000e-01  1.055132802197e+00  9.912567849564e-01  1.980000000000e+00  0.000000000000e+00 -1.392755274663e-03 
 2.038423794000e-11  9.900000000000e-01  1.052116338017e+00  9.912579519796e-01  1.980000000000e+00  0.000000000000e+00 -1.003762402607e-03 
 2.055943617637e-11  9.900000000000e-01  1.047778973850e+00  9.912588437142e-01  1.980000000000e+00  0.000000000000e+00 -7.671779219855e-04 
 2.078967974400e-11  9.900000000000e-01  1.042021996604e+00  9.912595165305e-01  1.980000000000e+00  0.000000000000e+00 -6.554007368215e-04 
 2.111988987948e-11  9.900000000000e-01  1.034244646977e+00  9.912601031985e-01  1.980000000000e+00  0.000000000000e+00 -6.082941646169e-04 
 2.157728059771e-11  9.900000000000e-01  1.024754321900e+00  9.912606070067e-01  1.980000000000e+00  0.000000000000e+00 -5.831016114256e-04 
 2.220648396285e-11  9.900000000000e-01  1.014002018039e+00  9.912609552545e-01  1.980000000000e+00  0.000000000000e+00 -5.532841082597e-04 
 2.308164601093e-11  9.900000000000e-01  1.002658577306e+00  9.912609462229e-01  1.980000000000e+00  0.000000000000e+00 -5.148302932222e-04 
 2.416111744967e-11  9.900000000000e-01  9.930263338873e-01  9.912603479684e-01  1.980000000000e+00  0.000000000000e+00 -4.773160831075e-04 
 2.511162748559e-11  9.900000000000e-01  9.875435850774e-01  9.912594459538e-01  1.980000000000e+00  0.000000000000e+00 -4.810735375997e-04 
 2.617477187389e-11  9.900000000000e-01  9.839249278859e-01  9.912582526555e-01  1.980000000000e+00  0.000000000000e+00 -4.604650577137e-04 
 2.718222487184e-11  9.900000000000e-01  9.819142742401e-01  9.912569265463e-01  1.980000000000e+00  0.000000000000e+00 -4.228404022715e-04 
 2.842406087502e-11  9.900000000000e-01  9.805057717846e-01  9.912550455168e-01  1.980000000000e+00  0.000000000000e+00 -3.868133878891e-04 
 3.050721864701e-11  9.900000000000e-01  9.796496100174e-01  9.912515280743e-01  1.980000000000e+00  0.000000000000e+00 -3.419001436712e-04 
 3.248989273221e-11  9.900000000000e-01  9.798267723862e-01  9.912479811518e-01  1.980000000000e+00  0.000000000000e+00 -3.077777798453e-04 
 3.482379301343e-11  9.900000000000e-01  9.805633961050e-01  9.912437897175e-01  1.980000000000e+00  0.000000000000e+00 -2.736856942737e-04 
 3.750750399354e-11  9.900000000000e-01  9.816179345912e-01  9.912391589748e-01  1.980000000000e+00  0.000000000000e+00 -2.399018465097e-04 
 4.023118894782e-11  9.900000000000e-01  9.826807326287e-01  9.912348059251e-01  1.980000000000e+00  0.000000000000e+00 -2.099828707029e-04 
 4.343627348589e-11  9.900000000000e-01  9.838062189911e-01  9.912302341729e-01  1.980000000000e+00  0.000000000000e+00 -1.792920461517e-04 
 4.692117417177e-11  9.900000000000e-01  9.848562100739e-01  9.912259730408e-01  1.980000000000e+00  0.000000000000e+00 -1.507381858534e-04 
 5.093616430360e-11  9.900000000000e-01  9.858663876623e-01  9.912219338165e-01  1.980000000000e+00  0.000000000000e+00 -1.232564504525e-04 
 5.526987996590e-11  9.900000000000e-01  9.867588096788e-01  9.912184876629e-01  1.980000000000e+00  0.000000000000e+00 -9.916303983272e-05 
 5.972697982660e-11  9.900000000000e-01  9.875027867976e-01  9.912157535559e-01  1.980000000000e+00  0.000000000000e+00 -7.939658539686e-05 
 6.452476074324e-11  9.900000000000e-01  9.881453830980e-01  9.912135183222e-01  1.980000000000e+00  0.000000000000e+00 -6.265824437278e-05 
 6.959812436170e-11  9.900000000000e-01  9.886824104735e-01  9.912117447411e-01  1.980000000000e+00  0.000000000000e+00 -4.895869541669e-05 
 7.491532977359e-11  9.900000000000e-01  9.891211873143e-01  9.912103513496e-01  1.980000000000e+00  0.000000000000e+00 -3.797396131770e-05 
 8.087897799856e-11  9.900000000000e-01  9.894969093445e-01  9.912091786712e-01  1.980000000000e+00  0.000000000000e+00 -2.869541324292e-05 
 8.765318797730e-11  9.900000000000e-01  9.898116845506e-01  9.912081816403e-01  1.980000000000e+00  0.000000000000e+00 -2.097979910290e-05 
 9.583076213271e-11  9.900000000000e-01  9.900779934672e-01  9.912072821191e-01  1.980000000000e+00  0.000000000000e+00 -1.444099489554e-05 
