 frequency           onoise_spectrum     inoise_spectrum    
 1.000000000000e+00  6.484722648877e-05  4.235589816417e-06 
 1.059253725177e+00  6.329822979004e-05  4.134414870348e-06 
 1.122018454302e+00  6.178623487799e-05  4.035656749165e-06 
 1.188502227437e+00  6.031035789672e-05  3.939257722550e-06 
 1.258925411794e+00  5.886973610354e-05  3.845161439226e-06 
 1.333521432163e+00  5.746352736462e-05  3.753312894009e-06 
 1.412537544623e+00  5.609090966273e-05  3.663658395664e-06 
 1.496235656094e+00  5.475108061671e-05  3.576145535509e-06 
 1.584893192461e+00  5.344325701240e-05  3.490723156789e-06 
 1.678804018123e+00  5.216667434487e-05  3.407341324764e-06 
 1.778279410039e+00  5.092058637144e-05  3.325951297520e-06 
 1.883649089490e+00  4.970426467552e-05  3.246505497481e-06 
 1.995262314969e+00  4.851699824076e-05  3.168957483591e-06 
 2.113489039837e+00  4.735809303543e-05  3.093261924171e-06 
 2.238721138568e+00  4.622687160674e-05  3.019374570418e-06 
 2.371373705662e+00  4.512267268478e-05  2.947252230538e-06 
 2.511886431510e+00  4.404485079600e-05  2.876852744496e-06 
 2.660725059799e+00  4.299277588589e-05  2.808134959378e-06 
 2.818382931264e+00  4.196583295065e-05  2.741058705325e-06 
 2.985382618918e+00  4.096342167769e-05  2.675584772060e-06 
 3.162277660168e+00  3.998495609475e-05  2.611674885959e-06 
 3.349654391578e+00  3.902986422728e-05  2.549291687685e-06 
 3.548133892336e+00  3.809758776418e-05  2.488398710344e-06 
 3.758374042884e+00  3.718758173135e-05  2.428960358171e-06 
 3.981071705535e+00  3.629931417317e-05  2.370941885718e-06 
 4.216965034286e+00  3.543226584152e-05  2.314309377548e-06 
 4.466835921510e+00  3.458592989224e-05  2.259029728408e-06 
 4.731512589615e+00  3.375981158887e-05  2.205070623873e-06 
 5.011872336273e+00  3.295342801343e-05  2.152400521461e-06 
 5.308844442310e+00  3.216630778411e-05  2.100988632193e-06 
 5.623413251903e+00  3.139799077976e-05  2.050804902594e-06 
 5.956621435290e+00  3.064802787088e-05  2.001819997124e-06 
 6.309573444802e+00  2.991598065708e-05  1.954005281032e-06 
 6.683439175686e+00  2.920142121085e-05  1.907332803618e-06 
 7.079457843841e+00  2.850393182733e-05  1.861775281888e-06 
 7.498942093325e+00  2.782310478022e-05  1.817306084613e-06 
 7.943282347243e+00  2.715854208340e-05  1.773899216757e-06 
 8.413951416452e+00  2.650985525825e-05  1.731529304281e-06 
 8.912509381337e+00  2.587666510662e-05  1.690171579312e-06 
 9.440608762859e+00  2.525860148913e-05  1.649801865666e-06 
 1.000000000000e+01  2.465530310881e-05  1.610396564710e-06 
 1.059253725177e+01  2.406641729990e-05  1.571932641575e-06 
 1.122018454302e+01  2.349159982169e-05  1.534387611681e-06 
 1.188502227437e+01  2.293051465727e-05  1.497739527604e-06 
 1.258925411794e+01  2.238283381715e-05  1.461966966237e-06 
 1.333521432163e+01  2.184823714751e-05  1.427049016274e-06 
 1.412537544623e+01  2.132641214304e-05  1.392965265981e-06 
 1.496235656094e+01  2.081705376427e-05  1.359695791266e-06 
 1.584893192461e+01  2.031986425925e-05  1.327221144032e-06 
 1.678804018123e+01  1.983455298950e-05  1.295522340811e-06 
 1.778279410039e+01  1.936083626012e-05  1.264580851661e-06 
 1.883649089490e+01  1.889843715393e-05  1.234378589339e-06 
 1.995262314969e+01  1.844708536962e-05  1.204897898726e-06 
 2.113489039837e+01  1.800651706373e-05  1.176121546508e-06 
 2.238721138568e+01  1.757647469642e-05  1.148032711099e-06 
 2.371373705662e+01  1.715670688092e-05  1.120614972811e-06 
 2.511886431510e+01  1.674696823656e-05  1.093852304254e-06 
 2.660725059799e+01  1.634701924537e-05  1.067729060966e-06 
 2.818382931264e+01  1.595662611204e-05  1.042229972271e-06 
 2.985382618918e+01  1.557556062725e-05  1.017340132348e-06 
 3.162277660168e+01  1.520360003426e-05  9.930449915230e-07 
 3.349654391578e+01  1.484052689874e-05  9.693303477576e-07 
 3.548133892336e+01  1.448612898155e-05  9.461823383520e-07 
 3.758374042884e+01  1.414019911493e-05  9.235874318388e-07 
 3.981071705535e+01  1.380253508107e-05  9.015324200742e-07 
 4.216965034286e+01  1.347293949408e-05  8.800044105159e-07 
 4.466835921510e+01  1.315121968460e-05  8.589908186876e-07 
 4.731512589615e+01  1.283718758716e-05  8.384793608219e-07 
 5.011872336273e+01  1.253065963021e-05  8.184580466799e-07 
 5.308844442310e+01  1.223145662880e-05  7.989151725422e-07 
 5.623413251903e+01  1.193940368001e-05  7.798393143670e-07 
 5.956621435290e+01  1.165433006044e-05  7.612193211125e-07 
 6.309573444802e+01  1.137606912653e-05  7.430443082178e-07 
 6.683439175686e+01  1.110445821727e-05  7.253036512407e-07 
 7.079457843841e+01  1.083933855890e-05  7.079869796466e-07 
 7.498942093325e+01  1.058055517217e-05  6.910841707463e-07 
 7.943282347243e+01  1.032795678190e-05  6.745853437791e-07 
 8.413951416452e+01  1.008139572828e-05  6.584808541359e-07 
 8.912509381337e+01  9.840727880773e-06  6.427612877223e-07 
 9.440608762859e+01  9.605812553799e-06  6.274174554546e-07 
 1.000000000000e+02  9.376512424359e-06  6.124403878887e-07 
 1.059253725177e+02  9.152693451986e-06  5.978213299763e-07 
 1.122018454302e+02  8.934224800244e-06  5.835517359476e-07 
 1.188502227437e+02  8.720978760276e-06  5.696232643152e-07 
 1.258925411794e+02  8.512830676123e-06  5.560277729981e-07 
 1.333521432163e+02  8.309658871980e-06  5.427573145620e-07 
 1.412537544623e+02  8.111344580842e-06  5.298041315735e-07 
 1.496235656094e+02  7.917771875300e-06  5.171606520652e-07 
 1.584893192461e+02  7.728827599645e-06  5.048194851093e-07 
 1.678804018123e+02  7.544401303751e-06  4.927734164974e-07 
 1.778279410039e+02  7.364385178482e-06  4.810154045227e-07 
 1.883649089490e+02  7.188673992752e-06  4.695385758637e-07 
 1.995262314969e+02  7.017165031924e-06  4.583362215664e-07 
 2.113489039837e+02  6.849758037768e-06  4.474017931224e-07 
 2.238721138568e+02  6.686355149927e-06  4.367288986401e-07 
 2.371373705662e+02  6.526860848635e-06  4.263112991089e-07 
 2.511886431510e+02  6.371181898849e-06  4.161429047513e-07 
 2.660725059799e+02  6.219227295896e-06  4.062177714633e-07 
 2.818382931264e+02  6.070908212120e-06  3.965300973390e-07 
 2.985382618918e+02  5.926137944983e-06  3.870742192795e-07 
