 time                v(xadc.tp)          v(xadc.tn)          v(q)                v(qb)               v(ev)               v(rp)               v(rn)              
 0.000000000000e+00  9.999755855361e-01  8.000244142830e-01  0.000000000000e+00  1.800000000000e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.000000000000e-11  9.999755855361e-01  8.000244142831e-01  4.411723160987e-07  1.800000036594e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.000000000000e-11  9.999755855361e-01  8.000244142832e-01  5.841795360404e-07  1.800000027703e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 8.000000000000e-11  9.999755855361e-01  8.000244142831e-01  6.712063184270e-07  1.800000001849e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.600000000000e-10  9.999755855361e-01  8.000244142831e-01  6.767377559388e-07  1.799999984430e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.200000000000e-10  9.999755855361e-01  8.000244142830e-01  6.643805929441e-07  1.799999986265e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 6.400000000000e-10  9.999755855361e-01  8.000244142830e-01  6.615847271474e-07  1.799999990368e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.280000000000e-09  9.999755855361e-01  8.000244142830e-01  6.618753247863e-07  1.799999990720e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.560000000000e-09  9.999755855361e-01  8.000244142830e-01  6.619698050700e-07  1.799999990539e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.560000000000e-09  9.999755855360e-01  8.000244142830e-01  6.619695119976e-07  1.799999990524e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 6.560000000000e-09  9.999755855361e-01  8.000244142830e-01  6.619688452058e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 8.560000000000e-09  9.999755855361e-01  8.000244142830e-01  6.619688292952e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
