 time                v(xadc.tn)          v(xadc.tp)          v(q)                v(qb)               v(ev)               v(rp)               v(rn)              
 2.490264293574e-06  8.996957366629e-01  8.996722031926e-01  6.619691213515e-07  1.799999990526e+00  0.000000000000e+00  1.099999999978e+00  6.999999999990e-01 
 2.490302691724e-06  8.996365997303e-01  8.995988865963e-01  6.619696952038e-07  1.799999990527e+00  0.000000000000e+00  1.099999999980e+00  7.000000000009e-01 
 2.490350418109e-06  8.995768886479e-01  8.995205146925e-01  6.619691765063e-07  1.799999990526e+00  0.000000000000e+00  1.099999999982e+00  7.000000000028e-01 
 2.490407199354e-06  8.995215003590e-01  8.994435090585e-01  6.619687590775e-07  1.799999990526e+00  0.000000000000e+00  1.099999999984e+00  7.000000000046e-01 
 2.490482378139e-06  8.994677698452e-01  8.993639670029e-01  6.619687446793e-07  1.799999990526e+00  0.000000000000e+00  1.099999999986e+00  7.000000000064e-01 
 2.490583251743e-06  8.994170734291e-01  8.992844898993e-01  6.619688309093e-07  1.799999990526e+00  0.000000000000e+00  1.099999999987e+00  7.000000000079e-01 
 2.490721027899e-06  8.993686826358e-01  8.992064906486e-01  6.619688529996e-07  1.799999990526e+00  0.000000000000e+00  1.099999999988e+00  7.000000000090e-01 
 2.490860513949e-06  8.993372106673e-01  8.991543040562e-01  6.619688382537e-07  1.799999990526e+00  0.000000000000e+00  1.099999999989e+00  7.000000000098e-01 
 2.491000000000e-06  8.993171658618e-01  8.991202196398e-01  6.619688289881e-07  1.799999990526e+00  0.000000000000e+00  1.099999999989e+00  7.000000000103e-01 
 2.491000857034e-06  8.993225756935e-01  8.991257943284e-01  6.620059172047e-07  1.799999990549e+00  0.000000000000e+00  1.099999999994e+00  7.000000000149e-01 
 2.491002571101e-06  8.993332711243e-01  8.991370586295e-01  6.620560113817e-07  1.799999990573e+00  0.000000000000e+00  1.100000000001e+00  7.000000000220e-01 
 2.491005224479e-06  8.993488511787e-01  8.991541064426e-01  6.620560307980e-07  1.799999990567e+00  0.000000000000e+00  1.100000000008e+00  7.000000000292e-01 
 2.491008076489e-06  8.993638115723e-01  8.991710060812e-01  6.620048937006e-07  1.799999990539e+00  0.000000000000e+00  1.100000000013e+00  7.000000000334e-01 
 2.491013780509e-06  8.993907553708e-01  8.992015395988e-01  6.619216616031e-07  1.799999990501e+00  0.000000000000e+00  1.100000000016e+00  7.000000000367e-01 
 2.491025188550e-06  8.994389157722e-01  8.992544850362e-01  6.619046027482e-07  1.799999990497e+00  0.000000000000e+00  1.100000000016e+00  7.000000000368e-01 
 2.491048004630e-06  8.995220167066e-01  8.993427038163e-01  6.619709389674e-07  1.799999990528e+00  0.000000000000e+00  1.100000000012e+00  7.000000000330e-01 
 2.491093636792e-06  8.996517982949e-01  8.994823594313e-01  6.619892063236e-07  1.799999990535e+00  0.000000000000e+00  1.100000000006e+00  7.000000000268e-01 
 2.491184901116e-06  8.998159607398e-01  8.996763197510e-01  6.619680669246e-07  1.799999990526e+00  0.000000000000e+00  1.099999999998e+00  7.000000000192e-01 
 2.491367429763e-06  8.999553181718e-01  8.998764552310e-01  6.619668859259e-07  1.799999990525e+00  0.000000000000e+00  1.099999999991e+00  7.000000000120e-01 
 2.491732487058e-06  9.000060281004e-01  8.999902285792e-01  6.619689973715e-07  1.799999990526e+00  0.000000000000e+00  1.099999999988e+00  7.000000000087e-01 
 2.492202236048e-06  8.999903784359e-01  8.999890986152e-01  6.619688809897e-07  1.799999990526e+00  0.000000000000e+00  1.099999999989e+00  7.000000000093e-01 
 2.492953929363e-06  8.999777467355e-01  8.999702354892e-01  6.619688299868e-07  1.799999990526e+00  0.000000000000e+00  1.099999999989e+00  7.000000000102e-01 
 2.494285716771e-06  8.999785946010e-01  8.999671871150e-01  6.619688350483e-07  1.799999990526e+00  0.000000000000e+00  1.099999999990e+00  7.000000000105e-01 
 2.496285716771e-06  8.999820016057e-01  8.999730957785e-01  6.619688335286e-07  1.799999990526e+00  0.000000000000e+00  1.099999999990e+00  7.000000000104e-01 
 2.498142858386e-06  8.999831823516e-01  8.999764234774e-01  6.619688342371e-07  1.799999990526e+00  0.000000000000e+00  1.099999999990e+00  7.000000000104e-01 
 2.500000000000e-06  8.999836947987e-01  8.999781327634e-01  6.619688320724e-07  1.799999990526e+00  0.000000000000e+00  1.099999999990e+00  7.000000000104e-01 
 2.500002097527e-06  8.990434694879e-01  8.992167826832e-01  6.589849869987e-07  1.799999988626e+00  0.000000000000e+00  1.099999999412e+00  6.999999994370e-01 
 2.500006292581e-06  8.971709758229e-01  8.978087946938e-01  6.587128844350e-07  1.799999988521e+00  0.000000000000e+00  1.099999998695e+00  6.999999987235e-01 
 2.500014682689e-06  8.935375598384e-01  8.951943261873e-01  6.632249263395e-07  1.799999991206e+00  0.000000000000e+00  1.099999998082e+00  6.999999981168e-01 
 2.500023146911e-06  8.901345283296e-01  8.927632121439e-01  6.650436565748e-07  1.799999992384e+00  0.000000000000e+00  1.099999997982e+00  6.999999980216e-01 
 2.500037883700e-06  8.848001680549e-01  8.889322558235e-01  6.632220870472e-07  1.799999991391e+00  0.000000000000e+00  1.099999998112e+00  6.999999981565e-01 
 2.500056678669e-06  8.789245502559e-01  8.847564532206e-01  6.612495321940e-07  1.799999990153e+00  0.000000000000e+00  1.099999998372e+00  6.999999984195e-01 
 2.500083663438e-06  8.717433767821e-01  8.800061644935e-01  6.612514227257e-07  1.799999990062e+00  0.000000000000e+00  1.099999998692e+00  6.999999987395e-01 
 2.500115743930e-06  8.644352610498e-01  8.759941316363e-01  6.618713240060e-07  1.799999990431e+00  0.000000000000e+00  1.099999998975e+00  6.999999990239e-01 
 2.500155988173e-06  8.558449128843e-01  8.729789536711e-01  6.620844458436e-07  1.799999990590e+00  0.000000000000e+00  1.099999999179e+00  6.999999992337e-01 
 2.500188706388e-06  8.488207610104e-01  8.717088687437e-01  6.620276971997e-07  1.799999990577e+00  0.000000000000e+00  1.099999999249e+00  6.999999993115e-01 
 2.500219742271e-06  8.422333714210e-01  8.711180494246e-01  6.619852841661e-07  1.799999990556e+00  0.000000000000e+00  1.099999999302e+00  6.999999993702e-01 
 2.500252598984e-06  8.356554577064e-01  8.708940536176e-01  6.619726042361e-07  1.799999990532e+00  0.000000000000e+00  1.099999999375e+00  6.999999994458e-01 
 2.500288746857e-06  8.291561349193e-01  8.709825609051e-01  6.619704057626e-07  1.799999990517e+00  0.000000000000e+00  1.099999999473e+00  6.999999995422e-01 
 2.500327858152e-06  8.231132296166e-01  8.715187892760e-01  6.619709111499e-07  1.799999990517e+00  0.000000000000e+00  1.099999999594e+00  6.999999996602e-01 
 2.500366907931e-06  8.180949198017e-01  8.727866269800e-01  6.619733186898e-07  1.799999990523e+00  0.000000000000e+00  1.099999999738e+00  6.999999998000e-01 
 2.500405679399e-06  8.141640380121e-01  8.752833066060e-01  6.619738683460e-07  1.799999990528e+00  0.000000000000e+00  1.099999999926e+00  6.999999999871e-01 
 2.500435440719e-06  8.119996142768e-01  8.785264009915e-01  6.619781846070e-07  1.799999990531e+00  0.000000000000e+00  1.100000000132e+00  7.000000001953e-01 
 2.500456147877e-06  8.110849346887e-01  8.818272780857e-01  6.619927725914e-07  1.799999990536e+00  0.000000000000e+00  1.100000000341e+00  7.000000004065e-01 
 2.500471025453e-06  8.108484991257e-01  8.849781608304e-01  6.620135122318e-07  1.799999990542e+00  0.000000000000e+00  1.100000000549e+00  7.000000006179e-01 
 2.500482908571e-06  8.110134247232e-01  8.881585984497e-01  6.620402934937e-07  1.799999990551e+00  0.000000000000e+00  1.100000000773e+00  7.000000008445e-01 
 2.500493515489e-06  8.115261618159e-01  8.916828854965e-01  6.620734209581e-07  1.799999990573e+00  0.000000000000e+00  1.100000001037e+00  7.000000011123e-01 
 2.500504708000e-06  8.125429312258e-01  8.963006557889e-01  6.620671202584e-07  1.799999990557e+00  0.000000000000e+00  1.100000001391e+00  7.000000014709e-01 
 2.500519004435e-06  8.145890133244e-01  9.035893211613e-01  6.618910110673e-07  1.799999990489e+00  0.000000000000e+00  1.100000001882e+00  7.000000019692e-01 
 2.500533628357e-06  8.173994783102e-01  9.121824126176e-01  6.616095887491e-07  1.799999990412e+00  0.000000000000e+00  1.100000002286e+00  7.000000023812e-01 
 2.500547387724e-06  8.204972493559e-01  9.207010357557e-01  6.615428698170e-07  1.799999990410e+00  0.000000000000e+00  1.100000002501e+00  7.000000026010e-01 
 2.500560671885e-06  8.237396939963e-01  9.289415336944e-01  6.617857506811e-07  1.799999990487e+00  0.000000000000e+00  1.100000002580e+00  7.000000026823e-01 
 2.500574085078e-06  8.271632859561e-01  9.369798925384e-01  6.620309536942e-07  1.799999990559e+00  0.000000000000e+00  1.100000002567e+00  7.000000026678e-01 
 2.500587610347e-06  8.307307212245e-01  9.455148250078e-01  6.625752601403e-07  1.799999990655e+00  0.000000000000e+00  1.100000002657e+00  7.000000027571e-01 
 2.500598135456e-06  8.335757030022e-01  9.515898166714e-01  6.617468779199e-07  1.799999990497e+00  0.000000000000e+00  1.100000002576e+00  7.000000026729e-01 
 2.500606719538e-06  8.359143528063e-01  9.559964979482e-01  6.615184052085e-07  1.799999990475e+00  0.000000000000e+00  1.100000002436e+00  7.000000025274e-01 
 2.500614509595e-06  8.380217790517e-01  9.595550249880e-01  6.617918120703e-07  1.799999990525e+00  0.000000000000e+00  1.100000002282e+00  7.000000023671e-01 
 2.500622434683e-06  8.401378196499e-01  9.628020847649e-01  6.621924773062e-07  1.799999990584e+00  0.000000000000e+00  1.100000002130e+00  7.000000022067e-01 
 2.500629849902e-06  8.420847030483e-01  9.655614723760e-01  6.624175678677e-07  1.799999990605e+00  0.000000000000e+00  1.100000002003e+00  7.000000020716e-01 
 2.500637805210e-06  8.441289286902e-01  9.682822651677e-01  6.624293117053e-07  1.799999990586e+00  0.000000000000e+00  1.100000001884e+00  7.000000019447e-01 
 2.500644930851e-06  8.459137913169e-01  9.705518728861e-01  6.623172952171e-07  1.799999990554e+00  0.000000000000e+00  1.100000001792e+00  7.000000018461e-01 
 2.500652883689e-06  8.478476029380e-01  9.729352872098e-01  6.621518635952e-07  1.799999990522e+00  0.000000000000e+00  1.100000001702e+00  7.000000017490e-01 
 2.500659842194e-06  8.494842711089e-01  9.749142071819e-01  6.620292579580e-07  1.799999990505e+00  0.000000000000e+00  1.100000001631e+00  7.000000016730e-01 
