 time                v(xadc.tp)          v(xadc.tn)          v(q)                v(qb)               v(ev)               v(rp)               v(rn)              
 0.000000000000e+00  9.000244140619e-01  8.999755859380e-01  0.000000000000e+00  1.800000000000e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.000000000000e-11  9.000244140619e-01  8.999755859380e-01  4.411723145184e-07  1.800000036594e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.000000000000e-11  9.000244140619e-01  8.999755859380e-01  5.841795338816e-07  1.800000027703e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 8.000000000000e-11  9.000244140619e-01  8.999755859380e-01  6.712063193098e-07  1.800000001849e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.600000000000e-10  9.000244140619e-01  8.999755859380e-01  6.767377562814e-07  1.799999984430e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.200000000000e-10  9.000244140619e-01  8.999755859380e-01  6.643805903299e-07  1.799999986265e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 6.400000000000e-10  9.000244140619e-01  8.999755859380e-01  6.615847268629e-07  1.799999990368e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.280000000000e-09  9.000244140619e-01  8.999755859380e-01  6.618753226802e-07  1.799999990720e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.560000000000e-09  9.000244140619e-01  8.999755859380e-01  6.619698051773e-07  1.799999990539e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.560000000000e-09  9.000244140619e-01  8.999755859380e-01  6.619695101752e-07  1.799999990524e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 6.560000000000e-09  9.000244140619e-01  8.999755859380e-01  6.619688419963e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 8.560000000000e-09  9.000244140619e-01  8.999755859380e-01  6.619688281930e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.056000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688306921e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.256000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688316150e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.456000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688301004e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.656000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688310078e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.856000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688329243e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.056000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688329043e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.256000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688306283e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.456000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688307608e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.656000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688311491e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.856000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688330426e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.056000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688268267e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.256000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688296230e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.456000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688303943e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.656000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688300053e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.856000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688289078e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.056000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688303608e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.256000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688313576e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.456000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688298461e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.656000000000e-08  9.000244140619e-01  8.999755859380e-01  6.619688295187e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
