 frequency           real(dg)            imag(dg)           
 1.000000000000e+00  1.592144385463e+01 -2.636179638577e-06 
 1.079775162328e+00  1.592144385463e+01 -2.846481297169e-06 
 1.165914401180e+00  1.592144385463e+01 -3.073559804714e-06 
 1.258925411794e+00  1.592144385463e+01 -3.318753537058e-06 
 1.359356390879e+00  1.592144385463e+01 -3.583507639203e-06 
 1.467799267622e+00  1.592144385463e+01 -3.869382542823e-06 
 1.584893192461e+00  1.592144385463e+01 -4.178063163285e-06 
 1.711328304162e+00  1.592144385463e+01 -4.511368830351e-06 
 1.847849797422e+00  1.592144385463e+01 -4.871264011112e-06 
 1.995262314969e+00  1.592144385463e+01 -5.259869888340e-06 
 2.154434690032e+00  1.592144385463e+01 -5.679476862505e-06 
 2.326305067154e+00  1.592144385463e+01 -6.132558051147e-06 
 2.511886431510e+00  1.592144385463e+01 -6.621783865161e-06 
 2.712272579332e+00  1.592144385463e+01 -7.150037747903e-06 
 2.928644564625e+00  1.592144385462e+01 -7.720433169891e-06 
 3.162277660168e+00  1.592144385462e+01 -8.336331979259e-06 
 3.414548873834e+00  1.592144385462e+01 -9.001364216122e-06 
 3.686945064520e+00  1.592144385462e+01 -9.719449507634e-06 
 3.981071705535e+00  1.592144385462e+01 -1.049482016984e-05 
 4.298662347082e+00  1.592144385462e+01 -1.133204615249e-05 
 4.641588833613e+00  1.592144385462e+01 -1.223606197381e-05 
 5.011872336273e+00  1.592144385462e+01 -1.321219580402e-05 
 5.411695265465e+00  1.592144385462e+01 -1.426620086899e-05 
 5.843414133735e+00  1.592144385461e+01 -1.540428935911e-05 
 6.309573444802e+00  1.592144385461e+01 -1.663316904327e-05 
 6.812920690580e+00  1.592144385461e+01 -1.796008280372e-05 
 7.356422544596e+00  1.592144385460e+01 -1.939285132480e-05 
 7.943282347243e+00  1.592144385460e+01 -2.093991918722e-05 
 8.576958985909e+00  1.592144385459e+01 -2.261040463951e-05 
 9.261187281288e+00  1.592144385459e+01 -2.441415333991e-05 
 1.000000000000e+01  1.592144385458e+01 -2.636179638568e-05 
 1.079775162328e+01  1.592144385457e+01 -2.846481297158e-05 
 1.165914401180e+01  1.592144385456e+01 -3.073559804700e-05 
 1.258925411794e+01  1.592144385455e+01 -3.318753537042e-05 
 1.359356390879e+01  1.592144385454e+01 -3.583507639181e-05 
 1.467799267622e+01  1.592144385453e+01 -3.869382542796e-05 
