 time                v(tp)               v(tn)               v(op)               v(on)               v(clk)              v(rp)               v(rn)               i(vdd)              i(vrp)              i(vrn)              v(mem11)            v(mem10)            v(mem9)             v(mem8)             v(mem7)             v(mem6)             v(mem5)             v(mem4)             v(mem3)             v(mem2)             v(mem1)             v(mem0)            
 2.000000000000e-11  9.511041049998e-01  9.414875865248e-01  1.183136283932e+00  1.182967077737e+00  0.000000000000e+00  1.095084791068e+00  7.145454545134e-01 -2.445458227968e-02 -4.915208932339e-04  1.454545451340e-03  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17  3.600000000000e-17 
 2.000811059630e-11  9.511571212337e-01  9.415371726342e-01  1.183539251281e+00  1.183369940634e+00  0.000000000000e+00  1.095246095192e+00  7.145477093750e-01 -2.293862316212e-02 -4.753904807553e-04  1.454770937501e-03  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17  3.601459907333e-17 
 2.002433178889e-11  9.512571498201e-01  9.416297770485e-01  1.184220025248e+00  1.184050464896e+00  0.000000000000e+00  1.095551653447e+00  7.145284447085e-01 -2.021095019007e-02 -4.448346553360e-04  1.452844470847e-03  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17  3.604379722000e-17 
 2.005677417408e-11  9.514256733562e-01  9.417819995381e-01  1.185251261542e+00  1.185081145391e+00  0.000000000000e+00  1.096049201334e+00  7.143854171450e-01 -1.600468585558e-02 -3.950798666296e-04  1.438541714504e-03  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17  3.610219351334e-17 
 2.012165894445e-11  9.516695334374e-01  9.419913706228e-01  1.186784591401e+00  1.186613441251e+00  0.000000000000e+00  1.096696203316e+00  7.138524731511e-01 -1.066870268296e-02 -3.303796683853e-04  1.385247315109e-03  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17  3.621898610001e-17 
 2.018696316341e-11  9.518299751360e-01  9.421168571038e-01  1.188061886826e+00  1.187889880434e+00  0.000000000000e+00  1.097081461493e+00  7.131731737741e-01 -7.583458046836e-03 -2.918538506889e-04  1.317317377409e-03  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17  3.633653369414e-17 
 2.029691492672e-11  9.519811682769e-01  9.422104047343e-01  1.190101488486e+00  1.189928354063e+00  0.000000000000e+00  1.097508255215e+00  7.119996734329e-01 -4.602195205028e-03 -2.491744784814e-04  1.199967343295e-03  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17  3.653444686809e-17 
 2.044263290226e-11  9.520339751221e-01  9.421876906403e-01  1.192797263177e+00  1.192622927196e+00  0.000000000000e+00  1.097908757908e+00  7.105468140117e-01 -2.610912792532e-03 -2.091242092359e-04  1.054681401174e-03  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17  3.679673922407e-17 
 2.068621589206e-11  9.519272516173e-01  9.419521702103e-01  1.197346297131e+00  1.197170105840e+00  0.000000000000e+00  1.098393713251e+00  7.084485324777e-01 -1.226583351830e-03 -1.606286749179e-04  8.448532477728e-04  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17  3.723518860570e-17 
 2.097891975028e-11  9.516586175717e-01  9.415223321703e-01  1.202826099259e+00  1.202647600127e+00  0.000000000000e+00  1.098798780853e+00  7.064245773686e-01 -7.744014789924e-04 -1.201219147403e-04  6.424577368622e-04  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17  3.776205555051e-17 
