 frequency              r_VSS                  i_VSS                 
 1.000000000000000e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.019373485938873e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.039122303835169e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.059253725177289e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.079775162327710e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.100694171252210e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.122018454301964e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.143755863049539e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.165914401179832e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.188502227437019e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.211527658628589e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.234999172687586e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.258925411794168e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.283315185557652e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.308177474260195e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.333521432163325e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.359356390878527e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.385691862803129e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.412537544622755e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.439903320881634e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.467799267622071e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.496235656094435e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.525222956539020e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.554771842041175e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.584893192461115e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.615598098439875e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.646897865482870e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.678804018122562e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.711328304161782e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.744482698999256e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.778279410038925e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.812730881184701e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.847849797422293e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.883649089489803e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.920141938638804e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.957341781487663e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.995262314968882e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.033917501372295e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.073321573485958e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.113489039836649e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.154434690031886e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.196173600205439e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.238721138568343e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.282092971067454e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.326305067153629e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.371373705661659e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.417315480804108e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.464147308281285e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.511886431509584e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.560550427970480e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.610157215682541e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.660725059798814e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.712272579332033e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.764818754010113e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.818382931264459e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.872984833353670e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.928644564625242e+00  1.000000000000000e+00  0.000000000000000e+00 
 2.985382618917966e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.043219887107728e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.102177664799508e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.162277660168387e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.223542001952470e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.285993247600662e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.349654391578285e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.414548873833610e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.480700588428419e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.548133892335763e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.616873614408168e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.686945064519584e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.758374042884451e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.831186849557297e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.905410294116390e+00  1.000000000000000e+00  0.000000000000000e+00 
 3.981071705534982e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.058198942243808e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.136820402388517e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.216965034285833e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.298662347082288e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.381942421619448e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.466835921509642e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.553374104426261e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.641588833612791e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.731512589614817e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.823178482239319e+00  1.000000000000000e+00  0.000000000000000e+00 
 4.916620262745656e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.011872336272736e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.108969774506941e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.207948328595478e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.308844442309899e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.411695265464652e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.516538667595595e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.623413251903506e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.732358369467730e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.843414133735193e+00  1.000000000000000e+00  0.000000000000000e+00 
 5.956621435290122e+00  1.000000000000000e+00  0.000000000000000e+00 
 6.072021956909904e+00  1.000000000000000e+00  0.000000000000000e+00 
 6.189658188912625e+00  1.000000000000000e+00  0.000000000000000e+00 
 6.309573444801952e+00  1.000000000000000e+00  0.000000000000000e+00 
 6.431811877215107e+00  1.000000000000000e+00  0.000000000000000e+00 
 6.556418494179809e+00  1.000000000000000e+00  0.000000000000000e+00 
 6.683439175686167e+00  1.000000000000000e+00  0.000000000000000e+00 
 6.812920690579634e+00  1.000000000000000e+00  0.000000000000000e+00 
 6.944910713781234e+00  1.000000000000000e+00  0.000000000000000e+00 
 7.079457843841402e+00  1.000000000000000e+00  0.000000000000000e+00 
 7.216611620833906e+00  1.000000000000000e+00  0.000000000000000e+00 
 7.356422544596438e+00  1.000000000000000e+00  0.000000000000000e+00 
 7.498942093324583e+00  1.000000000000000e+00  0.000000000000000e+00 
 7.644222742526028e+00  1.000000000000000e+00  0.000000000000000e+00 
 7.792317984341968e+00  1.000000000000000e+00  0.000000000000000e+00 
 7.943282347242842e+00  1.000000000000000e+00  0.000000000000000e+00 
 8.097171416105647e+00  1.000000000000000e+00  0.000000000000000e+00 
 8.254041852680212e+00  1.000000000000000e+00  0.000000000000000e+00 
 8.413951416451980e+00  1.000000000000000e+00  0.000000000000000e+00 
 8.576958985908970e+00  1.000000000000000e+00  0.000000000000000e+00 
 8.743124580220766e+00  1.000000000000000e+00  0.000000000000000e+00 
 8.912509381337486e+00  1.000000000000000e+00  0.000000000000000e+00 
 9.085175756516900e+00  1.000000000000000e+00  0.000000000000000e+00 
 9.261187281287969e+00  1.000000000000000e+00  0.000000000000000e+00 
 9.440608762859268e+00  1.000000000000000e+00  0.000000000000000e+00 
 9.623506263980921e+00  1.000000000000000e+00  0.000000000000000e+00 
 9.809947127268810e+00  1.000000000000000e+00  0.000000000000000e+00 
 1.000000000000004e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.019373485938877e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.039122303835173e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.059253725177293e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.079775162327714e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.100694171252214e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.122018454301968e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.143755863049543e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.165914401179836e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.188502227437023e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.211527658628593e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.234999172687590e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.258925411794172e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.283315185557657e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.308177474260200e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.333521432163330e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.359356390878532e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.385691862803134e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.412537544622761e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.439903320881639e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.467799267622076e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.496235656094440e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.525222956539026e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.554771842041181e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.584893192461121e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.615598098439882e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.646897865482876e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.678804018122569e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.711328304161789e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.744482698999263e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.778279410038932e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.812730881184708e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.847849797422300e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.883649089489810e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.920141938638811e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.957341781487670e+01  1.000000000000000e+00  0.000000000000000e+00 
 1.995262314968890e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.033917501372302e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.073321573485966e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.113489039836658e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.154434690031895e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.196173600205448e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.238721138568352e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.282092971067463e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.326305067153639e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.371373705661668e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.417315480804117e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.464147308281295e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.511886431509594e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.560550427970491e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.610157215682552e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.660725059798825e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.712272579332044e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.764818754010124e+01  1.000000000000000e+00  0.000000000000000e+00 
 2.818382931264470e+01  1.000000000000000e+00  0.000000000000000e+00 
