device,ids,gm,gds,vgs,vds,vdsat
M8,-9.999998820817405e-06,0.0001020060154098751,3.36458221676724e-07,-1.16724668807448,-1.16724668807448,-0.1697032387080531
M9,-9.991455090098706e-06,0.0001019238855917205,3.417718766349612e-07,-1.16724668807448,-1.142051055908432,-0.1696953444088251
M10,9.991455574786332e-06,0.0001727560309578945,1.036214078893169e-06,0.657948944091568,0.657948944091568,0.09235519778443177
M1,1.90117313757613e-05,0.0003818206113818187,3.889986492092605e-06,0.6852772303133909,0.5774296717132982,0.07456184962951591
M2,1.901173137576144e-05,0.0003818206113818209,3.889986492092527e-06,0.6852772303133909,0.5774296717133284,0.07456184962951605
M3A,-9.505865008338297e-06,0.0001506444116729336,9.78294305358932e-07,-1.007847558600093,-1.007847558600093,-0.08721542695150267
M3B,-9.505865008338297e-06,0.0001506444116729336,9.78294305358932e-07,-1.007847558600093,-1.007847558600093,-0.08721542695150267
M4A,-9.505865008338268e-06,0.0001506444116729332,9.7829430535894e-07,-1.007847558600093,-1.007847558600063,-0.08721542695150267
M4B,-9.505865008338268e-06,0.0001506444116729332,9.7829430535894e-07,-1.007847558600093,-1.007847558600063,-0.08721542695150267
M5,3.802346205207837e-05,0.0006416107571551585,1.313440308001934e-05,0.657948944091568,0.2147227696866091,0.0985417932030154
M6,8.359470313213346e-05,0.000838082003435269,8.509194429238488e-06,0.7921524413999375,0.9292125074313934,0.158511272570664
M7A,-4.644341372005106e-05,0.0004851531157351777,1.968393664550669e-06,-1.16724668807448,-0.8707874925686067,-0.1650042077995002
M7B,-4.644341372005106e-05,0.0004851531157351777,1.968393664550669e-06,-1.16724668807448,-0.8707874925686067,-0.1650042077995002
