device,ids,gm,gds,vgs,vds,vdsat
M8,-9.999998820817405e-06,0.0001020060154098751,3.36458221676724e-07,-1.16724668807448,-1.16724668807448,-0.1697032387080531
M9,-9.991455090098706e-06,0.0001019238855917205,3.417718766349614e-07,-1.16724668807448,-1.142051055908432,-0.1696953444088251
M10,9.991455574786412e-06,0.0001727560309578957,1.036214078893175e-06,0.6579489440915685,0.6579489440915685,0.09235519778443227
M1,3.207774834971484e-10,8.60338630943e-09,7.010063697610494e-11,0.1928094835565791,1.293117832175941,0.04074029970040086
M2,3.488711475967181e-10,9.35514400316454e-09,8.675802879495016e-11,0.1999989675999675,0.82372607374825,0.04074042396537522
M3A,-1.605278455883016e-10,4.763014516604551e-09,3.03195249686985e-11,-0.5068811354240261,-0.5068811354240261,-0.04374499210864333
M3B,-1.605278455883016e-10,4.763014516604551e-09,3.03195249686985e-11,-0.5068811354240261,-0.5068811354240261,-0.04374499210864333
M4A,-1.738666972911416e-10,5.155949126339228e-09,2.733119160105059e-11,-0.5068811354240261,-0.9762728938517174,-0.04374508508225701
M4B,-1.738666972911416e-10,5.155949126339228e-09,2.733119160105059e-11,-0.5068811354240261,-0.9762728938517174,-0.04374508508225701
M5,6.696485381117926e-10,7.595926494774489e-09,0.0006486292628786548,0.6579489440915685,1.032400032574543e-06,0.09854164644677088
M6,9.324754366803348e-05,0.0007503628650802517,0.0001294559028329466,0.8237271061482826,0.1928105159566116,0.1776731354205344
M7A,-4.758771948910656e-05,0.0004963316779522806,1.278451704165189e-06,-1.16724668807448,-1.607189484043388,-0.1652327709736912
M7B,-4.758771948910656e-05,0.0004963316779522806,1.278451704165189e-06,-1.16724668807448,-1.607189484043388,-0.1652327709736912
