 frequency       av              ph             
 1.00000000e+00 -2.94571553e-02 -9.27697079e-06 
 1.02920053e+00 -2.94571553e-02 -9.54786323e-06 
 1.05925373e+00 -2.94571553e-02 -9.82666587e-06 
 1.09018449e+00 -2.94571553e-02 -1.01136097e-05 
 1.12201845e+00 -2.94571553e-02 -1.04089324e-05 
 1.15478198e+00 -2.94571553e-02 -1.07128787e-05 
 1.18850223e+00 -2.94571553e-02 -1.10257004e-05 
 1.22320712e+00 -2.94571553e-02 -1.13476567e-05 
 1.25892541e+00 -2.94571553e-02 -1.16790143e-05 
 1.29568670e+00 -2.94571553e-02 -1.20200476e-05 
 1.33352143e+00 -2.94571553e-02 -1.23710394e-05 
 1.37246096e+00 -2.94571553e-02 -1.27322802e-05 
 1.41253754e+00 -2.94571553e-02 -1.31040695e-05 
 1.45378439e+00 -2.94571553e-02 -1.34867153e-05 
 1.49623566e+00 -2.94571553e-02 -1.38805345e-05 
 1.53992653e+00 -2.94571553e-02 -1.42858534e-05 
 1.58489319e+00 -2.94571553e-02 -1.47030078e-05 
 1.63117291e+00 -2.94571553e-02 -1.51323434e-05 
 1.67880402e+00 -2.94571553e-02 -1.55742158e-05 
 1.72782598e+00 -2.94571553e-02 -1.60289911e-05 
 1.77827941e+00 -2.94571553e-02 -1.64970461e-05 
 1.83020611e+00 -2.94571553e-02 -1.69787686e-05 
 1.88364909e+00 -2.94571553e-02 -1.74745576e-05 
 1.93865264e+00 -2.94571553e-02 -1.79848239e-05 
 1.99526231e+00 -2.94571553e-02 -1.85099902e-05 
 2.05352503e+00 -2.94571553e-02 -1.90504917e-05 
 2.11348904e+00 -2.94571553e-02 -1.96067761e-05 
 2.17520403e+00 -2.94571553e-02 -2.01793043e-05 
 2.23872114e+00 -2.94571553e-02 -2.07685506e-05 
 2.30409298e+00 -2.94571553e-02 -2.13750032e-05 
 2.37137371e+00 -2.94571553e-02 -2.19991646e-05 
 2.44061907e+00 -2.94571553e-02 -2.26415518e-05 
 2.51188643e+00 -2.94571553e-02 -2.33026970e-05 
 2.58523484e+00 -2.94571553e-02 -2.39831481e-05 
 2.66072506e+00 -2.94571553e-02 -2.46834687e-05 
 2.73841963e+00 -2.94571553e-02 -2.54042390e-05 
 2.81838293e+00 -2.94571553e-02 -2.61460561e-05 
 2.90068120e+00 -2.94571553e-02 -2.69095347e-05 
 2.98538262e+00 -2.94571553e-02 -2.76953073e-05 
 3.07255737e+00 -2.94571553e-02 -2.85040249e-05 
 3.16227766e+00 -2.94571553e-02 -2.93363575e-05 
 3.25461783e+00 -2.94571553e-02 -3.01929946e-05 
 3.34965439e+00 -2.94571553e-02 -3.10746459e-05 
 3.44746607e+00 -2.94571553e-02 -3.19820420e-05 
 3.54813389e+00 -2.94571553e-02 -3.29159345e-05 
 3.65174127e+00 -2.94571553e-02 -3.38770971e-05 
 3.75837404e+00 -2.94571553e-02 -3.48663262e-05 
 3.86812055e+00 -2.94571553e-02 -3.58844413e-05 
 3.98107171e+00 -2.94571553e-02 -3.69322859e-05 
 4.09732110e+00 -2.94571553e-02 -3.80107281e-05 
 4.21696503e+00 -2.94571553e-02 -3.91206614e-05 
 4.34010264e+00 -2.94571553e-02 -4.02630054e-05 
 4.46683592e+00 -2.94571553e-02 -4.14387064e-05 
 4.59726989e+00 -2.94571553e-02 -4.26487384e-05 
 4.73151259e+00 -2.94571553e-02 -4.38941041e-05 
 4.86967525e+00 -2.94571553e-02 -4.51758351e-05 
 5.01187234e+00 -2.94571553e-02 -4.64949933e-05 
 5.15822165e+00 -2.94571553e-02 -4.78526716e-05 
 5.30884444e+00 -2.94571553e-02 -4.92499948e-05 
 5.46386550e+00 -2.94571553e-02 -5.06881206e-05 
 5.62341325e+00 -2.94571553e-02 -5.21682405e-05 
 5.78761988e+00 -2.94571553e-02 -5.36915806e-05 
 5.95662144e+00 -2.94571553e-02 -5.52594031e-05 
 6.13055792e+00 -2.94571553e-02 -5.68730068e-05 
 6.30957344e+00 -2.94571553e-02 -5.85337285e-05 
 6.49381632e+00 -2.94571553e-02 -6.02429443e-05 
 6.68343918e+00 -2.94571553e-02 -6.20020700e-05 
 6.87859912e+00 -2.94571553e-02 -6.38125631e-05 
 7.07945784e+00 -2.94571553e-02 -6.56759236e-05 
 7.28618175e+00 -2.94571553e-02 -6.75936952e-05 
 7.49894209e+00 -2.94571553e-02 -6.95674667e-05 
 7.71791516e+00 -2.94571553e-02 -7.15988734e-05 
 7.94328235e+00 -2.94571553e-02 -7.36895983e-05 
 8.17523038e+00 -2.94571553e-02 -7.58413734e-05 
 8.41395142e+00 -2.94571553e-02 -7.80559815e-05 
 8.65964323e+00 -2.94571553e-02 -8.03352573e-05 
 8.91250938e+00 -2.94571553e-02 -8.26810892e-05 
 9.17275935e+00 -2.94571553e-02 -8.50954206e-05 
 9.44060876e+00 -2.94571553e-02 -8.75802517e-05 
 9.71627952e+00 -2.94571553e-02 -9.01376412e-05 
 1.00000000e+01 -2.94571553e-02 -9.27697079e-05 
 1.02920053e+01 -2.94571553e-02 -9.54786323e-05 
 1.05925373e+01 -2.94571553e-02 -9.82666587e-05 
 1.09018449e+01 -2.94571553e-02 -1.01136097e-04 
 1.12201845e+01 -2.94571553e-02 -1.04089324e-04 
 1.15478198e+01 -2.94571553e-02 -1.07128787e-04 
 1.18850223e+01 -2.94571553e-02 -1.10257004e-04 
 1.22320712e+01 -2.94571553e-02 -1.13476567e-04 
 1.25892541e+01 -2.94571553e-02 -1.16790143e-04 
 1.29568670e+01 -2.94571554e-02 -1.20200476e-04 
 1.33352143e+01 -2.94571554e-02 -1.23710394e-04 
 1.37246096e+01 -2.94571554e-02 -1.27322802e-04 
 1.41253754e+01 -2.94571554e-02 -1.31040695e-04 
 1.45378439e+01 -2.94571554e-02 -1.34867153e-04 
 1.49623566e+01 -2.94571554e-02 -1.38805345e-04 
 1.53992653e+01 -2.94571554e-02 -1.42858534e-04 
 1.58489319e+01 -2.94571554e-02 -1.47030078e-04 
 1.63117291e+01 -2.94571554e-02 -1.51323434e-04 
 1.67880402e+01 -2.94571554e-02 -1.55742158e-04 
 1.72782598e+01 -2.94571554e-02 -1.60289911e-04 
 1.77827941e+01 -2.94571554e-02 -1.64970461e-04 
 1.83020611e+01 -2.94571554e-02 -1.69787686e-04 
 1.88364909e+01 -2.94571554e-02 -1.74745576e-04 
 1.93865264e+01 -2.94571554e-02 -1.79848239e-04 
 1.99526231e+01 -2.94571554e-02 -1.85099902e-04 
 2.05352503e+01 -2.94571554e-02 -1.90504917e-04 
 2.11348904e+01 -2.94571554e-02 -1.96067761e-04 
 2.17520403e+01 -2.94571554e-02 -2.01793043e-04 
 2.23872114e+01 -2.94571555e-02 -2.07685506e-04 
 2.30409298e+01 -2.94571555e-02 -2.13750032e-04 
 2.37137371e+01 -2.94571555e-02 -2.19991646e-04 
 2.44061907e+01 -2.94571555e-02 -2.26415518e-04 
 2.51188643e+01 -2.94571555e-02 -2.33026970e-04 
 2.58523484e+01 -2.94571555e-02 -2.39831481e-04 
 2.66072506e+01 -2.94571555e-02 -2.46834687e-04 
 2.73841963e+01 -2.94571555e-02 -2.54042390e-04 
 2.81838293e+01 -2.94571555e-02 -2.61460561e-04 
 2.90068120e+01 -2.94571555e-02 -2.69095347e-04 
 2.98538262e+01 -2.94571556e-02 -2.76953073e-04 
 3.07255737e+01 -2.94571556e-02 -2.85040249e-04 
 3.16227766e+01 -2.94571556e-02 -2.93363575e-04 
 3.25461783e+01 -2.94571556e-02 -3.01929946e-04 
 3.34965439e+01 -2.94571556e-02 -3.10746459e-04 
 3.44746607e+01 -2.94571557e-02 -3.19820420e-04 
 3.54813389e+01 -2.94571557e-02 -3.29159345e-04 
 3.65174127e+01 -2.94571557e-02 -3.38770971e-04 
 3.75837404e+01 -2.94571557e-02 -3.48663262e-04 
 3.86812055e+01 -2.94571557e-02 -3.58844413e-04 
 3.98107171e+01 -2.94571558e-02 -3.69322859e-04 
 4.09732110e+01 -2.94571558e-02 -3.80107281e-04 
 4.21696503e+01 -2.94571558e-02 -3.91206614e-04 
 4.34010264e+01 -2.94571559e-02 -4.02630054e-04 
 4.46683592e+01 -2.94571559e-02 -4.14387064e-04 
 4.59726989e+01 -2.94571559e-02 -4.26487384e-04 
 4.73151259e+01 -2.94571560e-02 -4.38941041e-04 
 4.86967525e+01 -2.94571560e-02 -4.51758351e-04 
 5.01187234e+01 -2.94571560e-02 -4.64949933e-04 
 5.15822165e+01 -2.94571561e-02 -4.78526716e-04 
 5.30884444e+01 -2.94571561e-02 -4.92499948e-04 
 5.46386550e+01 -2.94571562e-02 -5.06881206e-04 
 5.62341325e+01 -2.94571562e-02 -5.21682405e-04 
 5.78761988e+01 -2.94571563e-02 -5.36915806e-04 
 5.95662144e+01 -2.94571564e-02 -5.52594030e-04 
 6.13055792e+01 -2.94571564e-02 -5.68730067e-04 
 6.30957344e+01 -2.94571565e-02 -5.85337285e-04 
 6.49381632e+01 -2.94571566e-02 -6.02429443e-04 
 6.68343918e+01 -2.94571566e-02 -6.20020700e-04 
 6.87859912e+01 -2.94571567e-02 -6.38125631e-04 
 7.07945784e+01 -2.94571568e-02 -6.56759236e-04 
 7.28618175e+01 -2.94571569e-02 -6.75936952e-04 
 7.49894209e+01 -2.94571570e-02 -6.95674667e-04 
 7.71791516e+01 -2.94571571e-02 -7.15988734e-04 
 7.94328235e+01 -2.94571572e-02 -7.36895983e-04 
 8.17523038e+01 -2.94571573e-02 -7.58413734e-04 
 8.41395142e+01 -2.94571574e-02 -7.80559815e-04 
 8.65964323e+01 -2.94571575e-02 -8.03352573e-04 
 8.91250938e+01 -2.94571577e-02 -8.26810891e-04 
 9.17275935e+01 -2.94571578e-02 -8.50954205e-04 
 9.44060876e+01 -2.94571580e-02 -8.75802517e-04 
 9.71627952e+01 -2.94571581e-02 -9.01376412e-04 
 1.00000000e+02 -2.94571583e-02 -9.27697078e-04 
 1.02920053e+02 -2.94571585e-02 -9.54786322e-04 
 1.05925373e+02 -2.94571586e-02 -9.82666586e-04 
 1.09018449e+02 -2.94571588e-02 -1.01136097e-03 
 1.12201845e+02 -2.94571591e-02 -1.04089324e-03 
 1.15478198e+02 -2.94571593e-02 -1.07128787e-03 
 1.18850223e+02 -2.94571595e-02 -1.10257004e-03 
 1.22320712e+02 -2.94571598e-02 -1.13476567e-03 
 1.25892541e+02 -2.94571600e-02 -1.16790143e-03 
 1.29568670e+02 -2.94571603e-02 -1.20200476e-03 
 1.33352143e+02 -2.94571606e-02 -1.23710394e-03 
 1.37246096e+02 -2.94571609e-02 -1.27322802e-03 
 1.41253754e+02 -2.94571613e-02 -1.31040695e-03 
 1.45378439e+02 -2.94571616e-02 -1.34867153e-03 
 1.49623566e+02 -2.94571620e-02 -1.38805345e-03 
 1.53992653e+02 -2.94571624e-02 -1.42858534e-03 
 1.58489319e+02 -2.94571628e-02 -1.47030078e-03 
 1.63117291e+02 -2.94571632e-02 -1.51323434e-03 
