CL_pF,pm_deg,ugb_MHz,loop_status,step_status,settling_ns,rise_overshoot_mV,fall_overshoot_mV,historical_pm_deg
1,93.78402677449655,19.85357279890346,PASS,PASS,51.73376550796338,0.0,0.0,94.16261628
2,85.92814821734343,19.202778168693932,PASS,PASS,48.9669732508122,0.025328653340039864,0.0,86.28820243
5,68.7880579943491,16.732928526259172,PASS,PASS,74.18622482421311,74.09554629603998,1.9204854480867617,69.08291044
10,53.76673130171339,13.65603190101591,FAIL,PASS,140.39088526937113,111.86676959334707,15.017794450778442,
20,40.55402410256579,10.435895809170583,FAIL,PASS,249.68795489591102,87.19408553612706,38.05112704119718,
