 frequency       av              ph             
 1.00000000e+00 -2.94571548e-02 -1.01339288e-05 
 1.02920053e+00 -2.94571548e-02 -1.04298448e-05 
 1.05925373e+00 -2.94571548e-02 -1.07344018e-05 
 1.09018449e+00 -2.94571548e-02 -1.10478520e-05 
 1.12201845e+00 -2.94571548e-02 -1.13704551e-05 
 1.15478198e+00 -2.94571548e-02 -1.17024784e-05 
 1.18850223e+00 -2.94571548e-02 -1.20441969e-05 
 1.22320712e+00 -2.94571548e-02 -1.23958938e-05 
 1.25892541e+00 -2.94571548e-02 -1.27578605e-05 
 1.29568670e+00 -2.94571548e-02 -1.31303967e-05 
 1.33352143e+00 -2.94571548e-02 -1.35138112e-05 
 1.37246096e+00 -2.94571548e-02 -1.39084216e-05 
 1.41253754e+00 -2.94571548e-02 -1.43145549e-05 
 1.45378439e+00 -2.94571548e-02 -1.47325474e-05 
 1.49623566e+00 -2.94571548e-02 -1.51627456e-05 
 1.53992653e+00 -2.94571548e-02 -1.56055057e-05 
 1.58489319e+00 -2.94571548e-02 -1.60611947e-05 
 1.63117291e+00 -2.94571548e-02 -1.65301901e-05 
 1.67880402e+00 -2.94571548e-02 -1.70128803e-05 
 1.72782598e+00 -2.94571548e-02 -1.75096654e-05 
 1.77827941e+00 -2.94571548e-02 -1.80209569e-05 
 1.83020611e+00 -2.94571548e-02 -1.85471783e-05 
 1.88364909e+00 -2.94571548e-02 -1.90887657e-05 
 1.93865264e+00 -2.94571548e-02 -1.96461677e-05 
 1.99526231e+00 -2.94571548e-02 -2.02198462e-05 
 2.05352503e+00 -2.94571548e-02 -2.08102763e-05 
 2.11348904e+00 -2.94571548e-02 -2.14179474e-05 
 2.17520403e+00 -2.94571548e-02 -2.20433627e-05 
 2.23872114e+00 -2.94571548e-02 -2.26870406e-05 
 2.30409298e+00 -2.94571548e-02 -2.33495141e-05 
 2.37137371e+00 -2.94571548e-02 -2.40313322e-05 
 2.44061907e+00 -2.94571548e-02 -2.47330598e-05 
 2.51188643e+00 -2.94571548e-02 -2.54552782e-05 
 2.58523484e+00 -2.94571548e-02 -2.61985857e-05 
 2.66072506e+00 -2.94571548e-02 -2.69635982e-05 
 2.73841963e+00 -2.94571548e-02 -2.77509495e-05 
 2.81838293e+00 -2.94571548e-02 -2.85612919e-05 
 2.90068120e+00 -2.94571548e-02 -2.93952967e-05 
 2.98538262e+00 -2.94571548e-02 -3.02536548e-05 
 3.07255737e+00 -2.94571548e-02 -3.11370775e-05 
 3.16227766e+00 -2.94571548e-02 -3.20462966e-05 
 3.25461783e+00 -2.94571548e-02 -3.29820653e-05 
 3.34965439e+00 -2.94571548e-02 -3.39451590e-05 
 3.44746607e+00 -2.94571548e-02 -3.49363755e-05 
 3.54813389e+00 -2.94571548e-02 -3.59565361e-05 
 3.65174127e+00 -2.94571548e-02 -3.70064859e-05 
 3.75837404e+00 -2.94571548e-02 -3.80870948e-05 
 3.86812055e+00 -2.94571548e-02 -3.91992581e-05 
 3.98107171e+00 -2.94571548e-02 -4.03438971e-05 
 4.09732110e+00 -2.94571548e-02 -4.15219602e-05 
 4.21696503e+00 -2.94571548e-02 -4.27344233e-05 
 4.34010264e+00 -2.94571548e-02 -4.39822910e-05 
 4.46683592e+00 -2.94571548e-02 -4.52665971e-05 
 4.59726989e+00 -2.94571548e-02 -4.65884056e-05 
 4.73151259e+00 -2.94571548e-02 -4.79488116e-05 
 4.86967525e+00 -2.94571548e-02 -4.93489421e-05 
 5.01187234e+00 -2.94571548e-02 -5.07899573e-05 
 5.15822165e+00 -2.94571548e-02 -5.22730508e-05 
 5.30884444e+00 -2.94571548e-02 -5.37994514e-05 
 5.46386550e+00 -2.94571548e-02 -5.53704238e-05 
 5.62341325e+00 -2.94571548e-02 -5.69872693e-05 
 5.78761988e+00 -2.94571548e-02 -5.86513277e-05 
 5.95662144e+00 -2.94571548e-02 -6.03639773e-05 
 6.13055792e+00 -2.94571548e-02 -6.21266373e-05 
 6.30957344e+00 -2.94571548e-02 -6.39407679e-05 
 6.49381632e+00 -2.94571548e-02 -6.58078720e-05 
 6.68343918e+00 -2.94571548e-02 -6.77294965e-05 
 6.87859912e+00 -2.94571548e-02 -6.97072336e-05 
 7.07945784e+00 -2.94571548e-02 -7.17427215e-05 
 7.28618175e+00 -2.94571548e-02 -7.38376468e-05 
 7.49894209e+00 -2.94571548e-02 -7.59937450e-05 
 7.71791516e+00 -2.94571548e-02 -7.82128024e-05 
 7.94328235e+00 -2.94571548e-02 -8.04966575e-05 
 8.17523038e+00 -2.94571548e-02 -8.28472023e-05 
 8.41395142e+00 -2.94571548e-02 -8.52663843e-05 
 8.65964323e+00 -2.94571548e-02 -8.77562077e-05 
 8.91250938e+00 -2.94571548e-02 -9.03187352e-05 
 9.17275935e+00 -2.94571548e-02 -9.29560899e-05 
 9.44060876e+00 -2.94571548e-02 -9.56704568e-05 
 9.71627952e+00 -2.94571548e-02 -9.84640845e-05 
 1.00000000e+01 -2.94571548e-02 -1.01339288e-04 
 1.02920053e+01 -2.94571548e-02 -1.04298448e-04 
 1.05925373e+01 -2.94571548e-02 -1.07344018e-04 
 1.09018449e+01 -2.94571548e-02 -1.10478520e-04 
 1.12201845e+01 -2.94571548e-02 -1.13704551e-04 
 1.15478198e+01 -2.94571547e-02 -1.17024784e-04 
 1.18850223e+01 -2.94571547e-02 -1.20441969e-04 
 1.22320712e+01 -2.94571547e-02 -1.23958938e-04 
 1.25892541e+01 -2.94571547e-02 -1.27578605e-04 
 1.29568670e+01 -2.94571547e-02 -1.31303967e-04 
 1.33352143e+01 -2.94571547e-02 -1.35138112e-04 
 1.37246096e+01 -2.94571547e-02 -1.39084216e-04 
 1.41253754e+01 -2.94571547e-02 -1.43145549e-04 
 1.45378439e+01 -2.94571547e-02 -1.47325474e-04 
 1.49623566e+01 -2.94571547e-02 -1.51627456e-04 
 1.53992653e+01 -2.94571547e-02 -1.56055057e-04 
 1.58489319e+01 -2.94571547e-02 -1.60611947e-04 
 1.63117291e+01 -2.94571547e-02 -1.65301901e-04 
 1.67880402e+01 -2.94571547e-02 -1.70128803e-04 
 1.72782598e+01 -2.94571546e-02 -1.75096654e-04 
 1.77827941e+01 -2.94571546e-02 -1.80209569e-04 
 1.83020611e+01 -2.94571546e-02 -1.85471783e-04 
 1.88364909e+01 -2.94571546e-02 -1.90887657e-04 
 1.93865264e+01 -2.94571546e-02 -1.96461677e-04 
 1.99526231e+01 -2.94571546e-02 -2.02198462e-04 
