device,ids,gm,gds,vgs,vds,vdsat
M8,9.999998820817449e-06,0.0001020060154098754,3.364582216767255e-07,1.16724668807448,1.16724668807448,0.1697032387080531
M9,9.991455090098753e-06,0.0001019238855917208,3.417718766349632e-07,1.16724668807448,1.142051055908431,0.1696953444088251
M10,9.991455574786466e-06,0.0001727560309578963,1.03621407889318e-06,0.6579489440915688,0.6579489440915688,0.09235519778443227
M1,1.90125541781576e-05,0.0003818346211135492,3.890168962625486e-06,0.6852811091603852,0.5774188010634493,0.07456289987397736
M2,1.901101571194304e-05,0.0003818099448110467,3.887251647038378e-06,0.6852690729341302,0.5782049829929594,0.07455805631733015
M3A,9.50627640952839e-06,0.0001506500949952857,9.78332127495139e-07,1.007850271870681,1.007850271870681,0.08721668108210923
M3B,9.50627640952839e-06,0.0001506500949952857,9.78332127495139e-07,1.007850271870681,1.007850271870681,0.08721668108210923
M4A,9.50550717818873e-06,0.0001506389198546231,9.785466375540581e-07,1.007850271870681,1.007064089941171,0.08721546186785692
M4B,9.50550717818873e-06,0.0001506389198546231,9.785466375540581e-07,1.007850271870681,1.007064089941171,0.08721546186785692
M5,3.802356919063203e-05,0.0006416130330509363,1.313348268981926e-05,0.6579489440915688,0.2147309270658698,0.09854179320859122
M6,8.400021786514825e-05,0.0008394147363873554,8.72775021420976e-06,0.7929359100588291,0.9000120362262549,0.1589810469050039
M7A,4.650016866272965e-05,0.0004857318120443559,1.919419371044182e-06,1.16724668807448,0.8999879637737451,0.1650132688817264
M7B,4.650016866272965e-05,0.0004857318120443559,1.919419371044182e-06,1.16724668807448,0.8999879637737451,0.1650132688817264
