scenario,gain,target_hz,actual_hz,fft_bin,sample_count,sndr_db,enob_uncorrected_for_input_backoff,sfdr_db,snr_db,thd_db,nominal_model_target_met,evidence_level
ideal_quantized,1,1000.0,994.873046875,163,16384,73.00715664455322,11.835075854576948,96.1424269585931,73.00813682053942,-109.47244925313221,True,BEHAVIORAL_NOT_TRANSISTOR
assumed_budget,1,1000.0,994.873046875,163,16384,69.24406462106842,11.209977511805384,86.51123035698846,69.3281579669215,-86.4162702380813,True,BEHAVIORAL_NOT_TRANSISTOR
high_noise_negative_control,1,1000.0,994.873046875,163,16384,56.10046329921165,9.026655033091636,84.27702116136842,56.1057441699748,-85.25389118717142,False,BEHAVIORAL_NOT_TRANSISTOR
ideal_quantized,1,5000.0,4998.779296875,819,16384,73.00715664455306,11.835075854576921,96.14242695859333,73.00813682053926,-109.47244925313942,True,BEHAVIORAL_NOT_TRANSISTOR
assumed_budget,1,5000.0,4998.779296875,819,16384,69.26188315445447,11.212937401072171,86.68600065747349,69.34319090382937,-86.57899731801098,True,BEHAVIORAL_NOT_TRANSISTOR
high_noise_negative_control,1,5000.0,4998.779296875,819,16384,56.162482863150906,9.036957286237692,85.70474722946611,56.16570496953915,-87.46053817020163,False,BEHAVIORAL_NOT_TRANSISTOR
ideal_quantized,4,1000.0,994.873046875,163,16384,73.00715664455322,11.835075854576948,96.1424269585931,73.00813682053942,-109.47244925313221,True,BEHAVIORAL_NOT_TRANSISTOR
assumed_budget,4,1000.0,994.873046875,163,16384,69.04387433169562,11.176723310912893,86.786007842376,69.11812670468599,-86.75168735917242,True,BEHAVIORAL_NOT_TRANSISTOR
high_noise_negative_control,4,1000.0,994.873046875,163,16384,54.8743156014024,8.822976013521995,83.89548454744458,54.877662755917356,-86.00707457226531,False,BEHAVIORAL_NOT_TRANSISTOR
ideal_quantized,4,5000.0,4998.779296875,819,16384,73.00715664455306,11.835075854576921,96.14242695859333,73.00813682053926,-109.47244925313942,True,BEHAVIORAL_NOT_TRANSISTOR
assumed_budget,4,5000.0,4998.779296875,819,16384,69.04207076371166,11.17642371490227,86.48513111153753,69.12347959674429,-86.35383941620327,True,BEHAVIORAL_NOT_TRANSISTOR
high_noise_negative_control,4,5000.0,4998.779296875,819,16384,54.76343112563522,8.804556665387912,83.22144591329962,54.76862867011123,-83.985890608409,False,BEHAVIORAL_NOT_TRANSISTOR
ideal_quantized,16,1000.0,994.873046875,163,16384,73.00715664455322,11.835075854576948,96.1424269585931,73.00813682053942,-109.47244925313221,True,BEHAVIORAL_NOT_TRANSISTOR
assumed_budget,16,1000.0,994.873046875,163,16384,66.65054900426486,10.779160964163598,86.48396599990659,66.69764129716728,-86.32241862145732,True,BEHAVIORAL_NOT_TRANSISTOR
high_noise_negative_control,16,1000.0,994.873046875,163,16384,47.75432417845022,7.640253185789073,77.79871028866168,47.757479370570586,-79.14348670524541,False,BEHAVIORAL_NOT_TRANSISTOR
ideal_quantized,16,5000.0,4998.779296875,819,16384,73.00715664455306,11.835075854576921,96.14242695859333,73.00813682053926,-109.47244925313942,True,BEHAVIORAL_NOT_TRANSISTOR
assumed_budget,16,5000.0,4998.779296875,819,16384,66.67079811937845,10.782524604547914,85.26404831260749,66.73236883667053,-85.18564808925093,True,BEHAVIORAL_NOT_TRANSISTOR
high_noise_negative_control,16,5000.0,4998.779296875,819,16384,47.77262581818279,7.643293325279534,76.36404515410675,47.77775489808153,-77.05263857490743,False,BEHAVIORAL_NOT_TRANSISTOR
