 time            d4              h4              c4              p4             
 0.00000000e+00 -3.67636362e-01 -2.39718179e-09  8.98989355e-01  1.36813229e-03 
 5.00000000e-11 -3.67636362e-01 -2.39718201e-09  8.98989355e-01  1.36813229e-03 
 1.00000000e-10 -3.67636362e-01 -2.39718212e-09  8.98989355e-01  1.36813229e-03 
 2.00000000e-10 -3.67636362e-01 -2.39718234e-09  8.98989355e-01  1.36813229e-03 
 4.00000000e-10 -3.67636362e-01 -2.39718290e-09  8.98989355e-01  1.36813229e-03 
 8.00000000e-10 -3.67636362e-01 -2.39718334e-09  8.98989355e-01  1.36813229e-03 
 1.60000000e-09 -3.67636362e-01 -2.39718290e-09  8.98989355e-01  1.36813229e-03 
 3.20000000e-09 -3.67636362e-01 -2.39718279e-09  8.98989355e-01  1.36813229e-03 
 6.40000000e-09 -3.67636362e-01 -2.39718378e-09  8.98989355e-01  1.36813229e-03 
 1.14000000e-08 -3.67636362e-01 -2.39718545e-09  8.98989355e-01  1.36813229e-03 
 1.64000000e-08 -3.67636362e-01 -2.39718490e-09  8.98989355e-01  1.36813229e-03 
 2.14000000e-08 -3.67636362e-01 -2.39718434e-09  8.98989355e-01  1.36813229e-03 
 2.64000000e-08 -3.67636362e-01 -2.39718367e-09  8.98989355e-01  1.36813229e-03 
 3.14000000e-08 -3.67636362e-01 -2.39718290e-09  8.98989355e-01  1.36813229e-03 
 3.64000000e-08 -3.67636362e-01 -2.39718234e-09  8.98989355e-01  1.36813229e-03 
 4.14000000e-08 -3.67636362e-01 -2.39718168e-09  8.98989355e-01  1.36813229e-03 
 4.64000000e-08 -3.67636362e-01 -2.39718079e-09  8.98989355e-01  1.36813229e-03 
 5.14000000e-08 -3.67636362e-01 -2.39717990e-09  8.98989355e-01  1.36813229e-03 
 5.64000000e-08 -3.67636362e-01 -2.39717912e-09  8.98989355e-01  1.36813229e-03 
 6.14000000e-08 -3.67636362e-01 -2.39717857e-09  8.98989355e-01  1.36813229e-03 
 6.64000000e-08 -3.67636362e-01 -2.39717812e-09  8.98989355e-01  1.36813229e-03 
 7.14000000e-08 -3.67636362e-01 -2.39717746e-09  8.98989355e-01  1.36813229e-03 
 7.64000000e-08 -3.67636362e-01 -2.39717668e-09  8.98989355e-01  1.36813229e-03 
 8.14000000e-08 -3.67636362e-01 -2.39717590e-09  8.98989355e-01  1.36813229e-03 
 8.64000000e-08 -3.67636362e-01 -2.39717501e-09  8.98989355e-01  1.36813229e-03 
 9.14000000e-08 -3.67636362e-01 -2.39717413e-09  8.98989355e-01  1.36813229e-03 
 9.64000000e-08 -3.67636362e-01 -2.39717357e-09  8.98989355e-01  1.36813229e-03 
 1.01400000e-07 -3.67636362e-01 -2.39717324e-09  8.98989355e-01  1.36813229e-03 
 1.06400000e-07 -3.67636362e-01 -2.39717279e-09  8.98989355e-01  1.36813229e-03 
 1.11400000e-07 -3.67636362e-01 -2.39717235e-09  8.98989355e-01  1.36813229e-03 
 1.16400000e-07 -3.67636362e-01 -2.39717179e-09  8.98989355e-01  1.36813229e-03 
 1.21400000e-07 -3.67636362e-01 -2.39717113e-09  8.98989355e-01  1.36813229e-03 
 1.26400000e-07 -3.67636362e-01 -2.39717046e-09  8.98989355e-01  1.36813229e-03 
 1.31400000e-07 -3.67636362e-01 -2.39716968e-09  8.98989355e-01  1.36813229e-03 
 1.36400000e-07 -3.67636362e-01 -2.39716902e-09  8.98989355e-01  1.36813229e-03 
 1.41400000e-07 -3.67636362e-01 -2.39716835e-09  8.98989355e-01  1.36813229e-03 
 1.46400000e-07 -3.67636362e-01 -2.39716780e-09  8.98989355e-01  1.36813229e-03 
 1.51400000e-07 -3.67636362e-01 -2.39716746e-09  8.98989355e-01  1.36813229e-03 
 1.56400000e-07 -3.67636362e-01 -2.39716702e-09  8.98989355e-01  1.36813229e-03 
 1.61400000e-07 -3.67636362e-01 -2.39716635e-09  8.98989355e-01  1.36813229e-03 
 1.66400000e-07 -3.67636362e-01 -2.39716558e-09  8.98989355e-01  1.36813229e-03 
 1.71400000e-07 -3.67636362e-01 -2.39716502e-09  8.98989355e-01  1.36813229e-03 
 1.76400000e-07 -3.67636362e-01 -2.39716458e-09  8.98989355e-01  1.36813229e-03 
 1.81400000e-07 -3.67636362e-01 -2.39716391e-09  8.98989355e-01  1.36813229e-03 
 1.86400000e-07 -3.67636362e-01 -2.39716325e-09  8.98989355e-01  1.36813229e-03 
 1.91400000e-07 -3.67636362e-01 -2.39716269e-09  8.98989355e-01  1.36813229e-03 
 1.96400000e-07 -3.67636362e-01 -2.39716191e-09  8.98989355e-01  1.36813229e-03 
 2.01400000e-07 -3.67636362e-01 -2.39716114e-09  8.98989355e-01  1.36813229e-03 
 2.06400000e-07 -3.67636362e-01 -2.39716058e-09  8.98989355e-01  1.36813229e-03 
 2.11400000e-07 -3.67636362e-01 -2.39715992e-09  8.98989355e-01  1.36813229e-03 
 2.16400000e-07 -3.67636362e-01 -2.39715914e-09  8.98989355e-01  1.36813229e-03 
 2.21400000e-07 -3.67636362e-01 -2.39715858e-09  8.98989355e-01  1.36813229e-03 
 2.26400000e-07 -3.67636362e-01 -2.39715803e-09  8.98989355e-01  1.36813229e-03 
 2.31400000e-07 -3.67636362e-01 -2.39715725e-09  8.98989355e-01  1.36813229e-03 
 2.36400000e-07 -3.67636362e-01 -2.39715658e-09  8.98989355e-01  1.36813229e-03 
 2.41400000e-07 -3.67636362e-01 -2.39715581e-09  8.98989355e-01  1.36813229e-03 
 2.46400000e-07 -3.67636362e-01 -2.39715492e-09  8.98989355e-01  1.36813229e-03 
 2.51400000e-07 -3.67636362e-01 -2.39715414e-09  8.98989355e-01  1.36813229e-03 
 2.56400000e-07 -3.67636362e-01 -2.39715336e-09  8.98989355e-01  1.36813229e-03 
 2.61400000e-07 -3.67636362e-01 -2.39715248e-09  8.98989355e-01  1.36813229e-03 
 2.66400000e-07 -3.67636362e-01 -2.39715159e-09  8.98989355e-01  1.36813229e-03 
 2.71400000e-07 -3.67636362e-01 -2.39715103e-09  8.98989355e-01  1.36813229e-03 
 2.76400000e-07 -3.67636362e-01 -2.39715048e-09  8.98989355e-01  1.36813229e-03 
 2.81400000e-07 -3.67636362e-01 -2.39714970e-09  8.98989355e-01  1.36813229e-03 
 2.86400000e-07 -3.67636362e-01 -2.39714903e-09  8.98989355e-01  1.36813229e-03 
 2.91400000e-07 -3.67636362e-01 -2.39714837e-09  8.98989355e-01  1.36813229e-03 
 2.96400000e-07 -3.67636362e-01 -2.39714748e-09  8.98989355e-01  1.36813229e-03 
 3.01400000e-07 -3.67636362e-01 -2.39714659e-09  8.98989355e-01  1.36813229e-03 
 3.06400000e-07 -3.67636362e-01 -2.39714604e-09  8.98989355e-01  1.36813229e-03 
 3.11400000e-07 -3.67636362e-01 -2.39714548e-09  8.98989355e-01  1.36813229e-03 
 3.16400000e-07 -3.67636362e-01 -2.39714470e-09  8.98989355e-01  1.36813229e-03 
 3.21400000e-07 -3.67636362e-01 -2.39714393e-09  8.98989355e-01  1.36813229e-03 
 3.26400000e-07 -3.67636362e-01 -2.39714326e-09  8.98989355e-01  1.36813229e-03 
 3.31400000e-07 -3.67636362e-01 -2.39714282e-09  8.98989355e-01  1.36813229e-03 
 3.36400000e-07 -3.67636362e-01 -2.39714215e-09  8.98989355e-01  1.36813229e-03 
 3.41400000e-07 -3.67636362e-01 -2.39714137e-09  8.98989355e-01  1.36813229e-03 
 3.46400000e-07 -3.67636362e-01 -2.39714082e-09  8.98989355e-01  1.36813229e-03 
 3.51400000e-07 -3.67636362e-01 -2.39714015e-09  8.98989355e-01  1.36813229e-03 
 3.56400000e-07 -3.67636362e-01 -2.39713949e-09  8.98989355e-01  1.36813229e-03 
 3.61400000e-07 -3.67636362e-01 -2.39713882e-09  8.98989355e-01  1.36813229e-03 
 3.66400000e-07 -3.67636362e-01 -2.39713815e-09  8.98989355e-01  1.36813229e-03 
 3.71400000e-07 -3.67636362e-01 -2.39713760e-09  8.98989355e-01  1.36813229e-03 
 3.76400000e-07 -3.67636362e-01 -2.39713704e-09  8.98989355e-01  1.36813229e-03 
 3.81400000e-07 -3.67636362e-01 -2.39713671e-09  8.98989355e-01  1.36813229e-03 
 3.86400000e-07 -3.67636362e-01 -2.39713627e-09  8.98989355e-01  1.36813229e-03 
 3.91400000e-07 -3.67636362e-01 -2.39713560e-09  8.98989355e-01  1.36813229e-03 
 3.96400000e-07 -3.67636362e-01 -2.39713505e-09  8.98989355e-01  1.36813229e-03 
 4.01400000e-07 -3.67636362e-01 -2.39713438e-09  8.98989355e-01  1.36813229e-03 
 4.06400000e-07 -3.67636362e-01 -2.39713371e-09  8.98989355e-01  1.36813229e-03 
 4.11400000e-07 -3.67636362e-01 -2.39713305e-09  8.98989355e-01  1.36813229e-03 
 4.16400000e-07 -3.67636362e-01 -2.39713249e-09  8.98989355e-01  1.36813229e-03 
 4.21400000e-07 -3.67636362e-01 -2.39713205e-09  8.98989355e-01  1.36813229e-03 
 4.26400000e-07 -3.67636362e-01 -2.39713138e-09  8.98989355e-01  1.36813229e-03 
 4.31400000e-07 -3.67636362e-01 -2.39713061e-09  8.98989355e-01  1.36813229e-03 
 4.36400000e-07 -3.67636362e-01 -2.39712983e-09  8.98989355e-01  1.36813229e-03 
 4.41400000e-07 -3.67636362e-01 -2.39712927e-09  8.98989355e-01  1.36813229e-03 
 4.46400000e-07 -3.67636362e-01 -2.39712883e-09  8.98989355e-01  1.36813229e-03 
 4.51400000e-07 -3.67636362e-01 -2.39712838e-09  8.98989355e-01  1.36813229e-03 
 4.56400000e-07 -3.67636362e-01 -2.39712783e-09  8.98989355e-01  1.36813229e-03 
 4.61400000e-07 -3.67636362e-01 -2.39712716e-09  8.98989355e-01  1.36813229e-03 
 4.66400000e-07 -3.67636362e-01 -2.39712661e-09  8.98989355e-01  1.36813229e-03 
 4.71400000e-07 -3.67636362e-01 -2.39712594e-09  8.98989355e-01  1.36813229e-03 
 4.76400000e-07 -3.67636362e-01 -2.39712505e-09  8.98989355e-01  1.36813229e-03 
 4.81400000e-07 -3.67636362e-01 -2.39712417e-09  8.98989355e-01  1.36813229e-03 
 4.86400000e-07 -3.67636362e-01 -2.39712339e-09  8.98989355e-01  1.36813229e-03 
 4.91400000e-07 -3.67636362e-01 -2.39712283e-09  8.98989355e-01  1.36813229e-03 
 4.96400000e-07 -3.67636362e-01 -2.39712217e-09  8.98989355e-01  1.36813229e-03 
 5.01400000e-07 -3.67636362e-01 -2.39712139e-09  8.98989355e-01  1.36813229e-03 
 5.06400000e-07 -3.67636362e-01 -2.39712050e-09  8.98989355e-01  1.36813229e-03 
 5.11400000e-07 -3.67636362e-01 -2.39711961e-09  8.98989355e-01  1.36813229e-03 
 5.16400000e-07 -3.67636362e-01 -2.39711895e-09  8.98989355e-01  1.36813229e-03 
 5.21400000e-07 -3.67636362e-01 -2.39711828e-09  8.98989355e-01  1.36813229e-03 
 5.26400000e-07 -3.67636362e-01 -2.39711762e-09  8.98989355e-01  1.36813229e-03 
 5.31400000e-07 -3.67636362e-01 -2.39711684e-09  8.98989355e-01  1.36813229e-03 
 5.36400000e-07 -3.67636362e-01 -2.39711595e-09  8.98989355e-01  1.36813229e-03 
 5.41400000e-07 -3.67636362e-01 -2.39711517e-09  8.98989355e-01  1.36813229e-03 
 5.46400000e-07 -3.67636362e-01 -2.39711440e-09  8.98989355e-01  1.36813229e-03 
 5.51400000e-07 -3.67636362e-01 -2.39711351e-09  8.98989355e-01  1.36813229e-03 
 5.56400000e-07 -3.67636362e-01 -2.39711284e-09  8.98989355e-01  1.36813229e-03 
 5.61400000e-07 -3.67636362e-01 -2.39711218e-09  8.98989355e-01  1.36813229e-03 
 5.66400000e-07 -3.67636362e-01 -2.39711140e-09  8.98989355e-01  1.36813229e-03 
 5.71400000e-07 -3.67636362e-01 -2.39711062e-09  8.98989355e-01  1.36813229e-03 
 5.76400000e-07 -3.67636362e-01 -2.39710984e-09  8.98989355e-01  1.36813229e-03 
 5.81400000e-07 -3.67636362e-01 -2.39710929e-09  8.98989355e-01  1.36813229e-03 
 5.86400000e-07 -3.67636362e-01 -2.39710884e-09  8.98989355e-01  1.36813229e-03 
 5.91400000e-07 -3.67636362e-01 -2.39710818e-09  8.98989355e-01  1.36813229e-03 
 5.96400000e-07 -3.67636362e-01 -2.39710751e-09  8.98989355e-01  1.36813229e-03 
 6.01400000e-07 -3.67636362e-01 -2.39710685e-09  8.98989355e-01  1.36813229e-03 
 6.06400000e-07 -3.67636362e-01 -2.39710607e-09  8.98989355e-01  1.36813229e-03 
 6.11400000e-07 -3.67636362e-01 -2.39710518e-09  8.98989355e-01  1.36813229e-03 
 6.16400000e-07 -3.67636362e-01 -2.39710429e-09  8.98989355e-01  1.36813229e-03 
 6.21400000e-07 -3.67636362e-01 -2.39710363e-09  8.98989355e-01  1.36813229e-03 
 6.26400000e-07 -3.67636362e-01 -2.39710307e-09  8.98989355e-01  1.36813229e-03 
 6.31400000e-07 -3.67636362e-01 -2.39710241e-09  8.98989355e-01  1.36813229e-03 
 6.36400000e-07 -3.67636362e-01 -2.39710174e-09  8.98989355e-01  1.36813229e-03 
 6.41400000e-07 -3.67636362e-01 -2.39710130e-09  8.98989355e-01  1.36813229e-03 
 6.46400000e-07 -3.67636362e-01 -2.39710063e-09  8.98989355e-01  1.36813229e-03 
 6.51400000e-07 -3.67636362e-01 -2.39709985e-09  8.98989355e-01  1.36813229e-03 
 6.56400000e-07 -3.67636362e-01 -2.39709930e-09  8.98989355e-01  1.36813229e-03 
 6.61400000e-07 -3.67636362e-01 -2.39709863e-09  8.98989355e-01  1.36813229e-03 
 6.66400000e-07 -3.67636362e-01 -2.39709785e-09  8.98989355e-01  1.36813229e-03 
 6.71400000e-07 -3.67636362e-01 -2.39709708e-09  8.98989355e-01  1.36813229e-03 
 6.76400000e-07 -3.67636362e-01 -2.39709652e-09  8.98989355e-01  1.36813229e-03 
 6.81400000e-07 -3.67636362e-01 -2.39709608e-09  8.98989355e-01  1.36813229e-03 
 6.86400000e-07 -3.67636362e-01 -2.39709552e-09  8.98989355e-01  1.36813229e-03 
 6.91400000e-07 -3.67636362e-01 -2.39709486e-09  8.98989355e-01  1.36813229e-03 
 6.96400000e-07 -3.67636362e-01 -2.39709408e-09  8.98989355e-01  1.36813229e-03 
 7.01400000e-07 -3.67636362e-01 -2.39709352e-09  8.98989355e-01  1.36813229e-03 
 7.06400000e-07 -3.67636362e-01 -2.39709297e-09  8.98989355e-01  1.36813229e-03 
 7.11400000e-07 -3.67636362e-01 -2.39709230e-09  8.98989355e-01  1.36813229e-03 
 7.16400000e-07 -3.67636362e-01 -2.39709164e-09  8.98989355e-01  1.36813229e-03 
 7.21400000e-07 -3.67636362e-01 -2.39709086e-09  8.98989355e-01  1.36813229e-03 
 7.26400000e-07 -3.67636362e-01 -2.39709008e-09  8.98989355e-01  1.36813229e-03 
 7.31400000e-07 -3.67636362e-01 -2.39708930e-09  8.98989355e-01  1.36813229e-03 
 7.36400000e-07 -3.67636362e-01 -2.39708842e-09  8.98989355e-01  1.36813229e-03 
 7.41400000e-07 -3.67636362e-01 -2.39708764e-09  8.98989355e-01  1.36813229e-03 
 7.46400000e-07 -3.67636362e-01 -2.39708686e-09  8.98989355e-01  1.36813229e-03 
 7.51400000e-07 -3.67636362e-01 -2.39708609e-09  8.98989355e-01  1.36813229e-03 
 7.56400000e-07 -3.67636362e-01 -2.39708553e-09  8.98989355e-01  1.36813229e-03 
 7.61400000e-07 -3.67636362e-01 -2.39708486e-09  8.98989355e-01  1.36813229e-03 
 7.66400000e-07 -3.67636362e-01 -2.39708398e-09  8.98989355e-01  1.36813229e-03 
 7.71400000e-07 -3.67636362e-01 -2.39708309e-09  8.98989355e-01  1.36813229e-03 
 7.76400000e-07 -3.67636362e-01 -2.39708231e-09  8.98989355e-01  1.36813229e-03 
 7.81400000e-07 -3.67636362e-01 -2.39708176e-09  8.98989355e-01  1.36813229e-03 
 7.86400000e-07 -3.67636362e-01 -2.39708131e-09  8.98989355e-01  1.36813229e-03 
 7.91400000e-07 -3.67636362e-01 -2.39708065e-09  8.98989355e-01  1.36813229e-03 
 7.96400000e-07 -3.67636362e-01 -2.39707987e-09  8.98989355e-01  1.36813229e-03 
 8.01400000e-07 -3.67636362e-01 -2.39707909e-09  8.98989355e-01  1.36813229e-03 
 8.06400000e-07 -3.67636362e-01 -2.39707820e-09  8.98989355e-01  1.36813229e-03 
 8.11400000e-07 -3.67636362e-01 -2.39707731e-09  8.98989355e-01  1.36813229e-03 
 8.16400000e-07 -3.67636362e-01 -2.39707654e-09  8.98989355e-01  1.36813229e-03 
 8.21400000e-07 -3.67636362e-01 -2.39707565e-09  8.98989355e-01  1.36813229e-03 
 8.26400000e-07 -3.67636362e-01 -2.39707487e-09  8.98989355e-01  1.36813229e-03 
 8.31400000e-07 -3.67636362e-01 -2.39707432e-09  8.98989355e-01  1.36813229e-03 
