 time            d0              h0              c0              p0             
 0.00000000e+00 -3.55594687e-01 -1.56541446e-14  8.08021148e-01  9.07857147e-04 
 5.00000000e-11 -3.55594687e-01 -1.55431223e-14  8.08021148e-01  9.07857147e-04 
 1.00000000e-10 -3.55594687e-01 -1.55431223e-14  8.08021148e-01  9.07857147e-04 
 2.00000000e-10 -3.55594687e-01 -1.55431223e-14  8.08021148e-01  9.07857147e-04 
 4.00000000e-10 -3.55594687e-01 -1.53210777e-14  8.08021148e-01  9.07857147e-04 
 8.00000000e-10 -3.55594687e-01 -1.47659662e-14  8.08021148e-01  9.07857147e-04 
 1.60000000e-09 -3.55594687e-01 -1.46549439e-14  8.08021148e-01  9.07857147e-04 
 3.20000000e-09 -3.55594687e-01 -1.52100554e-14  8.08021148e-01  9.07857147e-04 
 6.40000000e-09 -3.55594687e-01 -1.52100554e-14  8.08021148e-01  9.07857147e-04 
 1.14000000e-08 -3.55594687e-01 -1.48769885e-14  8.08021148e-01  9.07857147e-04 
 1.64000000e-08 -3.55594687e-01 -1.62092562e-14  8.08021148e-01  9.07857147e-04 
 2.14000000e-08 -3.55594687e-01 -1.74305015e-14  8.08021148e-01  9.07857147e-04 
 2.64000000e-08 -3.55594687e-01 -1.85407245e-14  8.08021148e-01  9.07857147e-04 
 3.14000000e-08 -3.55594687e-01 -1.96509475e-14  8.08021148e-01  9.07857147e-04 
 3.64000000e-08 -3.55594687e-01 -2.07611706e-14  8.08021148e-01  9.07857147e-04 
 4.14000000e-08 -3.55594687e-01 -2.17603713e-14  8.08021148e-01  9.07857147e-04 
 4.64000000e-08 -3.55594687e-01 -2.27595720e-14  8.08021148e-01  9.07857147e-04 
 5.14000000e-08 -3.55594687e-01 -2.39808173e-14  8.08021148e-01  9.07857147e-04 
 5.64000000e-08 -3.55594687e-01 -2.53130850e-14  8.08021148e-01  9.07857147e-04 
 6.14000000e-08 -3.55594687e-01 -2.65343303e-14  8.08021148e-01  9.07857147e-04 
 6.64000000e-08 -3.55594687e-01 -2.75335310e-14  8.08021148e-01  9.07857147e-04 
 7.14000000e-08 -3.55594687e-01 -2.84217094e-14  8.08021148e-01  9.07857147e-04 
 7.64000000e-08 -3.55594687e-01 -2.95319325e-14  8.08021148e-01  9.07857147e-04 
 8.14000000e-08 -3.55594687e-01 -3.06421555e-14  8.08021148e-01  9.07857147e-04 
 8.64000000e-08 -3.55594687e-01 -3.17523785e-14  8.08021148e-01  9.07857147e-04 
 9.14000000e-08 -3.55594687e-01 -3.27515792e-14  8.08021148e-01  9.07857147e-04 
 9.64000000e-08 -3.55594687e-01 -3.38618023e-14  8.08021148e-01  9.07857147e-04 
 1.01400000e-07 -3.55594687e-01 -3.50830476e-14  8.08021148e-01  9.07857147e-04 
 1.06400000e-07 -3.55594687e-01 -3.61932706e-14  8.08021148e-01  9.07857147e-04 
 1.11400000e-07 -3.55594687e-01 -3.74145159e-14  8.08021148e-01  9.07857147e-04 
 1.16400000e-07 -3.55594687e-01 -3.85247390e-14  8.08021148e-01  9.07857147e-04 
 1.21400000e-07 -3.55594687e-01 -3.97459843e-14  8.08021148e-01  9.07857147e-04 
 1.26400000e-07 -3.55594687e-01 -4.09672296e-14  8.08021148e-01  9.07857147e-04 
 1.31400000e-07 -3.55594687e-01 -4.21884749e-14  8.08021148e-01  9.07857147e-04 
 1.36400000e-07 -3.55594687e-01 -4.35207426e-14  8.08021148e-01  9.07857147e-04 
 1.41400000e-07 -3.55594687e-01 -4.45199433e-14  8.08021148e-01  9.07857147e-04 
 1.46400000e-07 -3.55594687e-01 -4.55191440e-14  8.08021148e-01  9.07857147e-04 
 1.51400000e-07 -3.55594687e-01 -4.66293670e-14  8.08021148e-01  9.07857147e-04 
 1.56400000e-07 -3.55594687e-01 -4.77395901e-14  8.08021148e-01  9.07857147e-04 
 1.61400000e-07 -3.55594687e-01 -4.89608354e-14  8.08021148e-01  9.07857147e-04 
 1.66400000e-07 -3.55594687e-01 -5.01820807e-14  8.08021148e-01  9.07857147e-04 
 1.71400000e-07 -3.55594687e-01 -5.15143483e-14  8.08021148e-01  9.07857147e-04 
 1.76400000e-07 -3.55594687e-01 -5.29576383e-14  8.08021148e-01  9.07857147e-04 
 1.81400000e-07 -3.55594687e-01 -5.41788836e-14  8.08021148e-01  9.07857147e-04 
 1.86400000e-07 -3.55594687e-01 -5.52891066e-14  8.08021148e-01  9.07857147e-04 
 1.91400000e-07 -3.55594687e-01 -5.63993297e-14  8.08021148e-01  9.07857147e-04 
 1.96400000e-07 -3.55594687e-01 -5.76205750e-14  8.08021148e-01  9.07857147e-04 
 2.01400000e-07 -3.55594687e-01 -5.88418203e-14  8.08021148e-01  9.07857147e-04 
 2.06400000e-07 -3.55594687e-01 -5.99520433e-14  8.08021148e-01  9.07857147e-04 
 2.11400000e-07 -3.55594687e-01 -6.13953333e-14  8.08021148e-01  9.07857147e-04 
 2.16400000e-07 -3.55594687e-01 -6.28386232e-14  8.08021148e-01  9.07857147e-04 
 2.21400000e-07 -3.55594687e-01 -6.40598685e-14  8.08021148e-01  9.07857147e-04 
 2.26400000e-07 -3.55594687e-01 -6.52811138e-14  8.08021148e-01  9.07857147e-04 
 2.31400000e-07 -3.55594687e-01 -6.65023592e-14  8.08021148e-01  9.07857147e-04 
 2.36400000e-07 -3.55594687e-01 -6.78346268e-14  8.08021148e-01  9.07857147e-04 
 2.41400000e-07 -3.55594687e-01 -6.90558721e-14  8.08021148e-01  9.07857147e-04 
 2.46400000e-07 -3.55594687e-01 -7.02771175e-14  8.08021148e-01  9.07857147e-04 
 2.51400000e-07 -3.55594687e-01 -7.14983628e-14  8.08021148e-01  9.07857147e-04 
 2.56400000e-07 -3.55594687e-01 -7.26085858e-14  8.08021148e-01  9.07857147e-04 
 2.61400000e-07 -3.55594687e-01 -7.38298311e-14  8.08021148e-01  9.07857147e-04 
 2.66400000e-07 -3.55594687e-01 -7.50510765e-14  8.08021148e-01  9.07857147e-04 
 2.71400000e-07 -3.55594687e-01 -7.61612995e-14  8.08021148e-01  9.07857147e-04 
 2.76400000e-07 -3.55594687e-01 -7.71605002e-14  8.08021148e-01  9.07857147e-04 
 2.81400000e-07 -3.55594687e-01 -7.82707232e-14  8.08021148e-01  9.07857147e-04 
 2.86400000e-07 -3.55594687e-01 -7.94919686e-14  8.08021148e-01  9.07857147e-04 
 2.91400000e-07 -3.55594687e-01 -8.07132139e-14  8.08021148e-01  9.07857147e-04 
 2.96400000e-07 -3.55594687e-01 -8.19344592e-14  8.08021148e-01  9.07857147e-04 
 3.01400000e-07 -3.55594687e-01 -8.29336599e-14  8.08021148e-01  9.07857147e-04 
 3.06400000e-07 -3.55594687e-01 -8.39328607e-14  8.08021148e-01  9.07857147e-04 
 3.11400000e-07 -3.55594687e-01 -8.51541060e-14  8.08021148e-01  9.07857147e-04 
 3.16400000e-07 -3.55594687e-01 -8.63753513e-14  8.08021148e-01  9.07857147e-04 
 3.21400000e-07 -3.55594687e-01 -8.73745520e-14  8.08021148e-01  9.07857147e-04 
 3.26400000e-07 -3.55594687e-01 -8.83737528e-14  8.08021148e-01  9.07857147e-04 
 3.31400000e-07 -3.55594687e-01 -8.94839758e-14  8.08021148e-01  9.07857147e-04 
 3.36400000e-07 -3.55594687e-01 -9.07052211e-14  8.08021148e-01  9.07857147e-04 
 3.41400000e-07 -3.55594687e-01 -9.21485110e-14  8.08021148e-01  9.07857147e-04 
 3.46400000e-07 -3.55594687e-01 -9.35918010e-14  8.08021148e-01  9.07857147e-04 
 3.51400000e-07 -3.55594687e-01 -9.49240686e-14  8.08021148e-01  9.07857147e-04 
 3.56400000e-07 -3.55594687e-01 -9.61453139e-14  8.08021148e-01  9.07857147e-04 
 3.61400000e-07 -3.55594687e-01 -9.73665593e-14  8.08021148e-01  9.07857147e-04 
 3.66400000e-07 -3.55594687e-01 -9.83657600e-14  8.08021148e-01  9.07857147e-04 
 3.71400000e-07 -3.55594687e-01 -9.91429161e-14  8.08021148e-01  9.07857147e-04 
 3.76400000e-07 -3.55594687e-01 -1.00253139e-13  8.08021148e-01  9.07857147e-04 
 3.81400000e-07 -3.55594687e-01 -1.01585407e-13  8.08021148e-01  9.07857147e-04 
 3.86400000e-07 -3.55594687e-01 -1.02917674e-13  8.08021148e-01  9.07857147e-04 
 3.91400000e-07 -3.55594687e-01 -1.04138920e-13  8.08021148e-01  9.07857147e-04 
 3.96400000e-07 -3.55594687e-01 -1.05360165e-13  8.08021148e-01  9.07857147e-04 
 4.01400000e-07 -3.55594687e-01 -1.06581410e-13  8.08021148e-01  9.07857147e-04 
 4.06400000e-07 -3.55594687e-01 -1.07802656e-13  8.08021148e-01  9.07857147e-04 
 4.11400000e-07 -3.55594687e-01 -1.09134923e-13  8.08021148e-01  9.07857147e-04 
 4.16400000e-07 -3.55594687e-01 -1.10134124e-13  8.08021148e-01  9.07857147e-04 
 4.21400000e-07 -3.55594687e-01 -1.11133325e-13  8.08021148e-01  9.07857147e-04 
 4.26400000e-07 -3.55594687e-01 -1.12243548e-13  8.08021148e-01  9.07857147e-04 
 4.31400000e-07 -3.55594687e-01 -1.13353771e-13  8.08021148e-01  9.07857147e-04 
 4.36400000e-07 -3.55594687e-01 -1.14575016e-13  8.08021148e-01  9.07857147e-04 
 4.41400000e-07 -3.55594687e-01 -1.15574217e-13  8.08021148e-01  9.07857147e-04 
 4.46400000e-07 -3.55594687e-01 -1.16573418e-13  8.08021148e-01  9.07857147e-04 
 4.51400000e-07 -3.55594687e-01 -1.17794663e-13  8.08021148e-01  9.07857147e-04 
 4.56400000e-07 -3.55594687e-01 -1.18793864e-13  8.08021148e-01  9.07857147e-04 
 4.61400000e-07 -3.55594687e-01 -1.19793064e-13  8.08021148e-01  9.07857147e-04 
 4.66400000e-07 -3.55594687e-01 -1.21014310e-13  8.08021148e-01  9.07857147e-04 
 4.71400000e-07 -3.55594687e-01 -1.22235555e-13  8.08021148e-01  9.07857147e-04 
 4.76400000e-07 -3.55594687e-01 -1.23456800e-13  8.08021148e-01  9.07857147e-04 
 4.81400000e-07 -3.55594687e-01 -1.24567023e-13  8.08021148e-01  9.07857147e-04 
 4.86400000e-07 -3.55594687e-01 -1.25788269e-13  8.08021148e-01  9.07857147e-04 
 4.91400000e-07 -3.55594687e-01 -1.27009514e-13  8.08021148e-01  9.07857147e-04 
 4.96400000e-07 -3.55594687e-01 -1.28008715e-13  8.08021148e-01  9.07857147e-04 
 5.01400000e-07 -3.55594687e-01 -1.29118938e-13  8.08021148e-01  9.07857147e-04 
 5.06400000e-07 -3.55594687e-01 -1.30229161e-13  8.08021148e-01  9.07857147e-04 
 5.11400000e-07 -3.55594687e-01 -1.31228362e-13  8.08021148e-01  9.07857147e-04 
 5.16400000e-07 -3.55594687e-01 -1.32227562e-13  8.08021148e-01  9.07857147e-04 
 5.21400000e-07 -3.55594687e-01 -1.33337785e-13  8.08021148e-01  9.07857147e-04 
 5.26400000e-07 -3.55594687e-01 -1.34781075e-13  8.08021148e-01  9.07857147e-04 
 5.31400000e-07 -3.55594687e-01 -1.36224365e-13  8.08021148e-01  9.07857147e-04 
 5.36400000e-07 -3.55594687e-01 -1.37556633e-13  8.08021148e-01  9.07857147e-04 
 5.41400000e-07 -3.55594687e-01 -1.38777878e-13  8.08021148e-01  9.07857147e-04 
 5.46400000e-07 -3.55594687e-01 -1.39777079e-13  8.08021148e-01  9.07857147e-04 
 5.51400000e-07 -3.55594687e-01 -1.40776280e-13  8.08021148e-01  9.07857147e-04 
 5.56400000e-07 -3.55594687e-01 -1.41664458e-13  8.08021148e-01  9.07857147e-04 
 5.61400000e-07 -3.55594687e-01 -1.42663659e-13  8.08021148e-01  9.07857147e-04 
 5.66400000e-07 -3.55594687e-01 -1.43884904e-13  8.08021148e-01  9.07857147e-04 
 5.71400000e-07 -3.55594687e-01 -1.45106149e-13  8.08021148e-01  9.07857147e-04 
 5.76400000e-07 -3.55594687e-01 -1.46327395e-13  8.08021148e-01  9.07857147e-04 
 5.81400000e-07 -3.55594687e-01 -1.47548640e-13  8.08021148e-01  9.07857147e-04 
 5.86400000e-07 -3.55594687e-01 -1.48547841e-13  8.08021148e-01  9.07857147e-04 
 5.91400000e-07 -3.55594687e-01 -1.49547041e-13  8.08021148e-01  9.07857147e-04 
 5.96400000e-07 -3.55594687e-01 -1.50546242e-13  8.08021148e-01  9.07857147e-04 
 6.01400000e-07 -3.55594687e-01 -1.51545443e-13  8.08021148e-01  9.07857147e-04 
 6.06400000e-07 -3.55594687e-01 -1.52655666e-13  8.08021148e-01  9.07857147e-04 
 6.11400000e-07 -3.55594687e-01 -1.53876911e-13  8.08021148e-01  9.07857147e-04 
 6.16400000e-07 -3.55594687e-01 -1.55098157e-13  8.08021148e-01  9.07857147e-04 
 6.21400000e-07 -3.55594687e-01 -1.55986335e-13  8.08021148e-01  9.07857147e-04 
 6.26400000e-07 -3.55594687e-01 -1.56874513e-13  8.08021148e-01  9.07857147e-04 
 6.31400000e-07 -3.55594687e-01 -1.57984736e-13  8.08021148e-01  9.07857147e-04 
 6.36400000e-07 -3.55594687e-01 -1.59205982e-13  8.08021148e-01  9.07857147e-04 
 6.41400000e-07 -3.55594687e-01 -1.60538249e-13  8.08021148e-01  9.07857147e-04 
 6.46400000e-07 -3.55594687e-01 -1.61870517e-13  8.08021148e-01  9.07857147e-04 
 6.51400000e-07 -3.55594687e-01 -1.63313807e-13  8.08021148e-01  9.07857147e-04 
 6.56400000e-07 -3.55594687e-01 -1.64757097e-13  8.08021148e-01  9.07857147e-04 
 6.61400000e-07 -3.55594687e-01 -1.66200387e-13  8.08021148e-01  9.07857147e-04 
 6.66400000e-07 -3.55594687e-01 -1.67643677e-13  8.08021148e-01  9.07857147e-04 
 6.71400000e-07 -3.55594687e-01 -1.69086967e-13  8.08021148e-01  9.07857147e-04 
 6.76400000e-07 -3.55594687e-01 -1.70530257e-13  8.08021148e-01  9.07857147e-04 
 6.81400000e-07 -3.55594687e-01 -1.71751502e-13  8.08021148e-01  9.07857147e-04 
 6.86400000e-07 -3.55594687e-01 -1.72861725e-13  8.08021148e-01  9.07857147e-04 
 6.91400000e-07 -3.55594687e-01 -1.74082970e-13  8.08021148e-01  9.07857147e-04 
 6.96400000e-07 -3.55594687e-01 -1.75415238e-13  8.08021148e-01  9.07857147e-04 
 7.01400000e-07 -3.55594687e-01 -1.76858528e-13  8.08021148e-01  9.07857147e-04 
 7.06400000e-07 -3.55594687e-01 -1.78301818e-13  8.08021148e-01  9.07857147e-04 
 7.11400000e-07 -3.55594687e-01 -1.79745108e-13  8.08021148e-01  9.07857147e-04 
 7.16400000e-07 -3.55594687e-01 -1.81188398e-13  8.08021148e-01  9.07857147e-04 
 7.21400000e-07 -3.55594687e-01 -1.82409643e-13  8.08021148e-01  9.07857147e-04 
 7.26400000e-07 -3.55594687e-01 -1.83741911e-13  8.08021148e-01  9.07857147e-04 
 7.31400000e-07 -3.55594687e-01 -1.84963156e-13  8.08021148e-01  9.07857147e-04 
 7.36400000e-07 -3.55594687e-01 -1.86184401e-13  8.08021148e-01  9.07857147e-04 
 7.41400000e-07 -3.55594687e-01 -1.87516669e-13  8.08021148e-01  9.07857147e-04 
