 frequency       onoise_spectrum inoise_spectrum
 1.23026877e+01  2.47105883e-06  7.73645556e-08 
 1.25892541e+01  2.44618915e-06  7.65859292e-08 
 1.28824955e+01  2.42157398e-06  7.58152710e-08 
 1.31825674e+01  2.39721069e-06  7.50524987e-08 
 1.34896288e+01  2.37309668e-06  7.42975309e-08 
 1.38038426e+01  2.34922937e-06  7.35502869e-08 
 1.41253754e+01  2.32560621e-06  7.28106870e-08 
 1.44543977e+01  2.30222469e-06  7.20786523e-08 
 1.47910839e+01  2.27908232e-06  7.13541047e-08 
 1.51356125e+01  2.25617661e-06  7.06369669e-08 
 1.54881662e+01  2.23350513e-06  6.99271624e-08 
 1.58489319e+01  2.21106547e-06  6.92246156e-08 
 1.62181010e+01  2.18885524e-06  6.85292517e-08 
 1.65958691e+01  2.16687206e-06  6.78409966e-08 
 1.69824365e+01  2.14511359e-06  6.71597770e-08 
 1.73780083e+01  2.12357753e-06  6.64855203e-08 
 1.77827941e+01  2.10226158e-06  6.58181549e-08 
 1.81970086e+01  2.08116347e-06  6.51576097e-08 
 1.86208714e+01  2.06028096e-06  6.45038145e-08 
 1.90546072e+01  2.03961182e-06  6.38566998e-08 
 1.94984460e+01  2.01915386e-06  6.32161968e-08 
 1.99526231e+01  1.99890491e-06  6.25822373e-08 
 2.04173794e+01  1.97886282e-06  6.19547542e-08 
 2.08929613e+01  1.95902545e-06  6.13336806e-08 
 2.13796209e+01  1.93939070e-06  6.07189508e-08 
 2.18776162e+01  1.91995649e-06  6.01104995e-08 
 2.23872114e+01  1.90072075e-06  5.95082621e-08 
 2.29086765e+01  1.88168145e-06  5.89121746e-08 
 2.34422882e+01  1.86283657e-06  5.83221740e-08 
 2.39883292e+01  1.84418410e-06  5.77381977e-08 
 2.45470892e+01  1.82572207e-06  5.71601838e-08 
 2.51188643e+01  1.80744853e-06  5.65880710e-08 
 2.57039578e+01  1.78936154e-06  5.60217987e-08 
 2.63026799e+01  1.77145918e-06  5.54613070e-08 
 2.69153480e+01  1.75373957e-06  5.49065366e-08 
 2.75422870e+01  1.73620081e-06  5.43574288e-08 
 2.81838293e+01  1.71884107e-06  5.38139254e-08 
 2.88403150e+01  1.70165850e-06  5.32759690e-08 
 2.95120923e+01  1.68465129e-06  5.27435027e-08 
 3.01995172e+01  1.66781763e-06  5.22164702e-08 
 3.09029543e+01  1.65115575e-06  5.16948159e-08 
 3.16227766e+01  1.63466390e-06  5.11784846e-08 
 3.23593657e+01  1.61834032e-06  5.06674218e-08 
 3.31131121e+01  1.60218330e-06  5.01615735e-08 
 3.38844156e+01  1.58619113e-06  4.96608864e-08 
 3.46736850e+01  1.57036212e-06  4.91653076e-08 
 3.54813389e+01  1.55469460e-06  4.86747848e-08 
 3.63078055e+01  1.53918692e-06  4.81892664e-08 
 3.71535229e+01  1.52383745e-06  4.77087010e-08 
 3.80189396e+01  1.50864456e-06  4.72330382e-08 
 3.89045145e+01  1.49360666e-06  4.67622277e-08 
 3.98107171e+01  1.47872217e-06  4.62962200e-08 
 4.07380278e+01  1.46398950e-06  4.58349660e-08 
 4.16869383e+01  1.44940713e-06  4.53784172e-08 
 4.26579519e+01  1.43497350e-06  4.49265254e-08 
 4.36515832e+01  1.42068710e-06  4.44792431e-08 
 4.46683592e+01  1.40654643e-06  4.40365234e-08 
 4.57088190e+01  1.39255001e-06  4.35983196e-08 
 4.67735141e+01  1.37869635e-06  4.31645856e-08 
 4.78630092e+01  1.36498400e-06  4.27352760e-08 
 4.89778819e+01  1.35141153e-06  4.23103455e-08 
 5.01187234e+01  1.33797751e-06  4.18897495e-08 
 5.12861384e+01  1.32468052e-06  4.14734440e-08 
 5.24807460e+01  1.31151917e-06  4.10613851e-08 
 5.37031796e+01  1.29849208e-06  4.06535296e-08 
 5.49540874e+01  1.28559789e-06  4.02498347e-08 
 5.62341325e+01  1.27283523e-06  3.98502582e-08 
 5.75439937e+01  1.26020278e-06  3.94547580e-08 
 5.88843655e+01  1.24769920e-06  3.90632927e-08 
 6.02559586e+01  1.23532319e-06  3.86758213e-08 
 6.16595002e+01  1.22307344e-06  3.82923032e-08 
 6.30957344e+01  1.21094869e-06  3.79126982e-08 
 6.45654229e+01  1.19894765e-06  3.75369666e-08 
 6.60693448e+01  1.18706907e-06  3.71650689e-08 
 6.76082975e+01  1.17531171e-06  3.67969664e-08 
 6.91830971e+01  1.16367434e-06  3.64326205e-08 
 7.07945784e+01  1.15215573e-06  3.60719930e-08 
 7.24435960e+01  1.14075469e-06  3.57150462e-08 
 7.41310241e+01  1.12947002e-06  3.53617429e-08 
 7.58577575e+01  1.11830055e-06  3.50120460e-08 
 7.76247117e+01  1.10724510e-06  3.46659191e-08 
 7.94328235e+01  1.09630252e-06  3.43233260e-08 
 8.12830516e+01  1.08547167e-06  3.39842309e-08 
 8.31763771e+01  1.07475141e-06  3.36485983e-08 
 8.51138038e+01  1.06414063e-06  3.33163933e-08 
 8.70963590e+01  1.05363823e-06  3.29875812e-08 
 8.91250938e+01  1.04324309e-06  3.26621277e-08 
 9.12010839e+01  1.03295415e-06  3.23399988e-08 
 9.33254301e+01  1.02277032e-06  3.20211609e-08 
 9.54992586e+01  1.01269055e-06  3.17055808e-08 
 9.77237221e+01  1.00271378e-06  3.13932255e-08 
 1.00000000e+02  9.92838980e-07  3.10840627e-08 
 1.02329299e+02  9.83065113e-07  3.07780599e-08 
 1.04712855e+02  9.73391165e-07  3.04751854e-08 
 1.07151931e+02  9.63816126e-07  3.01754076e-08 
 1.09647820e+02  9.54339002e-07  2.98786953e-08 
 1.12201845e+02  9.44958804e-07  2.95850177e-08 
 1.14815362e+02  9.35674558e-07  2.92943441e-08 
