 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 0.00000000e+00  3.21846909e-13  8.82864836e-12  6.02502561e-14  5.89459599e-01  3.90792963e-02  2.74312044e+01  1.46532960e+02 
 1.00000000e-02  4.23427488e-13  1.16146268e-11  7.92662957e-14  5.89459599e-01  3.90792986e-02  2.74300255e+01  1.46526675e+02 
 2.00000000e-02  5.57061657e-13  1.52794623e-11  1.04282812e-13  5.89459599e-01  3.90793016e-02  2.74286735e+01  1.46519469e+02 
 3.00000000e-02  7.32860294e-13  2.01002497e-11  1.37192575e-13  5.89459599e-01  3.90793055e-02  2.74271233e+01  1.46511206e+02 
 4.00000000e-02  9.64121802e-13  2.64413738e-11  1.80485058e-13  5.89459599e-01  3.90793107e-02  2.74253458e+01  1.46501733e+02 
 5.00000000e-02  1.26833602e-12  3.47819577e-11  2.37434376e-13  5.89459599e-01  3.90793176e-02  2.74232988e+01  1.46490825e+02 
 6.00000000e-02  1.66850387e-12  4.57519634e-11  3.12346318e-13  5.89459599e-01  3.90793266e-02  2.74209513e+01  1.46478318e+02 
 7.00000000e-02  2.19487195e-12  6.01795739e-11  4.10883062e-13  5.89459599e-01  3.90793384e-02  2.74182618e+01  1.46463993e+02 
 8.00000000e-02  2.88721182e-12  7.91534333e-11  5.40489849e-13  5.89459599e-01  3.90793540e-02  2.74151805e+01  1.46447585e+02 
 9.00000000e-02  3.79781470e-12  1.04104369e-10  7.10955582e-13  5.89459599e-01  3.90793745e-02  2.74116504e+01  1.46428795e+02 
 1.00000000e-01  4.99542536e-12  1.36912651e-10  9.35149221e-13  5.89459599e-01  3.90794014e-02  2.74076063e+01  1.46407277e+02 
 1.10000000e-01  6.57040838e-12  1.80048728e-10  1.22998688e-12  5.89459599e-01  3.90794368e-02  2.74029737e+01  1.46382641e+02 
 1.20000000e-01  8.64153125e-12  2.36757802e-10  1.61770153e-12  5.89459599e-01  3.90794834e-02  2.73976677e+01  1.46354440e+02 
 1.30000000e-01  1.13648672e-11  3.11301796e-10  2.12750949e-12  5.89459599e-01  3.90795446e-02  2.73915910e+01  1.46322166e+02 
 1.40000000e-01  1.49454765e-11  4.09276389e-10  2.79779691e-12  5.89459599e-01  3.90796251e-02  2.73846330e+01  1.46285239e+02 
 1.50000000e-01  1.96527264e-11  5.38026150e-10  3.67898729e-12  5.89459599e-01  3.90797309e-02  2.73766672e+01  1.46243003e+02 
 1.60000000e-01  2.58403749e-11  7.07187747e-10  4.83730042e-12  5.89459599e-01  3.90798700e-02  2.73675498e+01  1.46194713e+02 
 1.70000000e-01  3.39728845e-11  9.29400183e-10  6.35967707e-12  5.89459599e-01  3.90800529e-02  2.73571172e+01  1.46139524e+02 
 1.80000000e-01  4.46598787e-11  1.22123257e-09  8.36022704e-12  5.89459599e-01  3.90802931e-02  2.73451834e+01  1.46076484e+02 
 1.90000000e-01  5.87012285e-11  1.60439482e-09  1.09886657e-11  5.89459599e-01  3.90806088e-02  2.73315374e+01  1.46004517e+02 
 2.00000000e-01  7.71460037e-11  2.10731563e-09  1.44413429e-11  5.89459599e-01  3.90810235e-02  2.73159403e+01  1.45922415e+02 
 2.10000000e-01  1.01369480e-10  2.76719641e-09  1.89756479e-11  5.89459599e-01  3.90815680e-02  2.72981217e+01  1.45828824e+02 
 2.20000000e-01  1.33173634e-10  3.63268070e-09  2.49288021e-11  5.89459599e-01  3.90822830e-02  2.72777771e+01  1.45722232e+02 
 2.30000000e-01  1.74918131e-10  4.76731727e-09  3.27423475e-11  5.89459599e-01  3.90832214e-02  2.72545632e+01  1.45600961e+02 
 2.40000000e-01  2.29690838e-10  6.25404408e-09  4.29940083e-11  5.89459599e-01  3.90844526e-02  2.72280956e+01  1.45463155e+02 
 2.50000000e-01  3.01529447e-10  8.20098105e-09  5.64390824e-11  5.89459599e-01  3.90860673e-02  2.71979441e+01  1.45306775e+02 
 2.60000000e-01  3.95709056e-10  1.07488944e-08  7.40641066e-11  5.89459599e-01  3.90881839e-02  2.71636301e+01  1.45129603e+02 
 2.70000000e-01  5.19114589e-10  1.40807877e-08  9.71562887e-11  5.89459599e-01  3.90909572e-02  2.71246233e+01  1.44929246e+02 
 2.80000000e-01  6.80722079e-10  1.84341851e-08  1.27393113e-10  5.89459599e-01  3.90945884e-02  2.70803397e+01  1.44703153e+02 
