 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 1.80000000e+00  1.83564037e-18  5.52308780e-17  7.04655887e-20  1.02202814e+00  4.42819932e-02  3.00880710e+01  7.83799284e+02 
 1.79000000e+00  2.48003815e-18  7.46194797e-17  9.52023798e-20  1.02202814e+00  4.42819932e-02  3.00880370e+01  7.83798470e+02 
 1.78000000e+00  3.35064921e-18  1.00814325e-16  1.28622918e-19  1.02202814e+00  4.42819932e-02  3.00879975e+01  7.83797526e+02 
 1.77000000e+00  4.52688413e-18  1.36204670e-16  1.73775569e-19  1.02202814e+00  4.42819932e-02  3.00879515e+01  7.83796428e+02 
 1.76000000e+00  6.11602959e-18  1.84018475e-16  2.34778788e-19  1.02202814e+00  4.42819932e-02  3.00878981e+01  7.83795151e+02 
 1.75000000e+00  8.26303378e-18  2.48616806e-16  3.17196752e-19  1.02202814e+00  4.42819932e-02  3.00878361e+01  7.83793668e+02 
 1.74000000e+00  1.11637265e-17  3.35891566e-16  4.28546848e-19  1.02202814e+00  4.42819932e-02  3.00877639e+01  7.83791943e+02 
 1.73000000e+00  1.50826797e-17  4.53802840e-16  5.78985284e-19  1.02202814e+00  4.42819932e-02  3.00876800e+01  7.83789939e+02 
 1.72000000e+00  2.03773374e-17  6.13104820e-16  7.82233367e-19  1.02202814e+00  4.42819932e-02  3.00875826e+01  7.83787609e+02 
 1.71000000e+00  2.75306146e-17  8.28326520e-16  1.05682888e-18  1.02202814e+00  4.42819932e-02  3.00874692e+01  7.83784901e+02 
 1.70000000e+00  3.71949386e-17  1.11909667e-15  1.42781670e-18  1.02202814e+00  4.42819932e-02  3.00873375e+01  7.83781753e+02 
 1.69000000e+00  5.02517475e-17  1.51193360e-15  1.92903273e-18  1.02202814e+00  4.42819932e-02  3.00871845e+01  7.83778095e+02 
