 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 1.43000000e+00  3.56000379e-08  5.08016513e-07  5.87736127e-08  6.95307009e-01  4.37880255e-02  1.42701116e+01  8.64361555e+00 
 1.42000000e+00  4.10537093e-08  5.84533019e-07  6.76225694e-08  6.95307009e-01  4.38874431e-02  1.42382511e+01  8.64405220e+00 
 1.41000000e+00  4.73298035e-08  6.72790044e-07  7.78279174e-08  6.95307009e-01  4.40013138e-02  1.42149342e+01  8.64458496e+00 
 1.40000000e+00  5.45548666e-08  7.74664603e-07  8.96061009e-08  6.95307009e-01  4.41316984e-02  1.41997342e+01  8.64522164e+00 
 1.39000000e+00  6.28757665e-08  8.92353025e-07  1.03210272e-07  6.95307009e-01  4.42809408e-02  1.41923204e+01  8.64597104e+00 
 1.38000000e+00  7.24631726e-08  1.02843001e-06  1.18937053e-07  6.95307009e-01  4.44517041e-02  1.41924508e+01  8.64684288e+00 
 1.37000000e+00  8.35156825e-08  1.18591944e-06  1.37134634e-07  6.95307009e-01  4.46470097e-02  1.41999611e+01  8.64784780e+00 
 1.36000000e+00  9.62647256e-08  1.36837925e-06  1.58212475e-07  6.95307009e-01  4.48702789e-02  1.42147525e+01  8.64899718e+00 
 1.35000000e+00  1.10980397e-07  1.58000315e-06  1.82652926e-07  6.95307009e-01  4.51253795e-02  1.42367769e+01  8.65030302e+00 
 1.34000000e+00  1.27978406e-07  1.82574235e-06  2.11025111e-07  6.95307009e-01  4.54166739e-02  1.42660188e+01  8.65177767e+00 
 1.33000000e+00  1.47628355e-07  2.11145060e-06  2.44001481e-07  6.95307009e-01  4.57490702e-02  1.43024733e+01  8.65343354e+00 
 1.32000000e+00  1.70363603e-07  2.44405667e-06  2.82377451e-07  6.95307009e-01  4.61280750e-02  1.43461199e+01  8.65528270e+00 
 1.31000000e+00  1.96693004e-07  2.83176774e-06  3.27094572e-07  6.95307009e-01  4.65598462e-02  1.43968910e+01  8.65733638e+00 
 1.30000000e+00  2.27214856e-07  3.28430784e-06  3.79267652e-07  6.95307009e-01  4.70512442e-02  1.44546352e+01  8.65960445e+00 
 1.29000000e+00  2.62633414e-07  3.81319411e-06  4.40216163e-07  6.95307009e-01  4.76098803e-02  1.45190745e+01  8.66209475e+00 
 1.28000000e+00  3.03778373e-07  4.43205272e-06  5.11500135e-07  6.95307009e-01  4.82441573e-02  1.45897573e+01  8.66481242e+00 
 1.27000000e+00  3.51627694e-07  5.15697396e-06  5.94960453e-07  6.95307009e-01  4.89633012e-02  1.46660062e+01  8.66775923e+00 
 1.26000000e+00  4.07334179e-07  6.00690234e-06  6.92763101e-07  6.95307009e-01  4.97773775e-02  1.47468655e+01  8.67093287e+00 
 1.25000000e+00  4.72256070e-07  7.00405263e-06  8.07446288e-07  6.95307009e-01  5.06972887e-02  1.48310484e+01  8.67432637e+00 
 1.24000000e+00  5.47991884e-07  8.17433564e-06  9.41968637e-07  6.95307009e-01  5.17347465e-02  1.49168918e+01  8.67792760e+00 
 1.23000000e+00  6.36419454e-07  9.54776925e-06  1.09975561e-06  6.95307009e-01  5.29022132e-02  1.50023215e+01  8.68171905e+00 
 1.22000000e+00  7.39738863e-07  1.11588394e-05  1.28474022e-06  6.95307009e-01  5.42128064e-02  1.50848360e+01  8.68567768e+00 
 1.21000000e+00  8.60518553e-07  1.30467651e-05  1.50139272e-06  6.95307009e-01  5.56801615e-02  1.51615152e+01  8.68977517e+00 
 1.20000000e+00  1.00174337e-06  1.52556100e-05  1.75473294e-06  6.95307009e-01  5.73182485e-02  1.52290602e+01  8.69397828e+00 
 1.19000000e+00  1.16686267e-06  1.78341758e-05  2.05031780e-06  6.95307009e-01  5.91411398e-02  1.52838687e+01  8.69824954e+00 
 1.18000000e+00  1.35983603e-06  2.08356088e-05  2.39419636e-06  6.95307009e-01  6.11627317e-02  1.53221479e+01  8.70254800e+00 
 1.17000000e+00  1.58517328e-06  2.43166561e-05  2.79282538e-06  6.95307009e-01  6.33964227e-02  1.53400618e+01  8.70683009e+00 
 1.16000000e+00  1.84796512e-06  2.83365249e-05  3.25294007e-06  6.95307009e-01  6.58547587e-02  1.53339068e+01  8.71105040e+00 
 1.15000000e+00  2.15390033e-06  3.29553263e-05  3.78137832e-06  6.95307009e-01  6.85490585e-02  1.53003023e+01  8.71516244e+00 
 1.14000000e+00  2.50926534e-06  3.82321261e-05  4.38486109e-06  6.95307009e-01  7.14890367e-02  1.52363823e+01  8.71911909e+00 
 1.13000000e+00  2.92092267e-06  4.42226783e-05  5.06973777e-06  6.95307009e-01  7.46824467e-02  1.51399689e+01  8.72287293e+00 
 1.12000000e+00  3.39626561e-06  5.09769666e-05  5.84171086e-06  6.95307009e-01  7.81347660e-02  1.50097114e+01  8.72637619e+00 
