 v-sweep         iref_forced     iref_mos        iout_mos        error_vs_forced_pct error_vs_reference_mos_pct vdsat_abs       sat_margin     
 4.40000000e-01  1.00000000e-05  1.00000012e-05  9.73991582e-06  2.60084181e+00  2.60085334e+00  1.08670654e-01  3.31329346e-01 
 4.50000000e-01  1.00000000e-05  1.00000012e-05  9.75167873e-06  2.48321273e+00  2.48322427e+00  1.08670655e-01  3.41329345e-01 
 4.60000000e-01  1.00000000e-05  1.00000012e-05  9.76325215e-06  2.36747855e+00  2.36749010e+00  1.08670655e-01  3.51329345e-01 
 4.70000000e-01  1.00000000e-05  1.00000012e-05  9.77464827e-06  2.25351728e+00  2.25352884e+00  1.08670656e-01  3.61329344e-01 
 4.80000000e-01  1.00000000e-05  1.00000012e-05  9.78587818e-06  2.14121824e+00  2.14122982e+00  1.08670656e-01  3.71329344e-01 
 4.90000000e-01  1.00000000e-05  1.00000012e-05  9.79695193e-06  2.03048068e+00  2.03049227e+00  1.08670657e-01  3.81329343e-01 
 5.00000000e-01  1.00000000e-05  1.00000012e-05  9.80787873e-06  1.92121268e+00  1.92122428e+00  1.08670657e-01  3.91329343e-01 
 5.10000000e-01  1.00000000e-05  1.00000012e-05  9.81866699e-06  1.81333010e+00  1.81334172e+00  1.08670658e-01  4.01329342e-01 
 5.20000000e-01  1.00000000e-05  1.00000012e-05  9.82932442e-06  1.70675580e+00  1.70676743e+00  1.08670658e-01  4.11329342e-01 
 5.30000000e-01  1.00000000e-05  1.00000012e-05  9.83985812e-06  1.60141882e+00  1.60143046e+00  1.08670659e-01  4.21329341e-01 
 5.40000000e-01  1.00000000e-05  1.00000012e-05  9.85027462e-06  1.49725380e+00  1.49726546e+00  1.08670659e-01  4.31329341e-01 
 5.50000000e-01  1.00000000e-05  1.00000012e-05  9.86057996e-06  1.39420039e+00  1.39421206e+00  1.08670659e-01  4.41329341e-01 
 5.60000000e-01  1.00000000e-05  1.00000012e-05  9.87077973e-06  1.29220273e+00  1.29221441e+00  1.08670660e-01  4.51329340e-01 
 5.70000000e-01  1.00000000e-05  1.00000012e-05  9.88087909e-06  1.19120905e+00  1.19122075e+00  1.08670660e-01  4.61329340e-01 
 5.80000000e-01  1.00000000e-05  1.00000012e-05  9.89088287e-06  1.09117128e+00  1.09118298e+00  1.08670661e-01  4.71329339e-01 
 5.90000000e-01  1.00000000e-05  1.00000012e-05  9.90079553e-06  9.92044671e-01  9.92056387e-01  1.08670661e-01  4.81329339e-01 
 6.00000000e-01  1.00000000e-05  1.00000012e-05  9.91062125e-06  8.93787548e-01  8.93799275e-01  1.08670662e-01  4.91329338e-01 
 6.10000000e-01  1.00000000e-05  1.00000012e-05  9.92036390e-06  7.96361000e-01  7.96372739e-01  1.08670662e-01  5.01329338e-01 
 6.20000000e-01  1.00000000e-05  1.00000012e-05  9.93002713e-06  6.99728657e-01  6.99740408e-01  1.08670663e-01  5.11329337e-01 
 6.30000000e-01  1.00000000e-05  1.00000012e-05  9.93961435e-06  6.03856469e-01  6.03868231e-01  1.08670663e-01  5.21329337e-01 
 6.40000000e-01  1.00000000e-05  1.00000012e-05  9.94912875e-06  5.08712515e-01  5.08724288e-01  1.08670663e-01  5.31329337e-01 
 6.50000000e-01  1.00000000e-05  1.00000012e-05  9.95857332e-06  4.14266830e-01  4.14278615e-01  1.08670664e-01  5.41329336e-01 
 6.60000000e-01  1.00000000e-05  1.00000012e-05  9.96795088e-06  3.20491250e-01  3.20503045e-01  1.08670664e-01  5.51329336e-01 
 6.70000000e-01  1.00000000e-05  1.00000012e-05  9.97726407e-06  2.27359266e-01  2.27371072e-01  1.08670665e-01  5.61329335e-01 
 6.80000000e-01  1.00000000e-05  1.00000012e-05  9.98651541e-06  1.34845902e-01  1.34857720e-01  1.08670665e-01  5.71329335e-01 
 6.90000000e-01  1.00000000e-05  1.00000012e-05  9.99570724e-06  4.29275992e-02  4.29394277e-02  1.08670666e-01  5.81329334e-01 
 7.00000000e-01  1.00000000e-05  1.00000012e-05  1.00048418e-05  4.84178924e-02  4.84060531e-02  1.08670666e-01  5.91329334e-01 
