 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 3.70000000e-01  1.57305091e-08  3.79420537e-07  1.72491187e-08  7.07653677e-01  4.30440761e-02  2.41200418e+01  2.19965173e+01 
 3.80000000e-01  2.00180396e-08  4.82147346e-07  2.17538556e-08  7.07653677e-01  4.30480609e-02  2.40856425e+01  2.21637651e+01 
 3.90000000e-01  2.54648938e-08  6.12354276e-07  2.74228351e-08  7.07653677e-01  4.30531229e-02  2.40469990e+01  2.23300864e+01 
 4.00000000e-01  3.23805535e-08  7.77250434e-07  3.45522014e-08  7.07653677e-01  4.30595494e-02  2.40036179e+01  2.24949613e+01 
 4.10000000e-01  4.11554168e-08  9.85876235e-07  4.35115623e-08  7.07653677e-01  4.30677027e-02  2.39549568e+01  2.26577991e+01 
 4.20000000e-01  5.22812398e-08  1.24954366e-06  5.47614783e-08  7.07653677e-01  4.30780392e-02  2.39004213e+01  2.28179315e+01 
 4.30000000e-01  6.63764446e-08  1.58237214e-06  6.88748267e-08  7.07653677e-01  4.30911323e-02  2.38393627e+01  2.29746079e+01 
 4.40000000e-01  8.42173343e-08  2.00193669e-06  8.65627839e-08  7.07653677e-01  4.31077013e-02  2.37710764e+01  2.31269906e+01 
 4.50000000e-01  1.06776424e-07  2.53004616e-06  1.08706269e-07  7.07653677e-01  4.31286468e-02  2.36948015e+01  2.32741514e+01 
 4.60000000e-01  1.35269280e-07  3.19366997e-06  1.36393778e-07  7.07653677e-01  4.31550929e-02  2.36097212e+01  2.34150708e+01 
 4.70000000e-01  1.71211447e-07  4.02603117e-06  1.70966617e-07  7.07653677e-01  4.31884395e-02  2.35149649e+01  2.35486391e+01 
 4.80000000e-01  2.16487203e-07  5.06788164e-06  2.14072569e-07  7.07653677e-01  4.32304239e-02  2.34096129e+01  2.36736620e+01 
 4.90000000e-01  2.73432027e-07  6.36897092e-06  2.67729024e-07  7.07653677e-01  4.32831945e-02  2.32927027e+01  2.37888699e+01 
 5.00000000e-01  3.44930742e-07  7.98971314e-06  3.34396487e-07  7.07653677e-01  4.33493978e-02  2.31632388e+01  2.38929338e+01 
 5.10000000e-01  4.34533309e-07  1.00030459e-05  4.17063161e-07  7.07653677e-01  4.34322789e-02  2.30202051e+01  2.39844868e+01 
 5.20000000e-01  5.46590077e-07  1.24964604e-05  5.19340880e-07  7.07653677e-01  4.35357967e-02  2.28625819e+01  2.40621543e+01 
 5.30000000e-01  6.86408039e-07  1.55741630e-05  6.45572083e-07  7.07653677e-01  4.36647536e-02  2.26893657e+01  2.41245918e+01 
 5.40000000e-01  8.60429115e-07  1.93593048e-05  8.00946578e-07  7.07653677e-01  4.38249375e-02  2.24995929e+01  2.41705319e+01 
 5.50000000e-01  1.07643069e-06  2.39961884e-05  9.91625620e-07  7.07653677e-01  4.40232740e-02  2.22923673e+01  2.41988386e+01 
 5.60000000e-01  1.34374763e-06  2.96523307e-05  1.22486918e-06  7.07653677e-01  4.42679825e-02  2.20668897e+01  2.42085695e+01 
 5.70000000e-01  1.67351357e-06  3.65202306e-05  1.50916026e-06  7.07653677e-01  4.45687295e-02  2.18224885e+01  2.41990407e+01 
 5.80000000e-01  2.07891768e-06  4.48186605e-05  1.85431773e-06  7.07653677e-01  4.49367660e-02  2.15586509e+01  2.41698927e+01 
 5.90000000e-01  2.57547110e-06  5.47932769e-05  2.27158637e-06  7.07653677e-01  4.53850363e-02  2.12750502e+01  2.41211506e+01 
 6.00000000e-01  3.18127519e-06  6.67163289e-05  2.77369048e-06  7.07653677e-01  4.59282384e-02  2.09715680e+01  2.40532710e+01 
 6.10000000e-01  3.91728135e-06  8.08852342e-05  3.37483453e-06  7.07653677e-01  4.65828149e-02  2.06483086e+01  2.39671704e+01 
 6.20000000e-01  4.80753002e-06  9.76197916e-05  4.09063352e-06  7.07653677e-01  4.73668526e-02  2.03056021e+01  2.38642233e+01 
 6.30000000e-01  5.87935403e-06  1.17257807e-04  4.93795526e-06  7.07653677e-01  4.82998645e-02  1.99439949e+01  2.37462271e+01 
 6.40000000e-01  7.16352939e-06  1.40148921e-04  5.93465943e-06  7.07653677e-01  4.94024382e-02  1.95642278e+01  2.36153267e+01 
 6.50000000e-01  8.69435452e-06  1.66646445e-04  7.09922329e-06  7.07653677e-01  5.06957335e-02  1.91672015e+01  2.34738982e+01 
 6.60000000e-01  1.05096373e-05  1.97097047e-04  8.45025229e-06  7.07653677e-01  5.22008296e-02  1.87539342e+01  2.33243979e+01 
 6.70000000e-01  1.26505677e-05  2.31828195e-04  1.00058853e-05  7.07653677e-01  5.39379318e-02  1.83255172e+01  2.31691838e+01 
 6.80000000e-01  1.51614536e-05  2.71133383e-04  1.17831175e-05  7.07653677e-01  5.59254700e-02  1.78830730e+01  2.30103267e+01 
 6.90000000e-01  1.80892990e-05  3.15255361e-04  1.37970784e-05  7.07653677e-01  5.81791355e-02  1.74277268e+01  2.28494289e+01 
 7.00000000e-01  2.14832059e-05  3.64367923e-04  1.60603136e-05  7.07653677e-01  6.07109229e-02  1.69605935e+01  2.26874725e+01 
 7.10000000e-01  2.53935915e-05  4.18557161e-04  1.85821277e-05  7.07653677e-01  6.35282535e-02  1.64827871e+01  2.25247166e+01 
 7.20000000e-01  2.98712198e-05  4.77803564e-04  2.13680448e-05  7.07653677e-01  6.66332610e-02  1.59954487e+01  2.23606590e+01 
 7.30000000e-01  3.49660667e-05  5.41966734e-04  2.44194374e-05  7.07653677e-01  7.00223138e-02  1.54997913e+01  2.21940713e+01 
 7.40000000e-01  4.07260523e-05  6.10774701e-04  2.77333588e-05  7.07653677e-01  7.36858299e-02  1.49971496e+01  2.20231060e+01 
 7.50000000e-01  4.71956991e-05  6.83819777e-04  3.13025936e-05  7.07653677e-01  7.76084157e-02  1.44890274e+01  2.18454671e+01 
 7.60000000e-01  5.44147867e-05  7.60562492e-04  3.51159178e-05  7.07653677e-01  8.17693266e-02  1.39771290e+01  2.16586249e+01 
 7.70000000e-01  6.24170904e-05  8.40344352e-04  3.91585404e-05  7.07653677e-01  8.61432161e-02  1.34633695e+01  2.14600530e+01 
 7.80000000e-01  7.12292914e-05  9.22409200e-04  4.34126811e-05  7.07653677e-01  9.07011119e-02  1.29498579e+01  2.12474599e+01 
 7.90000000e-01  8.08701377e-05  1.00593183e-03  4.78582313e-05  7.07653677e-01  9.54115370e-02  1.24388540e+01  2.10189931e+01 
 8.00000000e-01  9.13499186e-05  1.09005161e-03  5.24734455e-05  7.07653677e-01  1.00241688e-01  1.19327048e+01  2.07733951e+01 
 8.10000000e-01  1.02670289e-04  1.17390814e-03  5.72356145e-05  7.07653677e-01  1.05158579e-01  1.14337669e+01  2.05100994e+01 
 8.20000000e-01  1.14824445e-04  1.25667596e-03  6.21216865e-05  7.07653677e-01  1.10130090e-01  1.09443243e+01  2.02292634e+01 
 8.30000000e-01  1.27797636e-04  1.33759537e-03  6.71088087e-05  7.07653677e-01  1.15125840e-01  1.04665110e+01  1.99317406e+01 
 8.40000000e-01  1.41567949e-04  1.41599726e-03  7.21747802e-05  7.07653677e-01  1.20117880e-01  1.00022447e+01  1.96190034e+01 
 8.50000000e-01  1.56107306e-04  1.49132053e-03  7.72984120e-05  7.07653677e-01  1.25081180e-01  9.55317577e+00  1.92930294e+01 
 8.60000000e-01  1.71382606e-04  1.56312172e-03  8.24597992e-05  7.07653677e-01  1.29993908e-01  9.12065561e+00  1.89561670e+01 
 8.70000000e-01  1.87356908e-04  1.63107713e-03  8.76405140e-05  7.07653677e-01  1.34837542e-01  8.70572184e+00  1.86109946e+01 
 8.80000000e-01  2.03990623e-04  1.69497858e-03  9.28237299e-05  7.07653677e-01  1.39596833e-01  8.30910047e+00  1.82601861e+01 
 8.90000000e-01  2.21242617e-04  1.75472410e-03  9.79942882e-05  7.07653677e-01  1.44259644e-01  7.93122107e+00  1.79063916e+01 
 9.00000000e-01  2.39071215e-04  1.81030510e-03  1.03138717e-04  7.07653677e-01  1.48816720e-01  7.57224202e+00  1.75521390e+01 
 9.10000000e-01  2.57435063e-04  1.86179154e-03  1.08245210e-04  7.07653677e-01  1.53261398e-01  7.23208221e+00  1.71997591e+01 
 9.20000000e-01  2.76293835e-04  1.90931645e-03  1.13303578e-04  7.07653677e-01  1.57589291e-01  6.91045622e+00  1.68513341e+01 
 9.30000000e-01  2.95608786e-04  1.95306074e-03  1.18305174e-04  7.07653677e-01  1.61797968e-01  6.60691033e+00  1.65086672e+01 
 9.40000000e-01  3.15343161e-04  1.99323921e-03  1.23242801e-04  7.07653677e-01  1.65886649e-01  6.32085757e+00  1.61732710e+01 
 9.50000000e-01  3.35462470e-04  2.03008809e-03  1.28110607e-04  7.07653677e-01  1.69855910e-01  6.05161016e+00  1.58463701e+01 
 9.60000000e-01  3.55934648e-04  2.06385457e-03  1.32903979e-04  7.07653677e-01  1.73707419e-01  5.79840871e+00  1.55289148e+01 
 9.70000000e-01  3.76730119e-04  2.09478810e-03  1.37619419e-04  7.07653677e-01  1.77443709e-01  5.56044764e+00  1.52216026e+01 
 9.80000000e-01  3.97821785e-04  2.12313373e-03  1.42254435e-04  7.07653677e-01  1.81067968e-01  5.33689661e+00  1.49249037e+01 
 9.90000000e-01  4.19184954e-04  2.14912701e-03  1.46807422e-04  7.07653677e-01  1.84583872e-01  5.12691829e+00  1.46390896e+01 
 1.00000000e+00  4.40797227e-04  2.17299042e-03  1.51277558e-04  7.07653677e-01  1.87995437e-01  4.92968259e+00  1.43642616e+01 
 1.01000000e+00  4.62638355e-04  2.19493109e-03  1.55664692e-04  7.07653677e-01  1.91306901e-01  4.74437769e+00  1.41003786e+01 
 1.02000000e+00  4.84690077e-04  2.21513952e-03  1.59969254e-04  7.07653677e-01  1.94522627e-01  4.57021842e+00  1.38472829e+01 
 1.03000000e+00  5.06935951e-04  2.23378905e-03  1.64192160e-04  7.07653677e-01  1.97647026e-01  4.40645222e+00  1.36047242e+01 
 1.04000000e+00  5.29361185e-04  2.25103604e-03  1.68334736e-04  7.07653677e-01  2.00684496e-01  4.25236324e+00  1.33723799e+01 
 1.05000000e+00  5.51952465e-04  2.26702044e-03  1.72398640e-04  7.07653677e-01  2.03639373e-01  4.10727478e+00  1.31498743e+01 
 1.06000000e+00  5.74697801e-04  2.28186665e-03  1.76385798e-04  7.07653677e-01  2.06515901e-01  3.97055052e+00  1.29367935e+01 
 1.07000000e+00  5.97586372e-04  2.29568464e-03  1.80298349e-04  7.07653677e-01  2.09318201e-01  3.84159470e+00  1.27326991e+01 
 1.08000000e+00  6.20608390e-04  2.30857111e-03  1.84138591e-04  7.07653677e-01  2.12050259e-01  3.71985159e+00  1.25371390e+01 
 1.09000000e+00  6.43754973e-04  2.32061075e-03  1.87908938e-04  7.07653677e-01  2.14715906e-01  3.60480439e+00  1.23496561e+01 
 1.10000000e+00  6.67018030e-04  2.33187750e-03  1.91611884e-04  7.07653677e-01  2.17318820e-01  3.49597371e+00  1.21697958e+01 
 1.11000000e+00  6.90390162e-04  2.34243566e-03  1.95249971e-04  7.07653677e-01  2.19862517e-01  3.39291576e+00  1.19971114e+01 
 1.12000000e+00  7.13864568e-04  2.35234109e-03  1.98825760e-04  7.07653677e-01  2.22350353e-01  3.29522041e+00  1.18311686e+01 
 1.13000000e+00  7.37434970e-04  2.36164224e-03  2.02341811e-04  7.07653677e-01  2.24785525e-01  3.20250916e+00  1.16715484e+01 
 1.14000000e+00  7.61095539e-04  2.37038108e-03  2.05800663e-04  7.07653677e-01  2.27171078e-01  3.11443303e+00  1.15178496e+01 
 1.15000000e+00  7.84840839e-04  2.37859399e-03  2.09204822e-04  7.07653677e-01  2.29509903e-01  3.03067052e+00  1.13696901e+01 
 1.16000000e+00  8.08665772e-04  2.38631254e-03  2.12556744e-04  7.07653677e-01  2.31804752e-01  2.95092561e+00  1.12267082e+01 
 1.17000000e+00  8.32565534e-04  2.39356415e-03  2.15858829e-04  7.07653677e-01  2.34058234e-01  2.87492582e+00  1.10885627e+01 
 1.18000000e+00  8.56535578e-04  2.40037275e-03  2.19113415e-04  7.07653677e-01  2.36272829e-01  2.80242037e+00  1.09549329e+01 
 1.19000000e+00  8.80571582e-04  2.40675927e-03  2.22322769e-04  7.07653677e-01  2.38450891e-01  2.73317844e+00  1.08255186e+01 
 1.20000000e+00  9.04669418e-04  2.41274210e-03  2.25489087e-04  7.07653677e-01  2.40594656e-01  2.66698757e+00  1.07000393e+01 
