 frequency       onoise_spectrum inoise_spectrum
 1.23026877e+01  8.08418665e-06  2.54623058e-07 
 1.25892541e+01  7.99472244e-06  2.51805254e-07 
 1.28824955e+01  7.90625797e-06  2.49018939e-07 
 1.31825674e+01  7.81878200e-06  2.46263758e-07 
 1.34896288e+01  7.73228343e-06  2.43539361e-07 
 1.38038426e+01  7.64675125e-06  2.40845402e-07 
 1.41253754e+01  7.56217462e-06  2.38181540e-07 
 1.44543977e+01  7.47854279e-06  2.35547435e-07 
 1.47910839e+01  7.39584514e-06  2.32942754e-07 
 1.51356125e+01  7.31407117e-06  2.30367166e-07 
 1.54881662e+01  7.23321051e-06  2.27820343e-07 
 1.58489319e+01  7.15325289e-06  2.25301963e-07 
 1.62181010e+01  7.07418817e-06  2.22811707e-07 
 1.65958691e+01  6.99600632e-06  2.20349257e-07 
 1.69824365e+01  6.91869742e-06  2.17914302e-07 
 1.73780083e+01  6.84225165e-06  2.15506533e-07 
 1.77827941e+01  6.76665934e-06  2.13125645e-07 
 1.81970086e+01  6.69191089e-06  2.10771335e-07 
 1.86208714e+01  6.61799683e-06  2.08443306e-07 
 1.90546072e+01  6.54490778e-06  2.06141261e-07 
 1.94984460e+01  6.47263448e-06  2.03864910e-07 
 1.99526231e+01  6.40116778e-06  2.01613964e-07 
 2.04173794e+01  6.33049862e-06  1.99388137e-07 
 2.08929613e+01  6.26061805e-06  1.97187148e-07 
 2.13796209e+01  6.19151720e-06  1.95010718e-07 
 2.18776162e+01  6.12318734e-06  1.92858571e-07 
 2.23872114e+01  6.05561981e-06  1.90730435e-07 
 2.29086765e+01  5.98880605e-06  1.88626039e-07 
 2.34422882e+01  5.92273761e-06  1.86545119e-07 
 2.39883292e+01  5.85740612e-06  1.84487410e-07 
 2.45470892e+01  5.79280332e-06  1.82452652e-07 
 2.51188643e+01  5.72892102e-06  1.80440587e-07 
 2.57039578e+01  5.66575115e-06  1.78450962e-07 
