frequency_hz,real,imag,abs,unwrapped_phase_deg,min_singular_value
1.000000000000000000e+00,7.994311390084511600e+06,-3.252442366985447370e+04,7.994377551740349270e+06,-2.331034950698508412e-01,9.907849265475839884e-01
1.019373485938873003e+00,7.994306427391246893e+06,-3.315451544075767015e+04,7.994375177393359132e+06,-2.376194774268488297e-01,9.907849265476449396e-01
1.039122303835168903e+00,7.994301270552341826e+06,-3.379681311882402224e+04,7.994372710158800706e+06,-2.422229474424859863e-01,9.907849265474633071e-01
1.059253725177289107e+00,7.994295911977360956e+06,-3.445155310592240858e+04,7.994370146407367662e+06,-2.469155999000924584e-01,9.907849265478452239e-01
1.079775162327710092e+00,7.994290343765710481e+06,-3.511897637964173919e+04,7.994367482354538515e+06,-2.516991624071167610e-01,9.907849265474927281e-01
1.100694171252210030e+00,7.994284557738165371e+06,-3.579932858206309174e+04,7.994364714098164812e+06,-2.565753960317677107e-01,9.907849265467459920e-01
1.122018454301964008e+00,7.994278545334230177e+06,-3.649286010909554898e+04,7.994361837522123940e+06,-2.615460959480171987e-01,9.907849265465646926e-01
1.143755863049539023e+00,7.994272297725399025e+06,-3.719982620339100686e+04,7.994358848416130990e+06,-2.666130920994869147e-01,9.907849265459083288e-01
1.165914401179831916e+00,7.994265805712952279e+06,-3.792048704716676002e+04,7.994355742380322888e+06,-2.717782498696224569e-01,9.907849265458599231e-01
1.188502227437018943e+00,7.994259059717865661e+06,-3.865510785764171305e+04,7.994352514822238125e+06,-2.770434707678538500e-01,9.907849265458942289e-01
1.211527658628589021e+00,7.994252049825294875e+06,-3.940395898476977163e+04,7.994349161008644849e+06,-2.824106931303952406e-01,9.907849265456329935e-01
1.234999172687585967e+00,7.994244765700810589e+06,-4.016731600971387525e+04,7.994345675989387557e+06,-2.878818928308538583e-01,9.907849265452584042e-01
1.258925411794167948e+00,7.994237196602213196e+06,-4.094545984607412538e+04,7.994342054617154412e+06,-2.934590840074771667e-01,9.907849265446396769e-01
1.283315185557651894e+00,7.994229331408897415e+06,-4.173867684323917638e+04,7.994338291585049592e+06,-2.991443198049854590e-01,9.907849265452124410e-01
1.308177474260195039e+00,7.994221158541237935e+06,-4.254725889069331606e+04,7.994334381354554556e+06,-3.049396931273954947e-01,9.907849265444240716e-01
1.333521432163325082e+00,7.994212665929096751e+06,-4.337150352472413215e+04,7.994330318132921122e+06,-3.108473374065647277e-01,9.907849265440792363e-01
1.359356390878527110e+00,7.994203841098365374e+06,-4.421171403846092289e+04,7.994326095968944952e+06,-3.168694273901583869e-01,9.907849265430158647e-01
1.385691862803128949e+00,7.994194671037248336e+06,-4.506819959170305810e+04,7.994321708628866822e+06,-3.230081799367066631e-01,9.907849265429979901e-01
1.412537544622755048e+00,7.994185142243295908e+06,-4.594127532477974455e+04,7.994317149653366767e+06,-3.292658548328146750e-01,9.907849265423699370e-01
1.439903320881634086e+00,7.994175240675860085e+06,-4.683126247355492524e+04,7.994312412320386618e+06,-3.356447556224356199e-01,9.907849265423847029e-01
1.467799267622071024e+00,7.994164951756620780e+06,-4.773848848718896625e+04,7.994307489656436257e+06,-3.421472304541736675e-01,9.907849265417407736e-01
1.496235656094434985e+00,7.994154260359185748e+06,-4.866328714803928597e+04,7.994302374437369406e+06,-3.487756729445037340e-01,9.907849265416418527e-01
1.525222956539020069e+00,7.994143150705397129e+06,-4.960599869274417142e+04,7.994297059096335433e+06,-3.555325230537858539e-01,9.907849265410029194e-01
1.554771842041174912e+00,7.994131606436464004e+06,-5.056696993772324640e+04,7.994291535806979984e+06,-3.624202679866609933e-01,9.907849265405065387e-01
1.584893192461114930e+00,7.994119610585291870e+06,-5.154655440583587915e+04,7.994285796468340792e+06,-3.694414431050819236e-01,9.907849265400793248e-01
1.615598098439875008e+00,7.994107145452182740e+06,-5.254511245439053164e+04,7.994279832593582571e+06,-3.765986328558556528e-01,9.907849265401720285e-01
1.646897865482870094e+00,7.994094192695512436e+06,-5.356301140814137034e+04,7.994273635414241813e+06,-3.838944717244247573e-01,9.907849265390712423e-01
1.678804018122562081e+00,7.994080733256791718e+06,-5.460062569281506148e+04,7.994267195819358341e+06,-3.913316452002214008e-01,9.907849265392668636e-01
