 frequency       onoise.m.xpga.xamp.xinp.msky130_fd_pr__nfet_01v8 onoise.m.xpga.xamp.xinn.msky130_fd_pr__nfet_01v8 onoise.m.xpga.xamp.xlp.msky130_fd_pr__pfet_01v8 onoise.m.xpga.xamp.xln.msky130_fd_pr__pfet_01v8 onoise.m.xpga.xamp.xop.msky130_fd_pr__nfet_01v8 onoise.m.xpga.xamp.xon.msky130_fd_pr__nfet_01v8 onoise.m.xpga.xamp.xip.msky130_fd_pr__pfet_01v8 onoise.m.xpga.xamp.xin.msky130_fd_pr__pfet_01v8 onoise.m.xpga.xamp.xtail.msky130_fd_pr__nfet_01v8 onoise.m.xpga.xamp.xtcas.msky130_fd_pr__nfet_01v8 onoise.m.xpga.xamp.xbn1.msky130_fd_pr__nfet_01v8 onoise.m.xpga.xamp.xbn2.msky130_fd_pr__nfet_01v8 onoise.m.xpga.xamp.xinp.msky130_fd_pr__nfet_01v8.1overf onoise.m.xpga.xamp.xinn.msky130_fd_pr__nfet_01v8.1overf onoise.m.xpga.xamp.xlp.msky130_fd_pr__pfet_01v8.1overf onoise.m.xpga.xamp.xln.msky130_fd_pr__pfet_01v8.1overf onoise.m.xpga.xamp.xop.msky130_fd_pr__nfet_01v8.1overf onoise.m.xpga.xamp.xon.msky130_fd_pr__nfet_01v8.1overf onoise.m.xpga.xamp.xip.msky130_fd_pr__pfet_01v8.1overf onoise.m.xpga.xamp.xin.msky130_fd_pr__pfet_01v8.1overf onoise.m.xpga.xamp.xtail.msky130_fd_pr__nfet_01v8.1overf onoise.m.xpga.xamp.xtcas.msky130_fd_pr__nfet_01v8.1overf onoise.m.xpga.xamp.xbn1.msky130_fd_pr__nfet_01v8.1overf onoise.m.xpga.xamp.xbn2.msky130_fd_pr__nfet_01v8.1overf onoise.m.xpga.xamp.xinp.msky130_fd_pr__nfet_01v8.id onoise.m.xpga.xamp.xinn.msky130_fd_pr__nfet_01v8.id onoise.m.xpga.xamp.xlp.msky130_fd_pr__pfet_01v8.id onoise.m.xpga.xamp.xln.msky130_fd_pr__pfet_01v8.id onoise.m.xpga.xamp.xop.msky130_fd_pr__nfet_01v8.id onoise.m.xpga.xamp.xon.msky130_fd_pr__nfet_01v8.id onoise.m.xpga.xamp.xip.msky130_fd_pr__pfet_01v8.id onoise.m.xpga.xamp.xin.msky130_fd_pr__pfet_01v8.id onoise.m.xpga.xamp.xtail.msky130_fd_pr__nfet_01v8.id onoise.m.xpga.xamp.xtcas.msky130_fd_pr__nfet_01v8.id onoise.m.xpga.xamp.xbn1.msky130_fd_pr__nfet_01v8.id onoise.m.xpga.xamp.xbn2.msky130_fd_pr__nfet_01v8.id
 1.00000000e+00  6.63287820e-06  6.63287820e-06  1.59460840e-05  1.59460840e-05  3.29821696e-07  3.29821696e-07  8.97466113e-08  8.97466113e-08  1.12579757e-16  3.26247141e-18  6.42374039e-16  1.29503738e-16  6.63235506e-06  6.63235506e-06  1.59460062e-05  1.59460062e-05  3.29821308e-07  3.29821308e-07  8.97459629e-08  8.97459628e-08  1.12579164e-16  3.26246717e-18  6.42370976e-16  1.29502212e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65349720e-19  5.25983603e-21  1.98369389e-18  6.28699827e-19 
 1.02329299e+00  6.56905187e-06  6.56905187e-06  1.57635524e-05  1.57635524e-05  3.26647419e-07  3.26647419e-07  8.87193053e-08  8.87193053e-08  1.11496273e-16  3.23107267e-18  6.36265329e-16  1.28296343e-16  6.56852365e-06  6.56852365e-06  1.57634738e-05  1.57634738e-05  3.26647027e-07  3.26647027e-07  8.87186493e-08  8.87186493e-08  1.11495674e-16  3.23106838e-18  6.36262236e-16  1.28294801e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65349720e-19  5.25983603e-21  1.98392337e-18  6.28890757e-19 
 1.04712855e+00  6.50583992e-06  6.50583992e-06  1.55831104e-05  1.55831104e-05  3.23503692e-07  3.23503692e-07  8.77037589e-08  8.77037589e-08  1.10419804e-16  3.19987721e-18  6.30072837e-16  1.27031645e-16  6.50530657e-06  6.50530657e-06  1.55830308e-05  1.55830308e-05  3.23503296e-07  3.23503296e-07  8.77030953e-08  8.77030953e-08  1.10419199e-16  3.19987288e-18  6.30069714e-16  1.27030088e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65338427e-19  5.25967345e-21  1.98370620e-18  6.28742408e-19 
 1.07151931e+00  6.44323644e-06  6.44323644e-06  1.54047338e-05  1.54047338e-05  3.20390221e-07  3.20390221e-07  8.66998376e-08  8.66998376e-08  1.09357109e-16  3.16908089e-18  6.24069530e-16  1.25841084e-16  6.44269790e-06  6.44269790e-06  1.54046533e-05  1.54046533e-05  3.20389821e-07  3.20389821e-07  8.66991663e-08  8.66991663e-08  1.09356498e-16  3.16907652e-18  6.24066376e-16  1.25839512e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65338427e-19  5.25967345e-21  1.98389887e-18  6.28902295e-19 
 1.09647820e+00  6.38123557e-06  6.38123557e-06  1.52283991e-05  1.52283991e-05  3.17306714e-07  3.17306714e-07  8.57074082e-08  8.57074082e-08  1.08311336e-16  3.13877499e-18  6.17765654e-16  1.24466882e-16  6.38069180e-06  6.38069180e-06  1.52283177e-05  1.52283177e-05  3.17306311e-07  3.17306311e-07  8.57067292e-08  8.57067291e-08  1.08310720e-16  3.13877058e-18  6.17762471e-16  1.24465298e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65361013e-19  5.25999861e-21  1.98294317e-18  6.28079236e-19 
 1.12201845e+00  6.31983151e-06  6.31983151e-06  1.50540830e-05  1.50540830e-05  3.14252885e-07  3.14252884e-07  8.47263392e-08  8.47263392e-08  1.07268934e-16  3.10856673e-18  6.11740692e-16  1.23234183e-16  6.31928246e-06  6.31928246e-06  1.50540006e-05  1.50540006e-05  3.14252477e-07  3.14252477e-07  8.47256523e-08  8.47256523e-08  1.07268311e-16  3.10856228e-18  6.11737479e-16  1.23232583e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65361013e-19  5.25999861e-21  1.98268552e-18  6.27901767e-19 
 1.14815362e+00  6.25901853e-06  6.25901853e-06  1.48817622e-05  1.48817622e-05  3.11228446e-07  3.11228446e-07  8.37565007e-08  8.37565007e-08  1.06236563e-16  3.07864921e-18  6.05868069e-16  1.22056027e-16  6.25846414e-06  6.25846414e-06  1.48816789e-05  1.48816789e-05  3.11228034e-07  3.11228034e-07  8.37558058e-08  8.37558058e-08  1.06235934e-16  3.07864472e-18  6.05864825e-16  1.22054412e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65361013e-19  5.25999861e-21  1.98273414e-18  6.27942151e-19 
 1.17489755e+00  6.19879092e-06  6.19879092e-06  1.47114140e-05  1.47114140e-05  3.08233115e-07  3.08233115e-07  8.27977639e-08  8.27977639e-08  1.05214129e-16  3.04901962e-18  6.00011531e-16  1.20867823e-16  6.19823114e-06  6.19823114e-06  1.47113297e-05  1.47113297e-05  3.08232699e-07  3.08232699e-07  8.27970610e-08  8.27970610e-08  1.05213494e-16  3.04901508e-18  6.00008255e-16  1.20866192e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65361013e-19  5.25999861e-21  1.98264962e-18  6.27871823e-19 
 1.20226443e+00  6.13914307e-06  6.13914307e-06  1.45430158e-05  1.45430158e-05  3.05266612e-07  3.05266612e-07  8.18500020e-08  8.18500020e-08  1.04201534e-16  3.01967520e-18  5.94467378e-16  1.19812592e-16  6.13857785e-06  6.13857785e-06  1.45429305e-05  1.45429305e-05  3.05266192e-07  3.05266192e-07  8.18492909e-08  8.18492909e-08  1.04200893e-16  3.01967062e-18  5.94464069e-16  1.19810943e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65361013e-19  5.25999861e-21  1.98341848e-18  6.28438294e-19 
 1.23026877e+00  6.08006938e-06  6.08006938e-06  1.43765452e-05  1.43765452e-05  3.02328659e-07  3.02328659e-07  8.09130891e-08  8.09130891e-08  1.03192306e-16  2.99042833e-18  5.89035762e-16  1.18818141e-16  6.07949867e-06  6.07949867e-06  1.43764590e-05  1.43764590e-05  3.02328236e-07  3.02328236e-07  8.09123698e-08  8.09123698e-08  1.03191659e-16  2.99042370e-18  5.89032419e-16  1.18816474e-16  8.32790331e-08  8.32790331e-08  4.97690475e-08  4.97690475e-08  5.05634667e-10  5.05634667e-10  3.40278287e-10  3.40278287e-10  3.65338427e-19  5.25967345e-21  1.98439417e-18  6.29278386e-19 
