 frequency       onoise_spectrum inoise_spectrum
 1.23026877e+01  3.26461972e-06  1.02960414e-07 
 1.25892541e+01  3.23178562e-06  1.01924884e-07 
 1.28824955e+01  3.19928736e-06  1.00899945e-07 
 1.31825674e+01  3.16712147e-06  9.98854894e-08 
 1.34896288e+01  3.13528454e-06  9.88814081e-08 
 1.38038426e+01  3.10377316e-06  9.78875942e-08 
 1.41253754e+01  3.07258398e-06  9.69039417e-08 
 1.44543977e+01  3.04171367e-06  9.59303459e-08 
 1.47910839e+01  3.01115894e-06  9.49667030e-08 
 1.51356125e+01  2.98091654e-06  9.40129104e-08 
 1.54881662e+01  2.95098325e-06  9.30688666e-08 
 1.58489319e+01  2.92135588e-06  9.21344710e-08 
 1.62181010e+01  2.89203128e-06  9.12096242e-08 
 1.65958691e+01  2.86300633e-06  9.02942279e-08 
 1.69824365e+01  2.83427794e-06  8.93881847e-08 
 1.73780083e+01  2.80584307e-06  8.84913983e-08 
 1.77827941e+01  2.77769868e-06  8.76037733e-08 
 1.81970086e+01  2.74984179e-06  8.67252155e-08 
 1.86208714e+01  2.72226943e-06  8.58556316e-08 
 1.90546072e+01  2.69497869e-06  8.49949292e-08 
 1.94984460e+01  2.66796666e-06  8.41430169e-08 
 1.99526231e+01  2.64123048e-06  8.32998044e-08 
 2.04173794e+01  2.61476731e-06  8.24652022e-08 
 2.08929613e+01  2.58857435e-06  8.16391217e-08 
 2.13796209e+01  2.56264881e-06  8.08214754e-08 
 2.18776162e+01  2.53698795e-06  8.00121767e-08 
 2.23872114e+01  2.51158905e-06  7.92111396e-08 
 2.29086765e+01  2.48644942e-06  7.84182795e-08 
 2.34422882e+01  2.46156639e-06  7.76335123e-08 
 2.39883292e+01  2.43693734e-06  7.68567550e-08 
 2.45470892e+01  2.41255966e-06  7.60879253e-08 
 2.51188643e+01  2.38843076e-06  7.53269419e-08 
 2.57039578e+01  2.36454809e-06  7.45737243e-08 
 2.63026799e+01  2.34090914e-06  7.38281928e-08 
 2.69153480e+01  2.31751139e-06  7.30902686e-08 
 2.75422870e+01  2.29435238e-06  7.23598738e-08 
 2.81838293e+01  2.27142966e-06  7.16369311e-08 
 2.88403150e+01  2.24874080e-06  7.09213643e-08 
 2.95120923e+01  2.22628342e-06  7.02130977e-08 
 3.01995172e+01  2.20405514e-06  6.95120565e-08 
 3.09029543e+01  2.18205362e-06  6.88181669e-08 
 3.16227766e+01  2.16027653e-06  6.81313555e-08 
 3.23593657e+01  2.13872158e-06  6.74515500e-08 
 3.31131121e+01  2.11738650e-06  6.67786786e-08 
 3.38844156e+01  2.09626903e-06  6.61126705e-08 
 3.46736850e+01  2.07536695e-06  6.54534554e-08 
 3.54813389e+01  2.05467806e-06  6.48009639e-08 
 3.63078055e+01  2.03420018e-06  6.41551273e-08 
 3.71535229e+01  2.01393116e-06  6.35158775e-08 
 3.80189396e+01  1.99386885e-06  6.28831474e-08 
 3.89045145e+01  1.97401115e-06  6.22568702e-08 
 3.98107171e+01  1.95435597e-06  6.16369801e-08 
 4.07380278e+01  1.93490125e-06  6.10234119e-08 
 4.16869383e+01  1.91564493e-06  6.04161012e-08 
 4.26579519e+01  1.89658499e-06  5.98149840e-08 
 4.36515832e+01  1.87771943e-06  5.92199971e-08 
 4.46683592e+01  1.85904627e-06  5.86310782e-08 
 4.57088190e+01  1.84056354e-06  5.80481653e-08 
 4.67735141e+01  1.82226931e-06  5.74711972e-08 
 4.78630092e+01  1.80416166e-06  5.69001134e-08 
 4.89778819e+01  1.78623868e-06  5.63348539e-08 
 5.01187234e+01  1.76849850e-06  5.57753594e-08 
 5.12861384e+01  1.75093924e-06  5.52215712e-08 
 5.24807460e+01  1.73355909e-06  5.46734314e-08 
 5.37031796e+01  1.71635620e-06  5.41308823e-08 
 5.49540874e+01  1.69932878e-06  5.35938672e-08 
 5.62341325e+01  1.68247505e-06  5.30623298e-08 
 5.75439937e+01  1.66579323e-06  5.25362145e-08 
 5.88843655e+01  1.64928159e-06  5.20154660e-08 
 6.02559586e+01  1.63293839e-06  5.15000300e-08 
 6.16595002e+01  1.61676192e-06  5.09898524e-08 
 6.30957344e+01  1.60075049e-06  5.04848800e-08 
 6.45654229e+01  1.58490243e-06  4.99850598e-08 
 6.60693448e+01  1.56921608e-06  4.94903396e-08 
 6.76082975e+01  1.55368980e-06  4.90006677e-08 
 6.91830971e+01  1.53832196e-06  4.85159929e-08 
 7.07945784e+01  1.52311096e-06  4.80362645e-08 
 7.24435960e+01  1.50805521e-06  4.75614326e-08 
 7.41310241e+01  1.49315314e-06  4.70914473e-08 
 7.58577575e+01  1.47840320e-06  4.66262598e-08 
 7.76247117e+01  1.46380384e-06  4.61658213e-08 
 7.94328235e+01  1.44935353e-06  4.57100840e-08 
 8.12830516e+01  1.43505078e-06  4.52590002e-08 
 8.31763771e+01  1.42089409e-06  4.48125229e-08 
 8.51138038e+01  1.40688198e-06  4.43706055e-08 
 8.70963590e+01  1.39301300e-06  4.39332019e-08 
 8.91250938e+01  1.37928570e-06  4.35002667e-08 
 9.12010839e+01  1.36569864e-06  4.30717546e-08 
 9.33254301e+01  1.35225041e-06  4.26476210e-08 
 9.54992586e+01  1.33893962e-06  4.22278218e-08 
 9.77237221e+01  1.32576487e-06  4.18123132e-08 
 1.00000000e+02  1.31272479e-06  4.14010520e-08 
 1.02329299e+02  1.29981804e-06  4.09939954e-08 
 1.04712855e+02  1.28704325e-06  4.05911010e-08 
 1.07151931e+02  1.27439911e-06  4.01923270e-08 
 1.09647820e+02  1.26188431e-06  3.97976318e-08 
 1.12201845e+02  1.24949753e-06  3.94069745e-08 
 1.14815362e+02  1.23723749e-06  3.90203144e-08 
 1.17489755e+02  1.22510293e-06  3.86376113e-08 
 1.20226443e+02  1.21309257e-06  3.82588255e-08 
 1.23026877e+02  1.20120516e-06  3.78839176e-08 
 1.25892541e+02  1.18943949e-06  3.75128488e-08 
 1.28824955e+02  1.17779432e-06  3.71455804e-08 
 1.31825674e+02  1.16626844e-06  3.67820743e-08 
 1.34896288e+02  1.15486066e-06  3.64222929e-08 
 1.38038426e+02  1.14356980e-06  3.60661988e-08 
 1.41253754e+02  1.13239468e-06  3.57137550e-08 
 1.44543977e+02  1.12133414e-06  3.53649251e-08 
 1.47910839e+02  1.11038704e-06  3.50196728e-08 
