frequency_hz,real,imag,abs,unwrapped_phase_deg,min_singular_value
1.000000000000000000e+00,6.948747722664393485e+06,-8.052315898806663427e+03,6.948752388236677274e+06,-6.639520215829702865e-02,8.065704109148840173e-01
1.019373485938873003e+00,6.948747378250105307e+06,-8.208316945187396414e+03,6.948752226350050420e+06,-6.768150768955608076e-02,8.065704109142205480e-01
1.039122303835168903e+00,6.948747020376322791e+06,-8.367340253017380746e+03,6.948752058144810610e+06,-6.899273338474752604e-02,8.065704109152823653e-01
1.059253725177289107e+00,6.948746648481258191e+06,-8.529444372614862004e+03,6.948751883338534273e+06,-7.032936203055821511e-02,8.065704109141565992e-01
1.079775162327710092e+00,6.948746262040399946e+06,-8.694688988674577558e+03,6.948751701697005890e+06,-7.169188576724486173e-02,8.065704109141030864e-01
1.100694171252210030e+00,6.948745860464300960e+06,-8.863134942003853212e+03,6.948751512932430953e+06,-7.308080626890833820e-02,8.065704109134130828e-01
1.122018454301964008e+00,6.948745443210205995e+06,-9.034844252191558553e+03,6.948751316815508530e+06,-7.449663492928954023e-02,8.065704109145590550e-01
1.143755863049539023e+00,6.948745009620304219e+06,-9.209880140035540535e+03,6.948751113014142029e+06,-7.593989304842617416e-02,8.065704109137596944e-01
1.165914401179831916e+00,6.948744559082705528e+06,-9.388307051214551393e+03,6.948750901254899800e+06,-7.741111202617809162e-02,8.065704109135171107e-01
1.188502227437018943e+00,6.948744090886794962e+06,-9.570190679665000062e+03,6.948750681178868748e+06,-7.891083355658790044e-02,8.065704109134698152e-01
1.211527658628589021e+00,6.948743604386094026e+06,-9.755597992144788805e+03,6.948750452505026944e+06,-8.043960982865774878e-02,8.065704109133849942e-01
1.234999172687585967e+00,6.948743098851877265e+06,-9.944597252539797410e+03,6.948750214884406887e+06,-8.199800372844026630e-02,8.065704109137874500e-01
1.258925411794167948e+00,6.948742573540656827e+06,-1.013725804714937658e+04,6.948749967968133278e+06,-8.358658904682561563e-02,8.065704109137227240e-01
1.283315185557651894e+00,6.948742027676549740e+06,-1.033365131026125891e+04,6.948749711390374228e+06,-8.520595069066964899e-02,8.065704109132452171e-01
1.308177474260195039e+00,6.948741460464070551e+06,-1.053384935029289591e+04,6.948749444781735539e+06,-8.685668489823789029e-02,8.065704109119764542e-01
