 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.88608631e+03 -3.65774171e-01  1.00000000e+00 -9.26516969e-21 -2.88608631e+03  3.65774171e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.88608631e+03 -3.73645866e-01  1.00000000e+00 -9.10822732e-21 -2.88608631e+03  3.73645866e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.88608631e+03 -3.81655137e-01  1.00000000e+00 -8.95319674e-21 -2.88608631e+03  3.81655137e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.88608631e+03 -3.89804933e-01  1.00000000e+00 -8.80010152e-21 -2.88608631e+03  3.89804933e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.88608630e+03 -3.98098254e-01  1.00000000e+00 -8.64896145e-21 -2.88608630e+03  3.98098254e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.88608630e+03 -4.06538155e-01  1.00000000e+00 -8.49979275e-21 -2.88608630e+03  4.06538155e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.88608630e+03 -4.15127742e-01  1.00000000e+00 -8.35260837e-21 -2.88608630e+03  4.15127742e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.88608630e+03 -4.23870179e-01  1.00000000e+00 -8.20741818e-21 -2.88608630e+03  4.23870179e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.88608629e+03 -4.32768684e-01  1.00000000e+00 -8.06422921e-21 -2.88608629e+03  4.32768684e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.88608629e+03 -4.41826534e-01  1.00000000e+00 -7.92304582e-21 -2.88608629e+03  4.41826534e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.88608629e+03 -4.51047064e-01  1.00000000e+00 -7.78386995e-21 -2.88608629e+03  4.51047064e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
