 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 1.71132830e+00  2.41957292e+03 -5.12737882e-01  1.00000000e+00 -4.43475122e-21 -2.41957292e+03  5.12737882e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.74448270e+00  2.41957292e+03 -5.23055837e-01  1.00000000e+00 -4.35366746e-21 -2.41957292e+03  5.23055837e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+00  2.41957291e+03 -5.33566382e-01  1.00000000e+00 -4.27394572e-21 -2.41957291e+03  5.33566382e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.81273088e+00  2.41957291e+03 -5.44273384e-01  1.00000000e+00 -4.19557013e-21 -2.41957291e+03  5.44273384e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.84784980e+00  2.41957290e+03 -5.55180787e-01  1.00000000e+00 -4.11852457e-21 -2.41957290e+03  5.55180787e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.88364909e+00  2.41957290e+03 -5.66292607e-01  1.00000000e+00 -4.04279267e-21 -2.41957290e+03  5.66292607e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.92014194e+00  2.41957289e+03 -5.77612935e-01  1.00000000e+00 -3.96835790e-21 -2.41957289e+03  5.77612935e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.95734178e+00  2.41957289e+03 -5.89145939e-01  1.00000000e+00 -3.89520355e-21 -2.41957289e+03  5.89145939e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.41957288e+03 -6.00895866e-01  1.00000000e+00 -3.82331281e-21 -2.41957288e+03  6.00895866e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.03391750e+00  2.41957288e+03 -6.12867042e-01  1.00000000e+00 -3.75266874e-21 -2.41957288e+03  6.12867042e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.07332157e+00  2.41957287e+03 -6.25063874e-01  1.00000000e+00 -3.68325434e-21 -2.41957287e+03  6.25063874e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.11348904e+00  2.41957286e+03 -6.37490855e-01  1.00000000e+00 -3.61505256e-21 -2.41957286e+03  6.37490855e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.15443469e+00  2.41957286e+03 -6.50152558e-01  1.00000000e+00 -3.54804632e-21 -2.41957286e+03  6.50152558e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.19617360e+00  2.41957285e+03 -6.63053646e-01  1.00000000e+00 -3.48221853e-21 -2.41957285e+03  6.63053646e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.23872114e+00  2.41957284e+03 -6.76198870e-01  1.00000000e+00 -3.41755211e-21 -2.41957284e+03  6.76198870e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.28209297e+00  2.41957283e+03 -6.89593069e-01  1.00000000e+00 -3.35403000e-21 -2.41957283e+03  6.89593069e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.32630507e+00  2.41957283e+03 -7.03241175e-01  1.00000000e+00 -3.29163520e-21 -2.41957283e+03  7.03241175e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.37137371e+00  2.41957282e+03 -7.17148213e-01  1.00000000e+00 -3.23035074e-21 -2.41957282e+03  7.17148213e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.41731548e+00  2.41957281e+03 -7.31319304e-01  1.00000000e+00 -3.17015976e-21 -2.41957281e+03  7.31319304e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.46414731e+00  2.41957280e+03 -7.45759666e-01  1.00000000e+00 -3.11104545e-21 -2.41957280e+03  7.45759666e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.41957279e+03 -7.60474616e-01  1.00000000e+00 -3.05299111e-21 -2.41957279e+03  7.60474616e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.56055043e+00  2.41957278e+03 -7.75469570e-01  1.00000000e+00 -2.99598016e-21 -2.41957278e+03  7.75469570e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.61015722e+00  2.41957277e+03 -7.90750052e-01  1.00000000e+00 -2.93999612e-21 -2.41957277e+03  7.90750052e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.66072506e+00  2.41957276e+03 -8.06321686e-01  1.00000000e+00 -2.88502264e-21 -2.41957276e+03  8.06321686e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.71227258e+00  2.41957275e+03 -8.22190207e-01  1.00000000e+00 -2.83104350e-21 -2.41957275e+03  8.22190207e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.76481875e+00  2.41957274e+03 -8.38361456e-01  1.00000000e+00 -2.77804262e-21 -2.41957274e+03  8.38361456e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.81838293e+00  2.41957273e+03 -8.54841389e-01  1.00000000e+00 -2.72600408e-21 -2.41957273e+03  8.54841389e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.87298483e+00  2.41957272e+03 -8.71636073e-01  1.00000000e+00 -2.67491211e-21 -2.41957272e+03  8.71636073e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.92864456e+00  2.41957270e+03 -8.88751692e-01  1.00000000e+00 -2.62475108e-21 -2.41957270e+03  8.88751692e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.98538262e+00  2.41957269e+03 -9.06194548e-01  1.00000000e+00 -2.57550555e-21 -2.41957269e+03  9.06194548e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.04321989e+00  2.41957268e+03 -9.23971063e-01  1.00000000e+00 -2.52716023e-21 -2.41957268e+03  9.23971063e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.10217766e+00  2.41957266e+03 -9.42087783e-01  1.00000000e+00 -2.47970002e-21 -2.41957266e+03  9.42087783e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.41957265e+03 -9.60551377e-01  1.00000000e+00 -2.43310997e-21 -2.41957265e+03  9.60551377e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.22354200e+00  2.41957263e+03 -9.79368645e-01  1.00000000e+00 -2.38737534e-21 -2.41957263e+03  9.79368645e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.28599325e+00  2.41957262e+03 -9.98546515e-01  1.00000000e+00 -2.34248153e-21 -2.41957262e+03  9.98546515e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.34965439e+00  2.41957260e+03 -1.01809205e+00  1.00000000e+00 -2.29841417e-21 -2.41957260e+03  1.01809205e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.41454887e+00  2.41957259e+03 -1.03801244e+00  1.00000000e+00 -2.25515904e-21 -2.41957259e+03  1.03801244e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.48070059e+00  2.41957257e+03 -1.05831503e+00  1.00000000e+00 -2.21270213e-21 -2.41957257e+03  1.05831503e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.54813389e+00  2.41957255e+03 -1.07900728e+00  1.00000000e+00 -2.17102958e-21 -2.41957255e+03  1.07900728e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.61687361e+00  2.41957253e+03 -1.10009683e+00  1.00000000e+00 -2.13012777e-21 -2.41957253e+03  1.10009683e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.68694506e+00  2.41957251e+03 -1.12159142e+00  1.00000000e+00 -2.08998322e-21 -2.41957251e+03  1.12159142e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.75837404e+00  2.41957249e+03 -1.14349899e+00  1.00000000e+00 -2.05058268e-21 -2.41957249e+03  1.14349899e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.83118685e+00  2.41957247e+03 -1.16582759e+00  1.00000000e+00 -2.01191306e-21 -2.41957247e+03  1.16582759e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.90541029e+00  2.41957245e+03 -1.18858544e+00  1.00000000e+00 -1.97396147e-21 -2.41957245e+03  1.18858544e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.41957242e+03 -1.21178093e+00  1.00000000e+00 -1.93671522e-21 -2.41957242e+03  1.21178093e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.05819894e+00  2.41957240e+03 -1.23542260e+00  1.00000000e+00 -1.90016178e-21 -2.41957240e+03  1.23542260e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.13682040e+00  2.41957237e+03 -1.25951914e+00  1.00000000e+00 -1.86428884e-21 -2.41957237e+03  1.25951914e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.21696503e+00  2.41957235e+03 -1.28407944e+00  1.00000000e+00 -1.82908425e-21 -2.41957235e+03  1.28407944e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.29866235e+00  2.41957232e+03 -1.30911253e+00  1.00000000e+00 -1.79453607e-21 -2.41957232e+03  1.30911253e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.38194242e+00  2.41957229e+03 -1.33462764e+00  1.00000000e+00 -1.76063253e-21 -2.41957229e+03  1.33462764e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.46683592e+00  2.41957227e+03 -1.36063415e+00  1.00000000e+00 -1.72736205e-21 -2.41957227e+03  1.36063415e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.55337410e+00  2.41957224e+03 -1.38714164e+00  1.00000000e+00 -1.69471323e-21 -2.41957224e+03  1.38714164e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.64158883e+00  2.41957220e+03 -1.41415988e+00  1.00000000e+00 -1.66267484e-21 -2.41957220e+03  1.41415988e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.73151259e+00  2.41957217e+03 -1.44169881e+00  1.00000000e+00 -1.63123585e-21 -2.41957217e+03  1.44169881e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.82317848e+00  2.41957214e+03 -1.46976856e+00  1.00000000e+00 -1.60038541e-21 -2.41957214e+03  1.46976856e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.91662026e+00  2.41957210e+03 -1.49837949e+00  1.00000000e+00 -1.57011282e-21 -2.41957210e+03  1.49837949e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.41957207e+03 -1.52754211e+00  1.00000000e+00 -1.54040758e-21 -2.41957207e+03  1.52754211e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.10896977e+00  2.41957203e+03 -1.55726717e+00  1.00000000e+00 -1.51125936e-21 -2.41957203e+03  1.55726717e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.20794833e+00  2.41957199e+03 -1.58756561e+00  1.00000000e+00 -1.48265798e-21 -2.41957199e+03  1.58756561e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.30884444e+00  2.41957195e+03 -1.61844859e+00  1.00000000e+00 -1.45459347e-21 -2.41957195e+03  1.61844859e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.41169527e+00  2.41957191e+03 -1.64992747e+00  1.00000000e+00 -1.42705597e-21 -2.41957191e+03  1.64992747e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.51653867e+00  2.41957186e+03 -1.68201386e+00  1.00000000e+00 -1.40003585e-21 -2.41957186e+03  1.68201386e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.62341325e+00  2.41957182e+03 -1.71471956e+00  1.00000000e+00 -1.37352360e-21 -2.41957182e+03  1.71471956e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.73235837e+00  2.41957177e+03 -1.74805661e+00  1.00000000e+00 -1.34750988e-21 -2.41957177e+03  1.74805661e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.84341413e+00  2.41957172e+03 -1.78203729e+00  1.00000000e+00 -1.32198552e-21 -2.41957172e+03  1.78203729e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.95662144e+00  2.41957167e+03 -1.81667412e+00  1.00000000e+00 -1.29694151e-21 -2.41957167e+03  1.81667412e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.07202196e+00  2.41957161e+03 -1.85197983e+00  1.00000000e+00 -1.27236897e-21 -2.41957161e+03  1.85197983e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.18965819e+00  2.41957156e+03 -1.88796744e+00  1.00000000e+00 -1.24825920e-21 -2.41957156e+03  1.88796744e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.41957150e+03 -1.92465020e+00  1.00000000e+00 -1.22460364e-21 -2.41957150e+03  1.92465020e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.43181188e+00  2.41957144e+03 -1.96204160e+00  1.00000000e+00 -1.20139389e-21 -2.41957144e+03  1.96204160e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.55641849e+00  2.41957138e+03 -2.00015542e+00  1.00000000e+00 -1.17862168e-21 -2.41957138e+03  2.00015542e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.68343918e+00  2.41957131e+03 -2.03900570e+00  1.00000000e+00 -1.15627890e-21 -2.41957131e+03  2.03900570e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.81292069e+00  2.41957125e+03 -2.07860672e+00  1.00000000e+00 -1.13435757e-21 -2.41957125e+03  2.07860672e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.94491071e+00  2.41957118e+03 -2.11897309e+00  1.00000000e+00 -1.11284987e-21 -2.41957118e+03  2.11897309e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
