 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.76809207e+03 -3.41445560e-01  1.00000000e+00 -8.64891868e-21  2.76809207e+03 -3.41445560e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.76809207e+03 -3.48800523e-01  1.00000000e+00 -8.50258157e-21  2.76809207e+03 -3.48800523e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.76809207e+03 -3.56283913e-01  1.00000000e+00 -8.35801662e-21  2.76809207e+03 -3.56283913e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.76809206e+03 -3.63898487e-01  1.00000000e+00 -8.21524658e-21  2.76809206e+03 -3.63898487e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.76809206e+03 -3.71647048e-01  1.00000000e+00 -8.07429062e-21  2.76809206e+03 -3.71647048e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.76809206e+03 -3.79532448e-01  1.00000000e+00 -7.93516458e-21  2.76809206e+03 -3.79532448e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.76809206e+03 -3.87557592e-01  1.00000000e+00 -7.79788117e-21  2.76809206e+03 -3.87557592e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.76809206e+03 -3.95725434e-01  1.00000000e+00 -7.66245021e-21  2.76809206e+03 -3.95725434e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.76809205e+03 -4.04038982e-01  1.00000000e+00 -7.52887881e-21  2.76809205e+03 -4.04038982e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.76809205e+03 -4.12501296e-01  1.00000000e+00 -7.39717159e-21  2.76809205e+03 -4.12501296e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.76809205e+03 -4.21115493e-01  1.00000000e+00 -7.26733086e-21  2.76809205e+03 -4.21115493e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.76809205e+03 -4.29884744e-01  1.00000000e+00 -7.13935674e-21  2.76809205e+03 -4.29884744e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.76809204e+03 -4.38812277e-01  1.00000000e+00 -7.01324739e-21  2.76809204e+03 -4.38812277e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  2.76809204e+03 -4.47901381e-01  1.00000000e+00 -6.88899911e-21  2.76809204e+03 -4.47901381e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  2.76809204e+03 -4.57155402e-01  1.00000000e+00 -6.76660649e-21  2.76809204e+03 -4.57155402e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  2.76809203e+03 -4.66577746e-01  1.00000000e+00 -6.64606255e-21  2.76809203e+03 -4.66577746e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.35935639e+00  2.76809203e+03 -4.76171884e-01  1.00000000e+00 -6.52735887e-21  2.76809203e+03 -4.76171884e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.38569186e+00  2.76809203e+03 -4.85941347e-01  1.00000000e+00 -6.41048568e-21  2.76809203e+03 -4.85941347e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.41253754e+00  2.76809202e+03 -4.95889734e-01  1.00000000e+00 -6.29543200e-21  2.76809202e+03 -4.95889734e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.43990332e+00  2.76809202e+03 -5.06020706e-01  1.00000000e+00 -6.18218572e-21  2.76809202e+03 -5.06020706e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.46779927e+00  2.76809202e+03 -5.16337994e-01  1.00000000e+00 -6.07073370e-21  2.76809202e+03 -5.16337994e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
