 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.01953502e+03 -2.25187943e-01  1.00000000e+00  0.00000000e+00  2.01953502e+03 -2.25187943e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.01953502e+03 -2.30105701e-01  1.00000000e+00  2.77555756e-17  2.01953502e+03 -2.30105701e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.01953502e+03 -2.35108183e-01  1.00000000e+00 -2.77555756e-17  2.01953502e+03 -2.35108183e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.01953502e+03 -2.40197231e-01  1.00000000e+00  2.77555756e-17  2.01953502e+03 -2.40197231e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.01953501e+03 -2.45374720e-01  1.00000000e+00  0.00000000e+00  2.01953501e+03 -2.45374720e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.01953501e+03 -2.50642555e-01  1.00000000e+00  5.55111512e-17  2.01953501e+03 -2.50642555e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.01953501e+03 -2.56002677e-01  1.00000000e+00 -5.55111512e-17  2.01953501e+03 -2.56002677e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.01953501e+03 -2.61457058e-01  1.00000000e+00  0.00000000e+00  2.01953501e+03 -2.61457058e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.01953501e+03 -2.67007708e-01  1.00000000e+00  5.55111512e-17  2.01953501e+03 -2.67007708e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.01953501e+03 -2.72656669e-01  1.00000000e+00 -5.55111512e-17  2.01953501e+03 -2.72656669e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
