 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.71132830e+00  2.60566887e+03 -5.47202002e-01  1.00000000e+00 -4.73283660e-21  2.60566887e+03 -5.47202002e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.74448270e+00  2.60566887e+03 -5.58199219e-01  1.00000000e+00 -4.64618395e-21  2.60566887e+03 -5.58199219e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+00  2.60566886e+03 -5.69401965e-01  1.00000000e+00 -4.56099377e-21  2.60566886e+03 -5.69401965e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.81273088e+00  2.60566886e+03 -5.80814363e-01  1.00000000e+00 -4.47724860e-21  2.60566886e+03 -5.80814363e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.84784980e+00  2.60566885e+03 -5.92440617e-01  1.00000000e+00 -4.39493069e-21  2.60566885e+03 -5.92440617e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.88364909e+00  2.60566885e+03 -6.04285006e-01  1.00000000e+00 -4.31402211e-21  2.60566885e+03 -6.04285006e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.92014194e+00  2.60566884e+03 -6.16351892e-01  1.00000000e+00 -4.23450477e-21  2.60566884e+03 -6.16351892e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.95734178e+00  2.60566884e+03 -6.28645718e-01  1.00000000e+00 -4.15636041e-21  2.60566884e+03 -6.28645718e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.60566883e+03 -6.41171010e-01  1.00000000e+00 -4.07957067e-21  2.60566883e+03 -6.41171010e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.03391750e+00  2.60566882e+03 -6.53932381e-01  1.00000000e+00 -4.00411711e-21  2.60566882e+03 -6.53932381e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.07332157e+00  2.60566882e+03 -6.66934528e-01  1.00000000e+00 -3.92998123e-21  2.60566882e+03 -6.66934528e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.11348904e+00  2.60566881e+03 -6.80182240e-01  1.00000000e+00 -3.85714450e-21  2.60566881e+03 -6.80182240e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
