 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.52655763e+03 -3.10103489e-01  1.00000000e+00 -7.85501477e-21  2.52655763e+03 -3.10103489e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.52655762e+03 -3.16810920e-01  1.00000000e+00 -7.72278303e-21  2.52655762e+03 -3.16810920e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.52655762e+03 -3.23635002e-01  1.00000000e+00 -7.59211036e-21  2.52655762e+03 -3.23635002e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.52655762e+03 -3.30578245e-01  1.00000000e+00 -7.46302049e-21  2.52655762e+03 -3.30578245e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.52655762e+03 -3.37643206e-01  1.00000000e+00 -7.33553371e-21  2.52655762e+03 -3.37643206e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.52655762e+03 -3.44832488e-01  1.00000000e+00 -7.20966713e-21  2.52655762e+03 -3.44832488e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.52655761e+03 -3.52148736e-01  1.00000000e+00 -7.08543486e-21  2.52655761e+03 -3.52148736e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.52655761e+03 -3.59594645e-01  1.00000000e+00 -6.96284823e-21  2.52655761e+03 -3.59594645e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.52655761e+03 -3.67172956e-01  1.00000000e+00 -6.84191599e-21  2.52655761e+03 -3.67172956e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.52655761e+03 -3.74886460e-01  1.00000000e+00 -6.72264447e-21  2.52655761e+03 -3.74886460e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.52655761e+03 -3.82737996e-01  1.00000000e+00 -6.60503778e-21  2.52655761e+03 -3.82737996e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.52655760e+03 -3.90730456e-01  1.00000000e+00 -6.48909795e-21  2.52655760e+03 -3.90730456e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.52655760e+03 -3.98866783e-01  1.00000000e+00 -6.37482510e-21  2.52655760e+03 -3.98866783e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  2.52655760e+03 -4.07149971e-01  1.00000000e+00 -6.26221755e-21  2.52655760e+03 -4.07149971e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  2.52655760e+03 -4.15583072e-01  1.00000000e+00 -6.15127198e-21  2.52655760e+03 -4.15583072e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
