 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.35646062e+03 -2.80130265e-01  1.00000000e+00  5.55111512e-17  2.35646062e+03 -2.80130265e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.35646062e+03 -2.86215267e-01  1.00000000e+00  5.55111512e-17  2.35646062e+03 -2.86215267e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.35646062e+03 -2.92405652e-01  1.00000000e+00  0.00000000e+00  2.35646062e+03 -2.92405652e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.35646062e+03 -2.98703701e-01  1.00000000e+00  0.00000000e+00  2.35646062e+03 -2.98703701e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.35646062e+03 -3.05111733e-01  1.00000000e+00  0.00000000e+00  2.35646062e+03 -3.05111733e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.35646062e+03 -3.11632106e-01  1.00000000e+00  0.00000000e+00  2.35646062e+03 -3.11632106e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.35646061e+03 -3.18267221e-01  1.00000000e+00  0.00000000e+00  2.35646061e+03 -3.18267221e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.35646061e+03 -3.25019522e-01  1.00000000e+00 -5.55111512e-17  2.35646061e+03 -3.25019522e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.35646061e+03 -3.31891495e-01  1.00000000e+00  0.00000000e+00  2.35646061e+03 -3.31891495e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.35646061e+03 -3.38885670e-01  1.00000000e+00  0.00000000e+00  2.35646061e+03 -3.38885670e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.35646061e+03 -3.46004622e-01  1.00000000e+00  0.00000000e+00  2.35646061e+03 -3.46004622e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.35646060e+03 -3.53250972e-01  1.00000000e+00  5.55111512e-17  2.35646060e+03 -3.53250972e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.35646060e+03 -3.60627389e-01  1.00000000e+00 -5.55111512e-17  2.35646060e+03 -3.60627389e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  2.35646060e+03 -3.68136588e-01  1.00000000e+00  5.55111512e-17  2.35646060e+03 -3.68136588e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  2.35646060e+03 -3.75781335e-01  1.00000000e+00  0.00000000e+00  2.35646060e+03 -3.75781335e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
