 frequency       av              ph             
 1.88364909e+01 -8.45988559e-03 -1.58990190e-04 
 1.93865264e+01 -8.45988559e-03 -1.63632787e-04 
 1.99526231e+01 -8.45988559e-03 -1.68410951e-04 
 2.05352503e+01 -8.45988559e-03 -1.73328639e-04 
 2.11348904e+01 -8.45988559e-03 -1.78389927e-04 
 2.17520403e+01 -8.45988560e-03 -1.83599007e-04 
 2.23872114e+01 -8.45988560e-03 -1.88960195e-04 
 2.30409298e+01 -8.45988560e-03 -1.94477932e-04 
 2.37137371e+01 -8.45988560e-03 -2.00156790e-04 
 2.44061907e+01 -8.45988561e-03 -2.06001474e-04 
 2.51188643e+01 -8.45988561e-03 -2.12016826e-04 
 2.58523484e+01 -8.45988562e-03 -2.18207829e-04 
 2.66072506e+01 -8.45988562e-03 -2.24579612e-04 
 2.73841963e+01 -8.45988562e-03 -2.31137455e-04 
 2.81838293e+01 -8.45988563e-03 -2.37886791e-04 
 2.90068120e+01 -8.45988563e-03 -2.44833211e-04 
 2.98538262e+01 -8.45988564e-03 -2.51982469e-04 
 3.07255737e+01 -8.45988564e-03 -2.59340490e-04 
 3.16227766e+01 -8.45988565e-03 -2.66913369e-04 
 3.25461783e+01 -8.45988565e-03 -2.74707381e-04 
 3.34965439e+01 -8.45988566e-03 -2.82728981e-04 
 3.44746607e+01 -8.45988566e-03 -2.90984816e-04 
 3.54813389e+01 -8.45988567e-03 -2.99481726e-04 
 3.65174127e+01 -8.45988568e-03 -3.08226751e-04 
 3.75837404e+01 -8.45988569e-03 -3.17227134e-04 
 3.86812055e+01 -8.45988569e-03 -3.26490334e-04 
 3.98107171e+01 -8.45988570e-03 -3.36024024e-04 
 4.09732110e+01 -8.45988571e-03 -3.45836102e-04 
 4.21696503e+01 -8.45988572e-03 -3.55934699e-04 
 4.34010264e+01 -8.45988573e-03 -3.66328180e-04 
 4.46683592e+01 -8.45988574e-03 -3.77025156e-04 
 4.59726989e+01 -8.45988575e-03 -3.88034489e-04 
 4.73151259e+01 -8.45988576e-03 -3.99365300e-04 
 4.86967525e+01 -8.45988577e-03 -4.11026978e-04 
 5.01187234e+01 -8.45988579e-03 -4.23029182e-04 
 5.15822165e+01 -8.45988580e-03 -4.35381857e-04 
 5.30884444e+01 -8.45988582e-03 -4.48095237e-04 
 5.46386550e+01 -8.45988583e-03 -4.61179854e-04 
 5.62341325e+01 -8.45988585e-03 -4.74646549e-04 
 5.78761988e+01 -8.45988587e-03 -4.88506479e-04 
 5.95662144e+01 -8.45988588e-03 -5.02771125e-04 
 6.13055792e+01 -8.45988590e-03 -5.17452307e-04 
 6.30957344e+01 -8.45988592e-03 -5.32562187e-04 
 6.49381632e+01 -8.45988595e-03 -5.48113284e-04 
 6.68343918e+01 -8.45988597e-03 -5.64118481e-04 
 6.87859912e+01 -8.45988600e-03 -5.80591038e-04 
 7.07945784e+01 -8.45988602e-03 -5.97544602e-04 
 7.28618175e+01 -8.45988605e-03 -6.14993220e-04 
 7.49894209e+01 -8.45988608e-03 -6.32951346e-04 
 7.71791516e+01 -8.45988611e-03 -6.51433859e-04 
 7.94328235e+01 -8.45988614e-03 -6.70456071e-04 
 8.17523038e+01 -8.45988618e-03 -6.90033742e-04 
 8.41395142e+01 -8.45988621e-03 -7.10183091e-04 
 8.65964323e+01 -8.45988625e-03 -7.30920811e-04 
 8.91250938e+01 -8.45988630e-03 -7.52264085e-04 
