frequency_hz,real,imag,abs,unwrapped_phase_deg,min_singular_value
1.000000000000000000e+00,9.458540144910875708e+06,-2.127683736851581853e+04,9.458564075836196542e+06,-1.288857379351120713e-01,9.425492360499910793e-01
1.019373485938873003e+00,9.458538375304505229e+06,-2.168904005597578725e+04,9.458563242457415909e+06,-1.313826967247509747e-01,9.425492360490647092e-01
1.039122303835168903e+00,9.458536535568643361e+06,-2.210922831586139000e+04,9.458562375576088205e+06,-1.339280298693534266e-01,9.425492360496894317e-01
1.059253725177289107e+00,9.458534623880391940e+06,-2.253755684706110333e+04,9.458561474802223966e+06,-1.365226745349129855e-01,9.425492360480292042e-01
1.079775162327710092e+00,9.458532637427538633e+06,-2.297418334079320994e+04,9.458560538812559098e+06,-1.391675860305404133e-01,9.425492360494762689e-01
1.100694171252210030e+00,9.458530573234766722e+06,-2.341926854221758185e+04,9.458559566178979352e+06,-1.418637381707290590e-01,9.425492360492512267e-01
1.122018454301964008e+00,9.458528428309056908e+06,-2.387297631024942530e+04,9.458558555516190827e+06,-1.446121236357756912e-01,9.425492360474417852e-01
1.143755863049539023e+00,9.458526199403325096e+06,-2.433547367683488847e+04,9.458557505247730762e+06,-1.474137543346457635e-01,9.425492360472061959e-01
1.165914401179831916e+00,9.458523883331108838e+06,-2.480693090947094606e+04,9.458556413923118263e+06,-1.502696617791644818e-01,9.425492360467950803e-01
1.188502227437018943e+00,9.458521476664982736e+06,-2.528752157305412038e+04,9.458555279918812215e+06,-1.531808974635629761e-01,9.425492360478544551e-01
1.211527658628589021e+00,9.458518975823272020e+06,-2.577742259369939347e+04,9.458554101527594030e+06,-1.561485332501089673e-01,9.425492360466352082e-01
1.234999172687585967e+00,9.458516377173839137e+06,-2.627681432444797611e+04,9.458552877065114677e+06,-1.591736617657462383e-01,9.425492360470640874e-01
1.258925411794167948e+00,9.458513676877753809e+06,-2.678588061084188303e+04,9.458551604716422036e+06,-1.622573968021989166e-01,9.425492360467239150e-01
1.283315185557651894e+00,9.458510870940569788e+06,-2.730480885877733817e+04,9.458550282590232790e+06,-1.654008737265640350e-01,9.425492360449578833e-01
1.308177474260195039e+00,9.458507955155767500e+06,-2.783379010322977774e+04,9.458548908665454015e+06,-1.686052498990200654e-01,9.425492360452859542e-01
1.333521432163325082e+00,9.458504925322074443e+06,-2.837301907924050101e+04,9.458547481011744589e+06,-1.718717050993892326e-01,9.425492360449201357e-01
1.359356390878527110e+00,9.458501777012437582e+06,-2.892269429306146776e+04,9.458545997561812401e+06,-1.752014419625226860e-01,9.425492360449081453e-01
1.385691862803128949e+00,9.458498505491182208e+06,-2.948301809406180109e+04,9.458544456032061949e+06,-1.785956864159964630e-01,9.425492360443770146e-01
