frequency_hz,real,imag,abs,unwrapped_phase_deg,min_singular_value
1.000000000000000000e+00,6.948524624173991382e+06,-8.165265079370845342e+03,6.948529421705439687e+06,-6.732868308258152523e-02,8.065706695263941128e-01
1.019373485938873003e+00,6.948524271894101053e+06,-8.323454333261732245e+03,6.948529257115744054e+06,-6.863307336984510176e-02,8.065706695260091985e-01
1.039122303835168903e+00,6.948523905840721913e+06,-8.484708241082977111e+03,6.948529086095410399e+06,-6.996273418427396973e-02,8.065706695263541448e-01
1.059253725177289107e+00,6.948523525472396985e+06,-8.649086174496762396e+03,6.948528908390250988e+06,-7.131815510069113018e-02,8.065706695256709136e-01
1.079775162327710092e+00,6.948523130264322273e+06,-8.816648655365343075e+03,6.948528723773961887e+06,-7.269983517846689836e-02,8.065706695247871760e-01
1.100694171252210030e+00,6.948522719521560706e+06,-8.987457377658516634e+03,6.948528531861794181e+06,-7.410828314414835694e-02,8.065706695254740710e-01
1.122018454301964008e+00,6.948522292735042050e+06,-9.161575230978856780e+03,6.948528332466994412e+06,-7.554401758175775805e-02,8.065706695257431891e-01
1.143755863049539023e+00,6.948521849274344742e+06,-9.339066322983631835e+03,6.948528125294071622e+06,-7.700756712090350842e-02,8.065706695251078084e-01
1.165914401179831916e+00,6.948521388431708328e+06,-9.519996003075304543e+03,6.948527909983294085e+06,-7.849947063176802853e-02,8.065706695255161485e-01
1.188502227437018943e+00,6.948520909587097354e+06,-9.704430886898433528e+03,6.948527686276275665e+06,-8.002027742530011534e-02,8.065706695241041668e-01
1.211527658628589021e+00,6.948520411985348910e+06,-9.892438880272820825e+03,6.948527453793647699e+06,-8.157054745309672006e-02,8.065706695236269930e-01
1.234999172687585967e+00,6.948519894920317456e+06,-1.008408920464919902e+04,6.948527212219762616e+06,-8.315085151526660501e-02,8.065706695245495883e-01
1.258925411794167948e+00,6.948519357649967074e+06,-1.027945242239427716e+04,6.948526961218357086e+06,-8.476177146992175393e-02,8.065706695241444679e-01
1.283315185557651894e+00,6.948518799326286651e+06,-1.047860046258568946e+04,6.948526700363068841e+06,-8.640390044680561210e-02,8.065706695246069868e-01
1.308177474260195039e+00,6.948518219205158763e+06,-1.068160664805134184e+04,6.948526429347924888e+06,-8.807784306773733252e-02,8.065706695240709712e-01
1.333521432163325082e+00,6.948517616362453438e+06,-1.088854572153834306e+04,6.948526147704077885e+06,-8.978421566595681802e-02,8.065706695235794754e-01
1.359356390878527110e+00,6.948516989925703034e+06,-1.109949387394321639e+04,6.948525855032160878e+06,-9.152364651609420920e-02,8.065706695235534962e-01
1.385691862803128949e+00,6.948516338981676847e+06,-1.131452877200978764e+04,6.948525550910542719e+06,-9.329677606375955112e-02,8.065706695230442369e-01
