voltage_V,current_A,reference_current_A,resistance_ohm,reference_resistance_ohm,absolute_current_error_A,relative_current_error
0.0,-0.0,0.0,,1239.868268893186,0.0,
0.001,8.066372362214416e-07,8.066372362214416e-07,1239.7146512654613,1239.7146512654613,0.0,0.0
0.002,1.613474614070411e-06,1.6134746140704108e-06,1239.560872268376,1239.5608722683762,2.117582368135751e-22,2.220446049250313e-16
0.003,2.420512522641988e-06,2.420512522641988e-06,1239.406932183727,1239.406932183727,0.0,0.0
0.004,3.227751350646921e-06,3.227751350646921e-06,1239.2528312933093,1239.2528312933093,0.0,0.0
0.005,4.035191486411435e-06,4.035191486411434e-06,1239.0985698789193,1239.0985698789195,8.470329472543003e-22,2.220446049250313e-16
0.006,4.842833317877036e-06,4.842833317877036e-06,1238.944148222354,1238.944148222354,0.0,0.0
0.007,5.650677232600321e-06,5.6506772326003206e-06,1238.7895666054083,1238.7895666054085,8.470329472543003e-22,2.220446049250313e-16
0.008,6.458723617752777e-06,6.458723617752776e-06,1238.634825309879,1238.634825309879,8.470329472543003e-22,2.220446049250313e-16
0.009000000000000001,7.266972860120579e-06,7.266972860120578e-06,1238.4799246175617,1238.479924617562,8.470329472543003e-22,2.220446049250313e-16
0.01,8.075425346104385e-06,8.075425346104382e-06,1238.3248648102526,1238.324864810253,3.3881317890172014e-21,4.440892098500626e-16
0.011,8.88408146171913e-06,8.88408146171913e-06,1238.1696461697488,1238.1696461697488,0.0,0.0
0.012,9.692941592593834e-06,9.69294159259383e-06,1238.0142689778447,1238.0142689778452,3.3881317890172014e-21,4.440892098500626e-16
0.013,1.050200612397135e-05,1.050200612397135e-05,1237.858733516338,1237.858733516338,0.0,0.0
0.01400000000000001,1.131127544070821e-05,1.1311275440708208e-05,1237.7030400670233,1237.7030400670235,1.6940658945086007e-21,2.220446049250313e-16
0.01500000000000001,1.212074992727433e-05,1.2120749927274326e-05,1237.5471889116975,1237.547188911698,3.3881317890172014e-21,2.220446049250313e-16
0.01600000000000001,1.293042996775286e-05,1.2930429967752862e-05,1237.3911803321573,1237.391180332157,1.6940658945086007e-21,1.1102230246251565e-16
0.01700000000000001,1.374031594583994e-05,1.3740315945839943e-05,1237.2350146101978,1237.2350146101976,3.3881317890172014e-21,2.220446049250313e-16
0.01800000000000001,1.455040824484446e-05,1.4550408244844459e-05,1237.0786920276148,1237.078692027615,1.6940658945086007e-21,2.220446049250313e-16
0.01900000000000001,1.536070724768785e-05,1.5360707247687846e-05,1236.9222128662052,1236.9222128662054,3.3881317890172014e-21,2.220446049250313e-16
0.02000000000000001,1.617121333690383e-05,1.6171213336903825e-05,1236.7655774077648,1236.765577407765,3.3881317890172014e-21,2.220446049250313e-16
0.02100000000000001,1.69819268946382e-05,1.6981926894638196e-05,1236.6087859340898,1236.60878593409,3.3881317890172014e-21,2.220446049250313e-16
0.02200000000000001,1.779284830264859e-05,1.7792848302648584e-05,1236.4518387269763,1236.4518387269768,6.776263578034403e-21,4.440892098500626e-16
0.02300000000000001,1.860397794230424e-05,1.8603977942304236e-05,1236.2947360682203,1236.2947360682206,3.3881317890172014e-21,2.220446049250313e-16
0.02400000000000001,1.941531619458572e-05,1.9415316194585722e-05,1236.1374782396183,1236.137478239618,3.3881317890172014e-21,2.220446049250313e-16
0.02500000000000002,2.022686344008475e-05,2.0226863440084743e-05,1235.9800655229653,1235.9800655229656,6.776263578034403e-21,4.440892098500626e-16
0.02600000000000002,2.103862005900386e-05,2.1038620059003865e-05,1235.8224982000588,1235.8224982000586,3.3881317890172014e-21,1.1102230246251565e-16
0.02700000000000002,2.185058643115626e-05,2.1850586431156262e-05,1235.6647765526936,1235.6647765526936,3.3881317890172014e-21,1.1102230246251565e-16
0.02800000000000002,2.266276293596549e-05,2.266276293596549e-05,1235.5069008626663,1235.5069008626663,0.0,0.0
0.02900000000000002,2.347514995246519e-05,2.347514995246519e-05,1235.3488714117734,1235.3488714117734,0.0,0.0
0.03000000000000002,2.42877478592989e-05,2.4287747859298896e-05,1235.1906884818102,1235.1906884818104,3.3881317890172014e-21,2.220446049250313e-16
0.03100000000000002,2.51005570347197e-05,2.5100557034719705e-05,1235.032352354574,1235.0323523545737,3.3881317890172014e-21,1.1102230246251565e-16
0.03200000000000002,2.591357785659006e-05,2.5913577856590067e-05,1234.8738633118594,1234.8738633118592,6.776263578034403e-21,2.220446049250313e-16
0.03300000000000002,2.672681070238149e-05,2.6726810702381482e-05,1234.715221635463,1234.7152216354632,6.776263578034403e-21,2.220446049250313e-16
0.03400000000000002,2.754025594917427e-05,2.754025594917427e-05,1234.5564276071818,1234.5564276071818,0.0,0.0
0.03500000000000002,2.835391397365728e-05,2.8353913973657273e-05,1234.3974815088106,1234.3974815088109,6.776263578034403e-21,2.220446049250313e-16
0.03600000000000003,2.916778515212761e-05,2.9167785152127613e-05,1234.2383836221468,1234.2383836221466,3.3881317890172014e-21,1.1102230246251565e-16
0.03700000000000003,2.998186986049035e-05,2.9981869860490353e-05,1234.0791342289851,1234.079134228985,3.3881317890172014e-21,1.1102230246251565e-16
0.03800000000000003,3.079616847425829e-05,3.079616847425828e-05,1233.9197336111222,1233.9197336111224,6.776263578034403e-21,2.220446049250313e-16
0.03900000000000003,3.161068136855165e-05,3.1610681368551645e-05,1233.7601820503542,1233.7601820503546,6.776263578034403e-21,2.220446049250313e-16
0.04000000000000003,3.242540891809778e-05,3.2425408918097776e-05,1233.6004798284778,1233.600479828478,6.776263578034403e-21,2.220446049250313e-16
0.04100000000000003,3.324035149723092e-05,3.324035149723092e-05,1233.4406272272881,1233.4406272272881,0.0,0.0
0.04200000000000003,3.405550947989183e-05,3.4055509479891826e-05,1233.2806245285815,1233.2806245285817,6.776263578034403e-21,2.220446049250313e-16
0.04300000000000003,3.487088323962758e-05,3.487088323962757e-05,1233.1204720141545,1233.1204720141548,6.776263578034403e-21,2.220446049250313e-16
0.04400000000000003,3.568647314959121e-05,3.5686473149591206e-05,1232.9601699658026,1232.9601699658028,6.776263578034403e-21,2.220446049250313e-16
0.04500000000000003,3.650227958254144e-05,3.6502279582541435e-05,1232.7997186653224,1232.7997186653226,6.776263578034403e-21,2.220446049250313e-16
0.04600000000000003,3.731830291084239e-05,3.731830291084238e-05,1232.6391183945098,1232.63911839451,6.776263578034403e-21,2.220446049250313e-16
0.04700000000000003,3.813454350646326e-05,3.813454350646325e-05,1232.4783694351604,1232.4783694351609,1.3552527156068805e-20,4.440892098500626e-16
0.04800000000000004,3.895100174097802e-05,3.895100174097802e-05,1232.3174720690715,1232.3174720690715,0.0,0.0
0.04900000000000004,3.976767798556513e-05,3.976767798556513e-05,1232.156426578038,1232.156426578038,0.0,0.0
0.05000000000000004,4.05845726110072e-05,4.05845726110072e-05,1231.9952332438563,1231.9952332438563,0.0,0.0
0.05100000000000004,4.14016859876907e-05,4.1401685987690696e-05,1231.8338923483225,1231.8338923483227,6.776263578034403e-21,2.220446049250313e-16
0.05200000000000004,4.221901848560561e-05,4.2219018485605614e-05,1231.6724041732334,1231.6724041732332,6.776263578034403e-21,1.1102230246251565e-16
0.05300000000000004,4.303657047434518e-05,4.303657047434518e-05,1231.5107690003838,1231.5107690003838,0.0,0.0
0.05400000000000004,4.38543423231055e-05,4.3854342323105494e-05,1231.3489871115705,1231.3489871115708,6.776263578034403e-21,2.220446049250313e-16
0.05500000000000004,4.467233440068527e-05,4.4672334400685265e-05,1231.1870587885899,1231.18705878859,6.776263578034403e-21,2.220446049250313e-16
0.05600000000000004,4.549054707548543e-05,4.5490547075485424e-05,1231.0249843132374,1231.0249843132376,6.776263578034403e-21,2.220446049250313e-16
0.05700000000000004,4.630898071550883e-05,4.6308980715508814e-05,1230.8627639673095,1230.86276396731,1.3552527156068805e-20,2.220446049250313e-16
0.05800000000000004,4.712763568835993e-05,4.712763568835992e-05,1230.7003980326024,1230.7003980326026,6.776263578034403e-21,2.220446049250313e-16
0.05900000000000005,4.794651236124441e-05,4.794651236124442e-05,1230.5378867909124,1230.5378867909121,6.776263578034403e-21,1.1102230246251565e-16
0.06000000000000005,4.876561110096893e-05,4.876561110096892e-05,1230.3752305240344,1230.3752305240346,1.3552527156068805e-20,2.220446049250313e-16
0.06100000000000005,4.958493227394065e-05,4.958493227394063e-05,1230.2124295137655,1230.212429513766,2.0328790734103208e-20,4.440892098500626e-16
0.06200000000000005,5.040447624616702e-05,5.040447624616702e-05,1230.049484041902,1230.049484041902,0.0,0.0
0.06300000000000004,5.122424338325539e-05,5.1224243383255386e-05,1229.8863943902393,1229.8863943902393,6.776263578034403e-21,2.220446049250313e-16
0.06400000000000004,5.204423405041265e-05,5.204423405041264e-05,1229.7231608405734,1229.7231608405737,6.776263578034403e-21,2.220446049250313e-16
0.06500000000000004,5.286444861244485e-05,5.286444861244484e-05,1229.559783674701,1229.5597836747013,6.776263578034403e-21,2.220446049250313e-16
0.06600000000000004,5.368488743375693e-05,5.368488743375692e-05,1229.3962631744182,1229.3962631744182,6.776263578034403e-21,2.220446049250313e-16
0.06700000000000005,5.450555087835229e-05,5.4505550878352294e-05,1229.2325996215206,1229.2325996215206,6.776263578034403e-21,1.1102230246251565e-16
0.06800000000000005,5.532643930983251e-05,5.53264393098325e-05,1229.0687932978044,1229.0687932978044,6.776263578034403e-21,2.220446049250313e-16
0.06900000000000005,5.614755309139686e-05,5.614755309139686e-05,1228.904844485066,1228.904844485066,0.0,0.0
0.07000000000000005,5.696889258584211e-05,5.696889258584211e-05,1228.740753465101,1228.740753465101,0.0,0.0
0.07100000000000005,5.779045815556202e-05,5.779045815556201e-05,1228.576520519706,1228.576520519706,6.776263578034403e-21,2.220446049250313e-16
0.07200000000000005,5.861225016254703e-05,5.861225016254701e-05,1228.4121459306766,1228.412145930677,2.0328790734103208e-20,4.440892098500626e-16
0.07300000000000005,5.943426896838388e-05,5.943426896838389e-05,1228.2476299798097,1228.2476299798095,6.776263578034403e-21,1.1102230246251565e-16
0.07400000000000005,6.02565149342553e-05,6.02565149342553e-05,1228.0829729489003,1228.0829729489003,0.0,0.0
