 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.41957300e+03 -2.85619193e-01  1.00000000e+00 -7.23482022e-21 -2.41957300e+03  2.85619193e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.41957300e+03 -2.91810529e-01  1.00000000e+00 -7.11335775e-21 -2.41957300e+03  2.91810529e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.41957299e+03 -2.98109310e-01  1.00000000e+00 -6.99330660e-21 -2.41957299e+03  2.98109310e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.41957299e+03 -3.04517854e-01  1.00000000e+00 -6.87469013e-21 -2.41957299e+03  3.04517854e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.41957299e+03 -3.11038521e-01  1.00000000e+00 -6.75752845e-21 -2.41957299e+03  3.11038521e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.41957299e+03 -3.17673712e-01  1.00000000e+00 -6.64183863e-21 -2.41957299e+03  3.17673712e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.41957299e+03 -3.24425870e-01  1.00000000e+00 -6.52763493e-21 -2.41957299e+03  3.24425870e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.41957299e+03 -3.31297482e-01  1.00000000e+00 -6.41492897e-21 -2.41957299e+03  3.31297482e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.41957298e+03 -3.38291076e-01  1.00000000e+00 -6.30372990e-21 -2.41957298e+03  3.38291076e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.41957298e+03 -3.45409229e-01  1.00000000e+00 -6.19404463e-21 -2.41957298e+03  3.45409229e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.41957298e+03 -3.52654561e-01  1.00000000e+00 -6.08587792e-21 -2.41957298e+03  3.52654561e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.41957298e+03 -3.60029740e-01  1.00000000e+00 -5.97923257e-21 -2.41957298e+03  3.60029740e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.41957297e+03 -3.67537482e-01  1.00000000e+00 -5.87410957e-21 -2.41957297e+03  3.67537482e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  2.41957297e+03 -3.75180550e-01  1.00000000e+00 -5.77050820e-21 -2.41957297e+03  3.75180550e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  2.41957297e+03 -3.82961759e-01  1.00000000e+00 -5.66842618e-21 -2.41957297e+03  3.82961759e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  2.41957297e+03 -3.90883974e-01  1.00000000e+00 -5.56785979e-21 -2.41957297e+03  3.90883974e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.35935639e+00  2.41957296e+03 -3.98950112e-01  1.00000000e+00 -5.46880397e-21 -2.41957296e+03  3.98950112e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.38569186e+00  2.41957296e+03 -4.07163143e-01  1.00000000e+00 -5.37125242e-21 -2.41957296e+03  4.07163143e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.41253754e+00  2.41957296e+03 -4.15526091e-01  1.00000000e+00 -5.27519773e-21 -2.41957296e+03  4.15526091e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.43990332e+00  2.41957296e+03 -4.24042035e-01  1.00000000e+00 -5.18063141e-21 -2.41957296e+03  4.24042035e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.46779927e+00  2.41957295e+03 -4.32714111e-01  1.00000000e+00 -5.08754405e-21 -2.41957295e+03  4.32714111e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.49623566e+00  2.41957295e+03 -4.41545511e-01  1.00000000e+00 -4.99592534e-21 -2.41957295e+03  4.41545511e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.52522296e+00  2.41957295e+03 -4.50539488e-01  1.00000000e+00 -4.90576417e-21 -2.41957295e+03  4.50539488e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.55477184e+00  2.41957294e+03 -4.59699353e-01  1.00000000e+00 -4.81704873e-21 -2.41957294e+03  4.59699353e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.41957294e+03 -4.69028478e-01  1.00000000e+00 -4.72976651e-21 -2.41957294e+03  4.69028478e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.61559810e+00  2.41957294e+03 -4.78530299e-01  1.00000000e+00 -4.64390442e-21 -2.41957294e+03  4.78530299e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.64689787e+00  2.41957293e+03 -4.88208314e-01  1.00000000e+00 -4.55944882e-21 -2.41957293e+03  4.88208314e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.67880402e+00  2.41957293e+03 -4.98066087e-01  1.00000000e+00 -4.47638558e-21 -2.41957293e+03  4.98066087e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.71132830e+00  2.41957292e+03 -5.08107247e-01  1.00000000e+00 -4.39470015e-21 -2.41957292e+03  5.08107247e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.74448270e+00  2.41957292e+03 -5.18335491e-01  1.00000000e+00 -4.31437757e-21 -2.41957292e+03  5.18335491e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+00  2.41957291e+03 -5.28754586e-01  1.00000000e+00 -4.23540255e-21 -2.41957291e+03  5.28754586e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
