 v-sweep                v(sw)                  v(fp)                  v(fn)                  i(vdd)                 i(vcm)                
-3.200000000000000e-01 -3.200000000000000e-01  7.247995242702421e-01  1.047951359156254e+00 -3.869768736944127e-04 -2.724918595982258e-11 
 0.000000000000000e+00  0.000000000000000e+00  8.862885131936616e-01  8.862885131954541e-01 -3.868406821802490e-04 -2.742295872135895e-11 
 3.200000000000000e-01  3.200000000000000e-01  1.047951359154897e+00  7.247995242731732e-01 -3.869768736957724e-04 -2.724918595825472e-11 
