x,real,imag
1.0,1053.572306890919,-171.8827174556682
1.019373485938873,1052.504768617197,-175.0352813626344
1.039122303835169,1051.397755310807,-178.2387874750836
1.059253725177289,1050.249897469072,-181.4936601773688
1.07977516232771,1049.059784992978,-184.8003023324228
1.10069417125221,1047.825966747873,-188.1590935189472
1.122018454301964,1046.546949630637,-191.5703879878604
1.143755863049539,1045.221198156138,-195.0345126969065
1.165914401179832,1043.847134091307,-198.551765258587
1.188502227437019,1042.423135666234,-202.1224116080027
1.211527658628589,1040.947537323749,-205.7466837542273
1.234999172687586,1039.418629528662,-209.4247774373007
1.258925411794168,1037.834658184127,-213.1568494925985
1.283315185557652,1036.193824600383,-216.9430153032549
1.308177474260195,1034.494285543552,-220.7833461543159
1.333521432163325,1032.734152875883,-224.6778662613579
1.359356390878527,1030.911494062792,-228.6265500306216
1.385691862803129,1029.024331987439,-232.6293188552031
1.412537544622755,1027.07064569227,-236.6860381759356
1.439903320881634,1025.048370456384,-240.7965140691348
1.467799267622071,1022.955398815939,-244.960490116426
1.496235656094435,1020.789580942501,-249.1776437904543
1.52522295653902,1018.548725984632,-253.4475831444985
1.554771842041175,1016.230602797466,-257.7698430124968
1.584893192461115,1013.832941646715,-262.1438815333706
1.615598098439875,1011.353435337065,-266.569076185663
1.64689786548287,1008.789741282171,-271.0447201447855
1.678804018122562,1006.139483316429,-275.5700183163737
1.711328304161782,1003.400253756278,-280.1440833117489
1.744482698999256,1000.569616134474,-284.765931630003
1.778279410038925,997.645107729601,-289.4344795347258
1.812730881184701,994.6242426105101,-294.148539050937
1.847849797422293,991.5045149686042,-298.9068139610064
1.883649089489803,988.2834025301125,-303.7078956661923
1.920141938638804,984.9583707306009,-308.5502593724678
1.957341781487663,981.5268767656653,-313.4322600312745
1.995262314968882,977.9863742052465,-318.352128498002
2.033917501372295,974.3343179051537,-323.3079677504895
2.073321573485958,970.5681692767041,-328.2977492256559
2.113489039836649,966.6854019149249,-333.3193092947596
2.154434690031886,962.6835075953933,-338.3703459072451
2.196173600205439,958.5600026044544,-343.4484153994043
2.238721138568343,954.3124346416676,-348.5509296916359
2.282092971067454,949.9383896974355,-353.675153418644
2.326305067153629,945.4354997066723,-358.8182016774802
2.371373705661659,940.801450331631,-363.9770379042644
2.417315480804108,936.0339893362374,-369.1484723157853
