device,ids,gm,gds,vgs,vds,vdsat
M8,-9.999998820817449e-06,0.0001020060154098754,3.364582216767255e-07,-1.16724668807448,-1.16724668807448,-0.1697032387080531
M9,-9.991455090098753e-06,0.0001019238855917208,3.417718766349632e-07,-1.16724668807448,-1.142051055908431,-0.1696953444088251
M10,9.991455574786444e-06,0.0001727560309578961,1.036214078893178e-06,0.6579489440915687,0.6579489440915687,0.09235519778443227
M1,4.731116398152934e-09,1.258817263540765e-07,1.051611429120212e-09,0.2942311535643754,1.200692153247897,0.04075246096245892
M2,5.035321579898343e-09,1.338861014122167e-07,1.252967794009812e-09,0.299984941920754,0.8133565093320587,0.04075431083823204
M3A,-2.365573446681691e-09,6.589735428345038e-08,4.096230895340374e-10,-0.5992927886728572,-0.5992927886728572,-0.04376549084398504
M3B,-2.365573446681691e-09,6.589735428345038e-08,4.096230895340374e-10,-0.5992927886728572,-0.5992927886728572,-0.04376549084398504
M4A,-2.517074588911745e-09,7.001245557643845e-08,3.790824382177108e-10,-0.5992927886728572,-0.9866284325886954,-0.04376632073718499
M4B,-2.517074588911745e-09,7.001245557643845e-08,3.790824382177108e-10,-0.5992927886728572,-0.9866284325886954,-0.04376632073718499
M5,9.766437895763553e-09,1.107869744521287e-07,0.0006485327813277388,0.6579489440915687,1.505807924595537e-05,0.0985416464563572
M6,9.196820214947282e-05,0.0008266167534784104,3.775127798926117e-05,0.8133715674113047,0.2942462116436214,0.1713065698470253
M7A,-4.745530425021488e-05,0.0004950863845916197,1.333552498086602e-06,-1.16724668807448,-1.505753788356379,-0.1652012807454531
M7B,-4.745530425021488e-05,0.0004950863845916197,1.333552498086602e-06,-1.16724668807448,-1.505753788356379,-0.1652012807454531
