 frequency              onoise_spectrum        inoise_spectrum       
 1.000000000000000e+00  4.910879858720847e-05  3.077695786147893e-06 
 1.019373485938873e+00  4.869725186844638e-05  3.051903756235227e-06 
 1.039122303835169e+00  4.828919496575946e-05  3.026330436462988e-06 
 1.059253725177289e+00  4.788459788710957e-05  3.000973947201024e-06 
 1.079775162327710e+00  4.748343090210990e-05  2.975832425217398e-06 
 1.100694171252210e+00  4.708566453971314e-05  2.950904023533198e-06 
 1.122018454301964e+00  4.669126958590842e-05  2.926186911277959e-06 
 1.143755863049539e+00  4.630021708143854e-05  2.901679273547289e-06 
 1.165914401179832e+00  4.591247831956540e-05  2.877379311262157e-06 
 1.188502227437019e+00  4.552802484379852e-05  2.853285241026836e-06 
 1.211527658628589e+00  4.514682844571522e-05  2.829395294992282e-06 
 1.234999172687586e+00  4.476886116273975e-05  2.805707720716876e-06 
 1.258925411794168e+00  4.439409527598085e-05  2.782220781031023e-06 
 1.283315185557652e+00  4.402250330806355e-05  2.758932753901140e-06 
 1.308177474260195e+00  4.365405802100427e-05  2.735841932296367e-06 
 1.333521432163325e+00  4.328873241408450e-05  2.712946624055663e-06 
 1.359356390878527e+00  4.292649972175055e-05  2.690245151756048e-06 
 1.385691862803129e+00  4.256733341153807e-05  2.667735852582288e-06 
 1.412537544622755e+00  4.221120718200610e-05  2.645417078197880e-06 
 1.439903320881634e+00  4.185809496070305e-05  2.623287194616984e-06 
 1.467799267622071e+00  4.150797090212979e-05  2.601344582077193e-06 
 1.496235656094435e+00  4.116080938573983e-05  2.579587634914220e-06 
 1.525222956539020e+00  4.081658501394877e-05  2.558014761436975e-06 
 1.554771842041175e+00  4.047527261016670e-05  2.536624383804221e-06 
 1.584893192461115e+00  4.013684721684083e-05  2.515414937902087e-06 
 1.615598098439875e+00  3.980128409352704e-05  2.494384873222944e-06 
 1.646897865482870e+00  3.946855871496043e-05  2.473532652744946e-06 
 1.678804018122562e+00  3.913864676916372e-05  2.452856752812977e-06 
 1.711328304161782e+00  3.881152415556377e-05  2.432355663020859e-06 
 1.744482698999256e+00  3.848716698312170e-05  2.412027886094060e-06 
 1.778279410038925e+00  3.816555156847779e-05  2.391871937773716e-06 
 1.812730881184701e+00  3.784665443412700e-05  2.371886346701830e-06 
 1.847849797422293e+00  3.753045230659829e-05  2.352069654307520e-06 
 1.883649089489803e+00  3.721692211465220e-05  2.332420414693987e-06 
 1.920141938638804e+00  3.690604098749777e-05  2.312937194526789e-06 
 1.957341781487663e+00  3.659778625302561e-05  2.293618572922685e-06 
 1.995262314968882e+00  3.629213543605106e-05  2.274463141340465e-06 
 2.033917501372295e+00  3.598906625657553e-05  2.255469503471042e-06 
