 time            d0              h0              c0              p0             
 0.00000000e+00 -3.58878528e-01 -1.22787382e-08  8.03728478e-01  1.20446313e-03 
 5.00000000e-11 -3.58878528e-01 -1.22787384e-08  8.03728478e-01  1.20446313e-03 
 1.00000000e-10 -3.58878528e-01 -1.22787385e-08  8.03728478e-01  1.20446313e-03 
 2.00000000e-10 -3.58878528e-01 -1.22787387e-08  8.03728478e-01  1.20446313e-03 
 4.00000000e-10 -3.58878528e-01 -1.22787390e-08  8.03728478e-01  1.20446313e-03 
 8.00000000e-10 -3.58878528e-01 -1.22787391e-08  8.03728478e-01  1.20446313e-03 
 1.60000000e-09 -3.58878528e-01 -1.22787394e-08  8.03728478e-01  1.20446313e-03 
 3.20000000e-09 -3.58878528e-01 -1.22787407e-08  8.03728478e-01  1.20446313e-03 
 6.40000000e-09 -3.58878528e-01 -1.22787415e-08  8.03728478e-01  1.20446313e-03 
 1.14000000e-08 -3.58878528e-01 -1.22787422e-08  8.03728478e-01  1.20446313e-03 
 1.64000000e-08 -3.58878528e-01 -1.22787441e-08  8.03728478e-01  1.20446313e-03 
 2.14000000e-08 -3.58878528e-01 -1.22787459e-08  8.03728478e-01  1.20446313e-03 
 2.64000000e-08 -3.58878528e-01 -1.22787476e-08  8.03728478e-01  1.20446313e-03 
 3.14000000e-08 -3.58878528e-01 -1.22787492e-08  8.03728478e-01  1.20446313e-03 
 3.64000000e-08 -3.58878528e-01 -1.22787510e-08  8.03728478e-01  1.20446313e-03 
 4.14000000e-08 -3.58878528e-01 -1.22787529e-08  8.03728478e-01  1.20446313e-03 
 4.64000000e-08 -3.58878528e-01 -1.22787549e-08  8.03728478e-01  1.20446313e-03 
 5.14000000e-08 -3.58878528e-01 -1.22787568e-08  8.03728478e-01  1.20446313e-03 
 5.64000000e-08 -3.58878528e-01 -1.22787585e-08  8.03728478e-01  1.20446313e-03 
 6.14000000e-08 -3.58878528e-01 -1.22787602e-08  8.03728478e-01  1.20446313e-03 
 6.64000000e-08 -3.58878528e-01 -1.22787620e-08  8.03728478e-01  1.20446313e-03 
 7.14000000e-08 -3.58878528e-01 -1.22787637e-08  8.03728478e-01  1.20446313e-03 
 7.64000000e-08 -3.58878528e-01 -1.22787652e-08  8.03728478e-01  1.20446313e-03 
 8.14000000e-08 -3.58878528e-01 -1.22787668e-08  8.03728478e-01  1.20446313e-03 
